,>= +0.25%,<= -0.25%,>= +0.50%,<= -0.50%,>= +0.75%,<= -0.75%,>= +1.00%,<= -1.00%,>= +1.25%,<= -1.25%
1m TTC,0.91,0.67,0.1,0.04,0.02,0.01,0.0,0.0,0.0,0.0
2m TTC,2.72,2.18,0.36,0.2,0.08,0.04,0.03,0.01,0.01,0.0
3m TTC,4.32,3.74,0.7,0.46,0.21,0.1,0.07,0.04,0.03,0.01
4m TTC,5.72,5.15,1.13,0.78,0.36,0.18,0.12,0.08,0.06,0.03
5m TTC,7.13,6.56,1.58,1.2,0.51,0.32,0.21,0.12,0.09,0.06
6m TTC,8.3,7.95,1.94,1.59,0.65,0.42,0.26,0.17,0.12,0.07
7m TTC,9.33,9.12,2.42,2.03,0.81,0.6,0.34,0.24,0.14,0.11
8m TTC,10.46,10.33,2.77,2.41,0.98,0.71,0.42,0.29,0.2,0.13
9m TTC,11.45,11.21,3.25,2.73,1.14,0.9,0.5,0.34,0.24,0.17
10m TTC,12.31,12.21,3.61,3.12,1.33,1.04,0.56,0.44,0.29,0.22
11m TTC,13.22,13.27,3.98,3.47,1.5,1.23,0.63,0.51,0.34,0.25
12m TTC,13.82,13.99,4.41,3.9,1.71,1.44,0.78,0.6,0.4,0.3
13m TTC,14.58,14.76,4.79,4.29,1.91,1.6,0.89,0.66,0.43,0.36
14m TTC,15.3,15.52,5.2,4.69,2.13,1.77,0.99,0.74,0.52,0.4
15m TTC,15.94,15.92,5.64,4.96,2.43,1.93,1.12,0.87,0.57,0.45
