,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,52.74,47.52,35.81,31.69,21.08,19.96,10.74,12.39,5.96,7.88,3.51,5.14,2.06,3.46,1.21,2.29,0.74,1.63,0.47,1.13,0.3,0.86,0.2,0.59,0.14,0.51,0.11,0.39,0.08,0.33,0.05,0.27,0.04,0.2,0.04,0.19,0.03,0.19,0.02,0.15,0.02,0.09,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
2m TTC,52.93,47.28,40.14,36.28,28.92,26.07,19.09,18.44,12.53,13.19,8.07,9.75,5.59,7.12,3.65,5.11,2.44,4.08,1.71,2.86,1.25,2.32,0.89,1.82,0.6,1.38,0.5,1.08,0.39,0.89,0.29,0.69,0.2,0.51,0.13,0.38,0.1,0.28,0.08,0.21,0.06,0.19,0.03,0.16,0.03,0.14,0.03,0.08,0.03,0.07,0.03,0.06,0.03,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.01,0.05,0.01,0.04,0.01,0.04,0.01,0.04,0.01,0.04,0.0,0.04,0.0,0.01,0.0,0.01,0.0,0.01
3m TTC,52.72,47.37,42.76,37.71,32.83,29.06,23.97,22.17,17.6,16.68,12.47,12.75,8.67,9.72,5.93,7.37,4.17,5.64,2.81,4.67,2.12,3.59,1.55,2.84,1.19,2.3,0.95,1.84,0.71,1.47,0.55,1.18,0.5,0.95,0.39,0.8,0.29,0.64,0.2,0.56,0.16,0.52,0.12,0.45,0.08,0.38,0.08,0.35,0.08,0.27,0.06,0.23,0.05,0.17,0.05,0.16,0.03,0.13,0.03,0.11,0.02,0.09,0.02,0.08,0.02,0.08,0.02,0.07,0.01,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.02,0.0,0.02
4m TTC,52.91,47.11,44.37,38.64,35.92,31.36,27.59,24.01,20.36,18.72,15.06,14.99,11.3,11.89,8.43,9.74,6.27,7.71,4.7,6.0,3.13,4.97,2.25,4.05,1.85,3.12,1.43,2.58,1.2,2.05,0.91,1.79,0.78,1.44,0.58,1.2,0.48,1.03,0.37,0.87,0.25,0.82,0.21,0.69,0.15,0.59,0.14,0.56,0.11,0.49,0.1,0.42,0.08,0.38,0.05,0.36,0.05,0.29,0.05,0.29,0.04,0.24,0.04,0.24,0.04,0.18,0.04,0.17,0.04,0.16,0.04,0.15,0.04,0.11,0.04,0.08,0.03,0.08,0.02,0.08
5m TTC,53.62,46.45,44.84,39.36,37.62,32.69,29.93,26.97,23.56,21.57,18.13,17.05,13.98,13.72,10.38,10.94,7.77,8.88,5.89,7.15,4.56,5.68,3.49,4.77,2.57,4.06,2.03,3.37,1.59,2.7,1.24,2.23,0.95,2.01,0.73,1.68,0.57,1.39,0.51,1.15,0.46,1.0,0.41,0.87,0.36,0.81,0.34,0.75,0.29,0.72,0.19,0.65,0.17,0.58,0.17,0.48,0.1,0.4,0.08,0.29,0.08,0.26,0.07,0.18,0.05,0.16,0.05,0.12,0.04,0.08,0.04,0.08,0.03,0.07,0.03,0.06,0.03,0.05,0.02,0.05
6m TTC,53.29,46.78,45.53,40.03,38.53,33.53,31.64,27.88,25.86,23.08,20.46,18.71,15.96,15.0,12.4,12.27,9.61,9.94,7.17,8.4,5.48,6.81,4.23,5.52,3.33,4.49,2.53,3.74,2.07,3.21,1.56,2.69,1.25,2.31,0.99,1.93,0.83,1.65,0.66,1.49,0.58,1.35,0.52,1.2,0.41,1.05,0.4,0.93,0.34,0.86,0.28,0.79,0.21,0.67,0.19,0.61,0.16,0.52,0.15,0.5,0.1,0.45,0.1,0.41,0.08,0.34,0.07,0.3,0.04,0.24,0.04,0.17,0.04,0.14,0.03,0.11,0.02,0.08,0.02,0.08
7m TTC,53.89,46.23,46.61,40.25,40.0,33.83,33.29,28.19,27.25,23.38,22.22,19.46,17.41,16.14,13.86,13.42,10.79,10.9,8.51,9.3,6.83,7.98,5.49,6.7,4.31,5.75,3.37,4.89,2.65,4.1,2.14,3.36,1.83,2.95,1.57,2.61,1.15,2.23,0.98,1.93,0.81,1.71,0.7,1.53,0.57,1.38,0.53,1.16,0.44,1.09,0.41,0.95,0.34,0.83,0.27,0.62,0.22,0.5,0.17,0.45,0.13,0.41,0.11,0.33,0.1,0.28,0.1,0.23,0.08,0.15,0.08,0.15,0.08,0.15,0.07,0.13,0.07,0.13,0.06,0.13
8m TTC,53.97,46.14,47.21,39.86,40.4,33.85,34.55,28.59,29.1,23.96,23.47,20.29,19.16,17.29,15.53,14.63,12.39,12.57,9.87,10.68,8.04,9.08,6.44,7.64,5.02,6.48,3.99,5.55,3.17,4.83,2.43,4.14,2.01,3.64,1.71,3.26,1.45,2.84,1.21,2.35,1.0,2.06,0.94,1.84,0.72,1.62,0.6,1.4,0.54,1.18,0.48,1.02,0.45,0.85,0.42,0.76,0.38,0.71,0.35,0.61,0.34,0.5,0.3,0.43,0.28,0.38,0.24,0.3,0.21,0.27,0.14,0.24,0.14,0.23,0.13,0.23,0.11,0.23,0.1,0.23
9m TTC,54.19,45.83,48.2,39.5,41.6,33.97,35.69,29.06,29.91,24.51,24.37,20.74,20.49,18.07,16.9,15.2,13.64,12.89,10.74,11.04,8.52,9.75,7.17,8.23,5.57,6.91,4.44,5.98,3.49,5.25,2.87,4.7,2.43,4.08,2.0,3.51,1.64,3.01,1.51,2.71,1.29,2.4,1.15,1.95,1.03,1.77,0.9,1.55,0.76,1.33,0.69,1.15,0.65,1.09,0.55,1.02,0.49,0.9,0.38,0.82,0.35,0.75,0.32,0.68,0.29,0.66,0.24,0.56,0.19,0.41,0.17,0.36,0.17,0.34,0.16,0.28,0.15,0.26,0.13,0.24
10m TTC,54.55,45.5,48.07,39.45,42.28,34.13,36.64,29.15,31.18,24.8,25.92,21.57,21.72,18.65,17.89,15.92,14.51,14.14,11.98,12.0,9.64,10.41,7.8,9.3,6.18,7.92,5.16,6.71,4.21,5.85,3.56,5.09,3.05,4.52,2.48,3.9,2.11,3.32,1.87,2.88,1.49,2.59,1.31,2.31,1.14,2.01,0.99,1.8,0.9,1.61,0.72,1.45,0.63,1.31,0.57,1.2,0.49,1.08,0.47,0.96,0.41,0.89,0.36,0.79,0.33,0.71,0.3,0.69,0.25,0.46,0.22,0.45,0.21,0.39,0.17,0.38,0.16,0.35,0.13,0.32
