,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,53.62,46.54,35.42,31.12,20.12,19.33,9.97,12.09,5.53,7.2,3.05,4.61,1.93,2.98,1.24,1.82,0.69,1.27,0.48,0.9,0.33,0.6,0.21,0.46,0.14,0.35,0.13,0.3,0.08,0.24,0.06,0.2,0.06,0.17,0.06,0.14,0.05,0.12,0.05,0.1,0.05,0.07,0.03,0.07,0.03,0.06,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0
2m TTC,52.97,47.2,39.44,34.39,27.62,24.24,18.15,17.27,11.76,12.32,7.39,8.51,4.88,6.07,3.21,4.39,2.19,3.14,1.47,2.29,1.03,1.68,0.69,1.18,0.48,0.89,0.35,0.65,0.27,0.56,0.2,0.47,0.15,0.37,0.14,0.32,0.11,0.26,0.08,0.23,0.05,0.2,0.04,0.16,0.04,0.14,0.04,0.09,0.04,0.08,0.03,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01
3m TTC,52.79,47.35,41.81,36.66,31.15,27.42,21.84,20.44,15.39,15.38,10.86,11.54,7.55,8.74,5.46,6.7,3.74,5.21,2.59,4.11,1.84,3.04,1.34,2.46,0.93,2.04,0.73,1.6,0.57,1.34,0.46,1.06,0.39,0.83,0.36,0.69,0.27,0.54,0.22,0.45,0.19,0.32,0.16,0.27,0.14,0.22,0.12,0.2,0.11,0.16,0.09,0.14,0.08,0.11,0.08,0.09,0.06,0.09,0.04,0.08,0.04,0.07,0.04,0.06,0.04,0.06,0.04,0.05,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02
4m TTC,52.89,47.21,42.42,37.98,33.13,30.24,24.77,23.88,18.56,18.26,13.73,13.9,10.21,10.71,7.65,8.42,5.32,6.68,3.85,5.22,2.92,4.08,2.18,3.31,1.55,2.63,1.15,2.1,0.96,1.75,0.81,1.4,0.63,1.26,0.52,1.12,0.45,0.93,0.39,0.76,0.36,0.53,0.32,0.49,0.24,0.43,0.19,0.33,0.17,0.27,0.14,0.25,0.14,0.21,0.11,0.19,0.11,0.17,0.1,0.17,0.08,0.17,0.07,0.15,0.07,0.13,0.06,0.1,0.05,0.09,0.04,0.05,0.03,0.05,0.03,0.04,0.03,0.03,0.03,0.03
5m TTC,53.08,47.08,44.03,38.88,35.46,31.88,26.92,25.17,20.73,20.31,15.96,15.85,11.88,12.71,8.86,9.97,6.89,8.1,5.25,6.36,4.04,5.24,3.02,4.27,2.3,3.52,1.79,2.96,1.32,2.51,1.03,2.02,0.88,1.72,0.71,1.35,0.58,1.12,0.49,0.96,0.4,0.83,0.33,0.73,0.28,0.63,0.24,0.57,0.23,0.46,0.21,0.41,0.17,0.39,0.16,0.36,0.14,0.31,0.12,0.26,0.12,0.24,0.11,0.21,0.09,0.18,0.09,0.15,0.07,0.14,0.06,0.12,0.06,0.09,0.05,0.06,0.05,0.06,0.05,0.06
6m TTC,52.79,47.32,44.29,39.91,36.48,32.77,29.41,26.84,22.91,21.34,17.9,17.45,14.01,14.19,10.67,11.4,8.22,9.3,6.25,7.33,4.91,6.1,3.76,5.06,3.07,4.09,2.54,3.46,2.04,2.87,1.59,2.36,1.28,2.03,1.04,1.75,0.85,1.5,0.68,1.38,0.61,1.23,0.57,1.03,0.5,0.87,0.42,0.76,0.29,0.65,0.28,0.58,0.23,0.52,0.18,0.5,0.17,0.42,0.14,0.36,0.13,0.33,0.12,0.3,0.11,0.25,0.11,0.22,0.11,0.18,0.08,0.18,0.08,0.15,0.06,0.13,0.05,0.13,0.05,0.12
7m TTC,53.05,46.99,44.89,39.61,37.85,33.19,30.88,27.72,24.92,23.1,19.55,18.99,15.55,15.64,12.35,12.61,9.52,10.3,7.34,8.36,5.93,6.97,4.84,5.98,3.69,5.03,3.02,4.22,2.44,3.66,1.93,3.05,1.46,2.62,1.25,2.22,1.03,1.91,0.93,1.7,0.77,1.51,0.65,1.32,0.53,1.16,0.49,0.93,0.41,0.82,0.32,0.74,0.31,0.69,0.27,0.63,0.25,0.52,0.18,0.49,0.16,0.43,0.15,0.4,0.12,0.36,0.11,0.33,0.07,0.22,0.07,0.22,0.05,0.19,0.05,0.17,0.04,0.15,0.04,0.14
8m TTC,52.92,47.16,46.03,40.13,38.71,33.93,32.2,28.63,26.61,24.23,21.6,19.93,16.97,16.69,13.23,13.86,10.41,11.56,8.28,9.52,6.58,8.0,5.29,6.68,4.16,5.6,3.38,4.64,2.82,4.12,2.28,3.59,1.88,3.05,1.51,2.67,1.35,2.3,1.06,2.03,0.9,1.8,0.79,1.64,0.71,1.37,0.67,1.12,0.58,1.01,0.47,0.9,0.43,0.83,0.34,0.74,0.32,0.64,0.23,0.52,0.19,0.45,0.17,0.43,0.16,0.39,0.13,0.34,0.1,0.25,0.08,0.22,0.07,0.22,0.06,0.19,0.06,0.17,0.06,0.17
9m TTC,53.26,46.81,46.26,40.4,39.87,35.09,33.75,29.98,27.41,25.21,22.55,20.94,18.31,17.39,14.74,14.46,11.74,12.18,9.55,10.45,7.58,8.77,5.98,7.38,4.86,6.08,3.89,5.21,3.2,4.45,2.8,3.95,2.34,3.35,2.02,2.86,1.69,2.57,1.39,2.23,1.08,1.91,0.97,1.6,0.81,1.48,0.69,1.34,0.62,1.19,0.55,1.0,0.43,0.86,0.39,0.76,0.35,0.68,0.33,0.63,0.3,0.53,0.25,0.51,0.23,0.48,0.22,0.45,0.18,0.38,0.16,0.33,0.15,0.28,0.14,0.25,0.12,0.25,0.11,0.24
10m TTC,53.29,46.74,47.5,41.28,40.94,35.66,34.92,30.16,28.87,25.63,23.8,21.61,19.32,18.21,15.55,15.39,12.36,13.09,10.08,10.73,8.4,9.19,6.66,7.89,5.45,6.74,4.59,5.85,3.89,5.02,3.26,4.5,2.68,3.97,2.13,3.46,1.81,3.02,1.53,2.76,1.28,2.48,1.1,2.21,0.91,1.98,0.82,1.79,0.69,1.52,0.6,1.26,0.54,1.11,0.51,1.0,0.47,0.88,0.43,0.83,0.38,0.76,0.32,0.68,0.28,0.6,0.25,0.58,0.21,0.46,0.19,0.42,0.18,0.39,0.17,0.37,0.15,0.36,0.15,0.35
11m TTC,53.57,46.48,47.69,41.05,41.31,35.57,35.68,30.87,29.95,26.24,24.84,22.47,20.58,19.12,16.99,16.19,13.78,13.63,11.16,11.46,8.82,9.91,7.31,8.6,5.97,7.62,5.02,6.61,4.04,5.69,3.44,4.76,2.95,4.27,2.49,3.74,1.99,3.3,1.7,3.02,1.43,2.74,1.25,2.46,1.1,2.18,1.02,1.97,0.88,1.77,0.81,1.63,0.68,1.45,0.54,1.29,0.51,1.16,0.43,1.02,0.4,0.9,0.33,0.83,0.32,0.76,0.28,0.68,0.27,0.52,0.26,0.51,0.24,0.45,0.22,0.41,0.19,0.38,0.15,0.33
12m TTC,53.36,46.71,47.66,40.93,41.74,35.73,36.11,31.11,30.5,26.95,25.45,23.04,21.18,19.87,17.45,16.96,14.56,14.49,11.58,12.4,9.71,10.92,8.03,9.53,6.63,8.33,5.48,7.21,4.44,6.01,3.69,5.2,3.14,4.63,2.71,4.1,2.37,3.57,2.01,3.21,1.75,2.81,1.57,2.56,1.37,2.32,1.17,2.08,0.99,1.81,0.84,1.66,0.73,1.46,0.68,1.31,0.6,1.13,0.54,1.01,0.47,0.9,0.42,0.85,0.38,0.79,0.35,0.75,0.3,0.67,0.27,0.63,0.26,0.59,0.24,0.56,0.2,0.54,0.18,0.47
13m TTC,53.81,46.23,48.21,40.95,42.03,36.14,36.57,31.59,31.23,27.57,26.2,23.88,21.92,20.53,18.4,17.72,15.25,15.26,12.6,13.08,10.57,11.41,8.63,9.8,7.09,8.49,5.84,7.42,4.95,6.48,4.09,5.76,3.48,4.91,2.97,4.22,2.64,3.79,2.28,3.42,1.91,3.06,1.64,2.62,1.46,2.35,1.32,2.07,1.19,1.98,0.95,1.78,0.86,1.7,0.73,1.48,0.68,1.37,0.65,1.26,0.57,1.13,0.48,1.05,0.46,0.92,0.44,0.84,0.38,0.73,0.36,0.69,0.27,0.65,0.27,0.57,0.25,0.54,0.23,0.54
14m TTC,53.89,46.2,48.43,41.13,42.92,36.44,36.62,32.13,31.25,28.19,26.65,24.44,22.9,21.12,19.18,18.42,16.06,16.02,13.33,13.89,11.05,12.15,9.2,10.53,7.51,9.18,6.24,8.11,5.26,7.0,4.46,6.19,3.75,5.45,3.21,4.86,2.87,4.36,2.41,3.86,2.13,3.41,1.88,3.2,1.61,2.81,1.39,2.52,1.23,2.22,1.09,2.01,0.96,1.87,0.87,1.68,0.8,1.51,0.74,1.35,0.68,1.27,0.62,1.07,0.55,0.99,0.5,0.91,0.44,0.76,0.43,0.72,0.38,0.68,0.3,0.59,0.28,0.54,0.26,0.52
15m TTC,53.47,46.57,48.34,41.61,42.66,36.91,37.4,32.54,32.49,28.47,27.64,25.01,23.48,21.86,19.91,19.37,16.98,16.83,14.4,14.37,12.15,12.43,10.16,10.86,8.43,9.54,6.73,8.45,5.62,7.56,4.81,6.78,4.12,5.96,3.58,5.21,3.16,4.74,2.7,4.15,2.35,3.71,2.04,3.25,1.72,2.83,1.52,2.54,1.34,2.31,1.13,2.06,1.01,1.88,0.92,1.73,0.84,1.5,0.79,1.42,0.68,1.31,0.65,1.17,0.62,1.09,0.58,1.01,0.44,0.84,0.41,0.77,0.37,0.73,0.34,0.67,0.33,0.56,0.3,0.54
16m TTC,53.5,46.59,48.6,41.9,43.62,36.96,38.13,32.33,33.33,28.74,28.77,25.36,24.55,22.39,20.73,19.67,17.41,17.18,14.87,14.89,12.74,13.23,10.68,11.71,9.06,10.18,7.4,9.09,6.24,7.86,5.18,7.08,4.36,6.33,3.73,5.69,3.26,5.21,2.94,4.57,2.45,4.08,2.19,3.52,1.94,3.17,1.77,2.9,1.64,2.64,1.36,2.31,1.22,2.15,1.12,1.88,1.03,1.72,0.92,1.63,0.79,1.51,0.74,1.36,0.69,1.19,0.65,1.07,0.57,0.92,0.5,0.81,0.45,0.69,0.43,0.63,0.38,0.59,0.36,0.54
17m TTC,53.92,46.09,49.05,41.2,43.65,37.11,38.66,32.72,33.85,28.93,29.27,25.38,25.05,22.43,21.3,20.12,18.3,17.58,15.52,15.56,13.11,13.55,11.22,11.91,9.53,10.44,8.04,9.37,6.88,8.23,5.73,7.3,4.79,6.71,4.07,6.03,3.56,5.39,3.08,4.83,2.62,4.29,2.29,3.77,2.0,3.42,1.85,3.03,1.69,2.79,1.47,2.52,1.32,2.22,1.21,2.01,1.06,1.78,0.98,1.65,0.92,1.44,0.85,1.31,0.8,1.18,0.74,1.1,0.6,0.97,0.56,0.87,0.52,0.81,0.48,0.75,0.46,0.75,0.43,0.7
18m TTC,53.8,46.27,48.93,41.34,43.75,37.01,38.69,32.63,34.32,28.94,29.77,25.8,25.83,22.85,22.45,20.35,18.94,18.23,16.3,16.18,13.93,14.23,11.85,12.61,10.09,11.17,8.63,10.03,7.42,8.8,6.19,7.78,5.25,6.99,4.63,6.19,3.98,5.44,3.49,4.94,2.98,4.36,2.69,3.92,2.38,3.52,2.03,3.21,1.81,3.01,1.57,2.8,1.35,2.57,1.25,2.31,1.15,2.08,1.1,1.91,1.01,1.67,0.9,1.52,0.8,1.42,0.74,1.31,0.65,1.15,0.54,1.06,0.53,0.96,0.51,0.81,0.46,0.75,0.43,0.73
19m TTC,54.05,45.97,49.25,41.21,44.46,36.61,39.47,33.03,34.67,29.1,30.68,26.03,26.45,22.94,22.79,20.68,19.73,18.4,16.73,16.33,14.49,14.45,12.15,12.86,10.48,11.44,9.0,10.16,7.57,8.84,6.6,7.74,5.64,7.05,4.97,6.57,4.4,5.96,3.77,5.23,3.29,4.78,2.84,4.29,2.44,3.95,2.24,3.49,1.91,3.18,1.7,2.85,1.59,2.55,1.45,2.29,1.32,2.08,1.23,1.93,1.1,1.72,0.96,1.61,0.91,1.51,0.83,1.35,0.71,1.15,0.64,1.08,0.56,1.01,0.55,0.95,0.41,0.88,0.38,0.8
20m TTC,54.4,45.67,49.76,41.0,44.99,37.0,40.26,33.26,35.52,29.61,30.88,26.66,26.91,23.85,23.6,21.54,20.11,19.2,17.34,16.9,14.72,15.18,12.75,13.21,11.04,11.6,9.33,10.4,8.17,9.37,7.02,8.55,6.01,7.63,5.22,6.72,4.57,6.13,3.8,5.66,3.26,5.11,2.91,4.48,2.57,4.1,2.23,3.65,2.08,3.34,1.83,3.02,1.67,2.77,1.49,2.48,1.37,2.17,1.27,1.98,1.17,1.83,1.11,1.67,0.97,1.52,0.91,1.45,0.71,1.25,0.65,1.17,0.58,1.05,0.52,0.96,0.44,0.89,0.39,0.81
21m TTC,54.21,45.8,49.5,41.04,44.95,37.13,40.04,33.25,35.7,29.91,31.23,26.98,27.55,24.19,24.46,21.7,21.0,19.39,18.14,17.24,15.53,15.21,13.27,13.51,11.44,12.01,10.03,10.9,8.5,9.66,7.28,8.81,6.24,7.89,5.47,7.21,4.79,6.53,4.12,5.74,3.62,5.13,3.04,4.64,2.67,4.14,2.43,3.76,2.18,3.33,1.99,3.0,1.8,2.7,1.61,2.5,1.45,2.3,1.37,2.09,1.26,1.88,1.15,1.76,1.07,1.6,0.96,1.48,0.81,1.28,0.76,1.18,0.7,1.09,0.64,1.01,0.58,0.96,0.5,0.92
22m TTC,54.65,45.38,50.2,40.9,45.75,37.07,40.55,33.33,36.17,30.29,32.27,27.12,28.15,24.47,25.0,21.89,21.74,19.54,18.61,17.4,16.02,15.6,14.09,13.93,11.86,12.63,10.21,11.36,8.9,10.32,7.75,9.39,6.73,8.3,5.87,7.45,5.09,6.75,4.36,6.2,3.7,5.48,3.31,4.87,2.93,4.43,2.6,4.06,2.23,3.69,2.05,3.38,1.87,3.05,1.71,2.81,1.51,2.59,1.42,2.32,1.26,2.11,1.12,1.97,1.04,1.8,0.95,1.66,0.86,1.38,0.79,1.31,0.73,1.16,0.68,1.07,0.57,1.0,0.51,0.92
23m TTC,54.28,45.79,50.17,41.39,45.85,37.1,41.13,33.31,36.62,30.17,32.9,27.13,28.94,24.39,25.08,22.06,21.95,19.72,19.1,17.6,16.68,15.73,14.64,14.03,12.47,12.72,10.67,11.44,9.3,10.31,7.92,9.35,6.79,8.46,5.96,7.59,5.26,7.01,4.65,6.19,4.18,5.5,3.66,5.01,3.22,4.56,2.78,4.13,2.47,3.81,2.22,3.49,2.04,3.17,1.8,2.9,1.69,2.73,1.56,2.48,1.41,2.32,1.34,2.11,1.24,2.0,1.15,1.76,0.92,1.47,0.82,1.3,0.77,1.17,0.74,1.1,0.66,1.0,0.6,0.94
24m TTC,54.82,45.19,50.5,41.31,46.36,37.32,41.85,33.83,37.41,30.53,33.08,27.47,29.16,24.49,25.5,22.1,22.46,20.08,19.74,17.88,17.16,16.09,15.01,14.7,12.92,13.19,11.16,12.1,9.51,10.81,8.2,9.67,7.14,8.7,6.36,7.93,5.65,7.14,4.97,6.3,4.25,5.76,3.78,5.22,3.39,4.78,3.05,4.26,2.73,3.78,2.49,3.44,2.23,3.1,2.02,2.91,1.8,2.77,1.63,2.57,1.48,2.29,1.4,2.06,1.31,1.84,1.18,1.7,0.99,1.48,0.92,1.4,0.87,1.29,0.8,1.21,0.74,1.16,0.65,1.03
25m TTC,54.99,45.08,50.83,41.6,46.61,37.43,41.74,34.23,37.64,30.75,33.44,27.9,29.43,24.93,26.07,22.53,22.7,20.13,20.19,18.03,17.34,16.26,15.38,14.71,13.38,13.47,11.59,12.31,10.0,11.01,8.6,9.82,7.46,8.95,6.64,8.08,5.74,7.48,4.94,6.85,4.39,6.24,4.05,5.58,3.54,4.9,3.23,4.48,2.89,4.07,2.65,3.73,2.46,3.42,2.26,3.2,2.07,2.82,1.89,2.64,1.69,2.47,1.52,2.19,1.4,2.07,1.33,1.9,1.07,1.6,0.95,1.52,0.86,1.42,0.78,1.28,0.69,1.19,0.66,1.14
26m TTC,55.37,44.66,50.99,40.92,46.89,37.47,42.54,34.23,38.2,30.99,34.16,28.1,30.01,25.22,26.26,22.66,23.5,20.39,20.54,18.61,17.88,16.99,15.45,15.04,13.66,13.41,12.06,12.34,10.57,11.09,9.09,10.06,7.91,9.2,6.9,8.46,6.0,7.76,5.25,7.16,4.7,6.53,4.17,5.89,3.77,5.29,3.46,4.88,3.09,4.44,2.84,4.16,2.63,3.82,2.33,3.57,2.09,3.32,1.94,3.02,1.69,2.68,1.58,2.41,1.5,2.21,1.36,2.02,1.07,1.77,0.98,1.67,0.93,1.6,0.87,1.5,0.79,1.39,0.71,1.25
27m TTC,54.92,45.12,50.97,41.15,47.09,37.62,42.91,34.25,38.71,31.31,34.39,28.13,30.27,25.31,26.74,22.66,23.75,20.33,20.96,18.48,18.26,16.69,15.78,15.14,13.84,13.63,12.04,12.34,10.47,11.36,9.26,10.43,7.97,9.66,6.91,8.93,6.21,8.08,5.52,7.31,4.8,6.55,4.4,5.91,4.1,5.55,3.68,5.06,3.38,4.68,3.06,4.28,2.73,3.94,2.43,3.6,2.24,3.33,2.03,3.05,1.8,2.84,1.66,2.59,1.48,2.35,1.39,2.2,1.16,1.86,1.09,1.72,1.07,1.64,0.99,1.53,0.93,1.44,0.82,1.36
