,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
11m TTC,50.45,49.68,39.21,38.42,29.79,29.06,22.53,21.95,17.09,16.69,13.1,12.85,10.15,10.01,7.97,7.92,6.35,6.35,5.13,5.13,4.17,4.19,3.44,3.47,2.86,2.89,2.4,2.43,2.02,2.06,1.72,1.75,1.47,1.51,1.26,1.3,1.1,1.13,0.95,0.98,0.83,0.86,0.73,0.76,0.64,0.67,0.57,0.6,0.51,0.54,0.46,0.48,0.41,0.43,0.36,0.39,0.33,0.35,0.3,0.31,0.27,0.28,0.24,0.26,0.22,0.24,0.2,0.22,0.17,0.18,0.15,0.17,0.14,0.15,0.13,0.14,0.12,0.13,0.11,0.12
12m TTC,50.46,49.66,39.67,38.82,30.56,29.74,23.36,22.71,17.9,17.47,13.84,13.55,10.82,10.65,8.55,8.47,6.86,6.83,5.55,5.56,4.55,4.58,3.76,3.8,3.13,3.17,2.64,2.67,2.24,2.27,1.9,1.94,1.64,1.67,1.41,1.45,1.23,1.26,1.07,1.11,0.94,0.97,0.82,0.86,0.72,0.76,0.64,0.68,0.57,0.61,0.51,0.54,0.46,0.48,0.41,0.44,0.37,0.39,0.33,0.35,0.3,0.32,0.28,0.29,0.25,0.27,0.23,0.24,0.19,0.21,0.18,0.19,0.16,0.17,0.15,0.16,0.14,0.15,0.13,0.14
13m TTC,50.47,49.64,40.1,39.19,31.19,30.35,24.1,23.41,18.66,18.16,14.52,14.22,11.43,11.26,9.1,9.01,7.33,7.29,5.98,5.97,4.91,4.94,4.08,4.11,3.41,3.45,2.88,2.92,2.45,2.49,2.1,2.14,1.81,1.84,1.57,1.6,1.36,1.4,1.19,1.23,1.04,1.08,0.92,0.96,0.81,0.85,0.72,0.75,0.64,0.67,0.57,0.61,0.51,0.55,0.46,0.49,0.42,0.44,0.38,0.4,0.34,0.36,0.31,0.33,0.28,0.3,0.26,0.27,0.22,0.23,0.2,0.21,0.18,0.2,0.17,0.18,0.16,0.17,0.14,0.16
14m TTC,50.5,49.61,40.46,39.53,31.76,30.89,24.75,24.04,19.32,18.79,15.16,14.83,12.03,11.82,9.65,9.53,7.81,7.75,6.39,6.38,5.27,5.3,4.39,4.42,3.69,3.72,3.13,3.16,2.67,2.7,2.29,2.32,1.98,2.01,1.71,1.75,1.49,1.53,1.31,1.35,1.15,1.19,1.01,1.06,0.89,0.94,0.8,0.84,0.71,0.75,0.63,0.68,0.57,0.61,0.51,0.55,0.46,0.5,0.42,0.45,0.38,0.41,0.35,0.37,0.32,0.34,0.29,0.31,0.24,0.26,0.22,0.23,0.21,0.22,0.19,0.2,0.17,0.18,0.16,0.17
15m TTC,50.49,49.61,40.77,39.8,32.28,31.37,25.36,24.61,19.95,19.39,15.77,15.41,12.59,12.35,10.16,10.0,8.26,8.18,6.79,6.76,5.62,5.63,4.71,4.72,3.97,3.99,3.37,3.4,2.88,2.91,2.48,2.52,2.14,2.18,1.87,1.9,1.63,1.67,1.43,1.47,1.26,1.3,1.11,1.15,0.98,1.03,0.87,0.92,0.78,0.83,0.69,0.74,0.62,0.67,0.56,0.6,0.51,0.55,0.46,0.49,0.42,0.45,0.38,0.41,0.35,0.37,0.32,0.34,0.27,0.28,0.25,0.26,0.23,0.24,0.21,0.22,0.19,0.21,0.18,0.19
16m TTC,50.52,49.58,41.05,40.09,32.75,31.83,25.95,25.15,20.55,19.95,16.35,15.95,13.12,12.85,10.63,10.46,8.7,8.61,7.18,7.13,5.97,5.96,5.01,5.03,4.24,4.27,3.61,3.64,3.1,3.12,2.67,2.7,2.32,2.35,2.02,2.06,1.77,1.81,1.55,1.59,1.36,1.41,1.21,1.26,1.07,1.12,0.95,1.0,0.85,0.9,0.76,0.81,0.69,0.73,0.62,0.66,0.56,0.6,0.51,0.54,0.46,0.49,0.42,0.45,0.38,0.41,0.35,0.37,0.3,0.31,0.27,0.29,0.25,0.27,0.23,0.25,0.21,0.23,0.2,0.21
17m TTC,50.51,49.58,41.3,40.31,33.19,32.22,26.48,25.65,21.1,20.46,16.9,16.46,13.64,13.33,11.1,10.91,9.12,9.01,7.56,7.5,6.3,6.3,5.31,5.32,4.5,4.52,3.85,3.87,3.31,3.33,2.87,2.89,2.49,2.52,2.18,2.2,1.91,1.94,1.67,1.72,1.47,1.52,1.31,1.36,1.16,1.21,1.04,1.08,0.93,0.98,0.84,0.88,0.75,0.8,0.68,0.72,0.61,0.65,0.55,0.59,0.5,0.54,0.46,0.49,0.42,0.45,0.38,0.41,0.32,0.35,0.3,0.32,0.27,0.29,0.25,0.27,0.23,0.25,0.21,0.23
18m TTC,50.54,49.55,41.55,40.53,33.6,32.62,26.99,26.1,21.65,20.95,17.41,16.91,14.11,13.79,11.54,11.34,9.51,9.4,7.91,7.86,6.64,6.61,5.61,5.62,4.77,4.79,4.08,4.1,3.52,3.54,3.05,3.07,2.66,2.68,2.33,2.35,2.05,2.07,1.8,1.83,1.59,1.64,1.41,1.46,1.25,1.31,1.12,1.17,1.0,1.05,0.9,0.95,0.81,0.86,0.74,0.78,0.67,0.71,0.6,0.64,0.55,0.58,0.5,0.53,0.46,0.49,0.42,0.45,0.35,0.38,0.32,0.35,0.3,0.32,0.28,0.29,0.25,0.27,0.23,0.25
19m TTC,50.54,49.55,41.77,40.72,33.98,32.94,27.44,26.54,22.14,21.4,17.9,17.38,14.58,14.22,11.97,11.74,9.9,9.78,8.26,8.2,6.95,6.93,5.89,5.88,5.02,5.02,4.31,4.32,3.72,3.75,3.23,3.26,2.83,2.85,2.48,2.5,2.18,2.21,1.92,1.96,1.7,1.74,1.51,1.56,1.34,1.39,1.21,1.25,1.08,1.13,0.97,1.02,0.88,0.92,0.8,0.83,0.72,0.76,0.65,0.69,0.59,0.63,0.54,0.58,0.5,0.53,0.45,0.48,0.38,0.41,0.35,0.37,0.32,0.35,0.3,0.32,0.27,0.3,0.25,0.27
20m TTC,50.57,49.53,41.97,40.9,34.31,33.28,27.86,26.93,22.6,21.83,18.39,17.81,15.05,14.63,12.37,12.12,10.28,10.13,8.6,8.52,7.26,7.22,6.17,6.15,5.27,5.27,4.53,4.55,3.93,3.95,3.42,3.44,2.99,3.01,2.63,2.65,2.31,2.34,2.05,2.08,1.81,1.85,1.62,1.66,1.44,1.49,1.29,1.34,1.16,1.21,1.04,1.09,0.94,0.99,0.85,0.89,0.77,0.81,0.7,0.74,0.64,0.67,0.58,0.62,0.53,0.57,0.49,0.52,0.41,0.44,0.38,0.41,0.35,0.38,0.32,0.35,0.3,0.32,0.27,0.3
