,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,50.51,50.43,15.32,15.33,4.86,5.01,1.79,2.0,0.77,0.88,0.38,0.43,0.2,0.24,0.1,0.14,0.07,0.07,0.04,0.05,0.03,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,50.75,49.74,22.18,21.73,9.43,9.34,4.32,4.4,2.15,2.28,1.16,1.3,0.69,0.75,0.42,0.45,0.28,0.3,0.2,0.19,0.15,0.14,0.11,0.1,0.09,0.07,0.07,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,50.77,49.6,26.04,25.07,12.93,12.63,6.54,6.65,3.55,3.72,2.11,2.22,1.27,1.41,0.79,0.91,0.54,0.62,0.38,0.44,0.28,0.32,0.21,0.24,0.15,0.19,0.12,0.14,0.08,0.12,0.07,0.08,0.05,0.07,0.04,0.05,0.04,0.05,0.03,0.04,0.03,0.04,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0
4m TTC,50.75,49.55,28.54,27.69,15.47,15.04,8.51,8.45,4.92,5.01,2.99,3.18,1.93,2.05,1.27,1.39,0.88,0.97,0.62,0.69,0.46,0.52,0.34,0.4,0.25,0.3,0.19,0.23,0.15,0.17,0.12,0.14,0.1,0.11,0.08,0.09,0.07,0.08,0.06,0.06,0.05,0.06,0.04,0.05,0.04,0.04,0.03,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5m TTC,50.83,49.42,30.6,29.33,17.66,16.98,10.14,10.13,6.22,6.31,3.91,3.97,2.59,2.71,1.74,1.84,1.22,1.32,0.88,0.97,0.67,0.73,0.5,0.55,0.38,0.42,0.28,0.33,0.23,0.28,0.2,0.22,0.16,0.19,0.12,0.16,0.1,0.13,0.08,0.11,0.07,0.09,0.06,0.07,0.05,0.06,0.04,0.05,0.03,0.04,0.03,0.04,0.03,0.04,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
6m TTC,50.89,49.33,32.3,30.83,19.7,18.63,11.84,11.58,7.43,7.52,4.81,4.98,3.22,3.36,2.23,2.37,1.59,1.72,1.16,1.25,0.87,0.93,0.64,0.74,0.48,0.58,0.38,0.46,0.32,0.37,0.25,0.31,0.21,0.26,0.18,0.22,0.14,0.18,0.12,0.15,0.1,0.13,0.09,0.11,0.07,0.1,0.06,0.09,0.05,0.08,0.04,0.06,0.04,0.05,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
7m TTC,51.07,49.12,33.67,31.84,21.25,19.94,13.26,12.76,8.51,8.47,5.62,5.8,3.85,4.06,2.71,2.84,1.97,2.06,1.44,1.52,1.09,1.15,0.84,0.89,0.65,0.72,0.51,0.58,0.41,0.47,0.33,0.39,0.27,0.33,0.21,0.28,0.18,0.24,0.16,0.2,0.13,0.17,0.11,0.14,0.1,0.12,0.08,0.11,0.07,0.09,0.06,0.09,0.06,0.07,0.05,0.07,0.04,0.06,0.04,0.05,0.04,0.05,0.03,0.04,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01
8m TTC,51.14,49.05,34.8,32.8,22.7,21.29,14.54,13.93,9.55,9.35,6.34,6.55,4.39,4.63,3.12,3.35,2.26,2.5,1.7,1.89,1.3,1.45,1.02,1.12,0.81,0.88,0.65,0.72,0.52,0.6,0.43,0.47,0.35,0.4,0.29,0.33,0.24,0.27,0.2,0.23,0.17,0.19,0.14,0.17,0.12,0.15,0.11,0.13,0.09,0.11,0.08,0.1,0.07,0.09,0.06,0.08,0.05,0.07,0.05,0.07,0.04,0.05,0.04,0.05,0.04,0.05,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02
9m TTC,51.07,49.12,35.72,33.56,23.8,22.33,15.72,15.07,10.48,10.36,7.15,7.28,5.0,5.23,3.6,3.87,2.66,2.84,2.0,2.17,1.53,1.68,1.18,1.3,0.94,1.04,0.75,0.84,0.62,0.68,0.52,0.57,0.44,0.47,0.37,0.4,0.31,0.34,0.27,0.29,0.22,0.24,0.19,0.21,0.17,0.18,0.14,0.15,0.12,0.14,0.11,0.12,0.09,0.11,0.08,0.1,0.07,0.09,0.06,0.08,0.05,0.07,0.04,0.07,0.04,0.06,0.04,0.06,0.03,0.05,0.03,0.04,0.02,0.04,0.02,0.04,0.02,0.04,0.02,0.03
10m TTC,51.2,48.97,36.4,34.34,24.79,23.24,16.69,15.95,11.29,11.17,7.81,7.87,5.57,5.74,4.04,4.25,3.0,3.22,2.31,2.47,1.77,1.91,1.36,1.49,1.07,1.2,0.88,0.98,0.73,0.79,0.62,0.67,0.54,0.55,0.46,0.46,0.38,0.39,0.33,0.33,0.29,0.28,0.25,0.25,0.22,0.21,0.18,0.19,0.15,0.17,0.13,0.15,0.12,0.13,0.11,0.12,0.1,0.1,0.08,0.09,0.07,0.08,0.06,0.07,0.06,0.07,0.05,0.06,0.04,0.05,0.03,0.05,0.03,0.04,0.03,0.04,0.02,0.03,0.02,0.03
