,>= +0.25%,<= -0.25%,>= +0.50%,<= -0.50%,>= +0.75%,<= -0.75%,>= +1.00%,<= -1.00%,>= +1.25%,<= -1.25%
1m TTC,1.1,1.55,0.09,0.19,0.03,0.04,0.01,0.02,0.01,0.0
2m TTC,2.92,3.94,0.32,0.59,0.07,0.14,0.02,0.04,0.01,0.01
3m TTC,4.86,6.09,0.63,1.15,0.15,0.31,0.05,0.12,0.03,0.05
4m TTC,6.83,7.88,1.0,1.69,0.25,0.5,0.1,0.18,0.06,0.09
5m TTC,8.55,9.25,1.43,2.3,0.35,0.75,0.15,0.3,0.08,0.12
6m TTC,10.35,10.62,1.81,2.89,0.52,1.04,0.2,0.43,0.07,0.2
7m TTC,11.77,11.87,2.38,3.41,0.63,1.26,0.26,0.52,0.12,0.26
8m TTC,13.05,12.8,2.9,3.93,0.83,1.49,0.33,0.67,0.14,0.35
9m TTC,14.2,13.84,3.33,4.43,1.07,1.73,0.44,0.8,0.2,0.45
10m TTC,15.32,14.62,3.81,4.94,1.23,2.06,0.5,0.99,0.23,0.53
11m TTC,16.51,15.44,4.39,5.46,1.4,2.36,0.58,1.14,0.28,0.63
12m TTC,17.45,16.24,4.77,6.0,1.7,2.52,0.7,1.25,0.34,0.7
13m TTC,18.43,16.86,5.28,6.45,1.75,2.87,0.77,1.43,0.39,0.8
14m TTC,19.23,17.77,5.71,7.01,2.03,3.12,0.83,1.6,0.42,0.91
15m TTC,19.97,18.38,6.21,7.33,2.27,3.33,0.9,1.76,0.47,1.01
