,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,53.97,46.1,39.03,32.07,24.38,21.08,13.85,13.66,8.1,8.29,4.65,5.55,2.66,3.9,1.45,2.53,0.82,1.69,0.6,1.16,0.44,0.92,0.28,0.67,0.15,0.43,0.11,0.33,0.08,0.25,0.05,0.23,0.04,0.15,0.04,0.15,0.04,0.11,0.04,0.1,0.04,0.07,0.04,0.06,0.04,0.06,0.04,0.02,0.04,0.01,0.04,0.01,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,55.36,44.77,43.06,35.07,31.64,26.0,22.18,19.22,14.82,14.15,10.22,10.33,7.0,7.2,4.46,5.23,3.17,3.94,2.04,2.96,1.52,2.17,1.02,1.58,0.81,1.28,0.65,1.12,0.53,0.85,0.46,0.73,0.29,0.61,0.21,0.43,0.2,0.37,0.19,0.31,0.14,0.25,0.1,0.22,0.07,0.18,0.07,0.16,0.07,0.13,0.06,0.07,0.05,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.02,0.04,0.01,0.04,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01
3m TTC,55.09,45.02,45.47,36.26,35.34,28.49,26.95,22.25,20.07,17.3,13.69,13.83,9.86,10.78,6.73,8.03,4.74,6.29,3.47,5.02,2.6,4.11,2.08,3.06,1.55,2.2,1.37,1.9,1.09,1.52,0.91,1.27,0.73,1.08,0.59,0.92,0.41,0.78,0.33,0.69,0.24,0.61,0.18,0.47,0.16,0.3,0.15,0.29,0.13,0.24,0.13,0.19,0.13,0.17,0.13,0.14,0.13,0.13,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.01,0.05,0.01,0.04,0.01,0.03,0.0,0.03
4m TTC,54.99,45.1,46.81,37.04,37.9,30.36,29.78,24.46,23.11,19.82,17.31,16.21,12.9,12.38,9.58,9.71,7.05,7.71,5.16,6.31,4.17,5.13,3.09,4.36,2.48,3.45,2.02,2.88,1.66,2.34,1.33,1.94,0.99,1.57,0.85,1.38,0.71,1.1,0.66,0.97,0.59,0.81,0.37,0.75,0.35,0.67,0.27,0.57,0.24,0.46,0.19,0.43,0.18,0.43,0.17,0.4,0.13,0.35,0.12,0.31,0.12,0.27,0.1,0.26,0.1,0.25,0.1,0.25,0.08,0.13,0.08,0.12,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.07
5m TTC,55.01,45.03,46.98,37.49,38.94,31.0,31.52,25.41,24.88,20.83,19.24,16.9,15.03,13.61,11.71,11.07,9.21,9.5,6.98,7.59,5.27,6.01,4.28,5.12,3.41,4.37,2.64,3.65,2.2,3.07,1.8,2.62,1.36,2.2,1.16,1.88,1.02,1.45,0.99,1.33,0.9,1.22,0.66,1.03,0.55,0.91,0.46,0.77,0.31,0.71,0.27,0.59,0.24,0.51,0.2,0.4,0.2,0.35,0.19,0.32,0.15,0.31,0.13,0.27,0.13,0.27,0.13,0.25,0.1,0.24,0.1,0.21,0.09,0.18,0.09,0.15,0.08,0.14,0.08,0.1
6m TTC,55.02,45.13,48.23,38.57,40.78,32.75,34.08,27.56,27.91,22.69,22.42,18.56,17.44,15.43,13.97,12.87,11.15,11.1,8.45,9.19,6.63,7.81,5.16,6.28,4.17,5.4,3.33,4.38,2.8,3.59,2.28,3.14,1.8,2.73,1.52,2.19,1.24,1.89,1.02,1.69,0.92,1.48,0.74,1.32,0.59,1.24,0.51,1.13,0.4,0.94,0.39,0.88,0.32,0.8,0.26,0.66,0.24,0.63,0.23,0.52,0.19,0.48,0.14,0.44,0.13,0.36,0.13,0.34,0.11,0.3,0.11,0.27,0.11,0.26,0.09,0.25,0.08,0.24,0.08,0.24
7m TTC,54.54,45.57,47.93,39.81,41.38,34.01,34.82,28.66,29.05,23.92,24.15,20.15,19.53,16.64,15.96,14.11,12.32,12.16,9.86,10.37,7.93,8.69,6.25,7.51,4.97,6.57,3.92,5.4,3.1,4.36,2.65,3.79,2.31,3.37,1.99,3.01,1.61,2.56,1.33,2.25,1.16,1.96,1.09,1.81,0.94,1.67,0.74,1.48,0.61,1.33,0.55,1.22,0.46,1.02,0.44,0.86,0.42,0.82,0.35,0.69,0.35,0.62,0.32,0.55,0.31,0.48,0.29,0.46,0.24,0.39,0.21,0.37,0.18,0.34,0.18,0.29,0.13,0.27,0.1,0.26
8m TTC,54.73,45.38,48.46,39.47,42.79,33.77,36.43,29.4,30.89,24.71,25.91,20.85,21.11,17.66,17.53,15.34,13.99,13.31,11.4,11.43,9.22,9.69,7.49,8.48,5.94,7.16,4.62,6.21,3.69,5.45,3.07,4.82,2.52,3.98,2.21,3.45,1.89,2.93,1.55,2.66,1.48,2.48,1.3,2.06,1.16,1.92,1.04,1.73,0.83,1.55,0.77,1.38,0.74,1.18,0.58,1.13,0.51,1.09,0.46,0.99,0.4,0.9,0.36,0.81,0.3,0.74,0.25,0.69,0.24,0.56,0.23,0.52,0.22,0.49,0.19,0.46,0.18,0.44,0.17,0.38
9m TTC,55.12,45.02,49.01,39.29,42.75,34.5,37.1,29.86,31.91,26.09,26.5,22.64,22.04,19.3,18.08,16.88,15.16,14.5,12.04,12.38,9.91,10.73,8.27,9.21,6.58,8.14,5.39,7.01,4.51,6.06,3.85,5.53,3.26,4.83,2.72,4.2,2.26,3.79,2.02,3.08,1.74,2.7,1.51,2.42,1.4,2.03,1.27,1.91,1.21,1.69,1.0,1.48,0.83,1.36,0.74,1.29,0.71,1.18,0.65,1.08,0.63,0.97,0.57,0.92,0.44,0.8,0.41,0.72,0.32,0.58,0.28,0.57,0.27,0.56,0.27,0.52,0.21,0.49,0.18,0.46
10m TTC,54.49,45.54,48.97,40.87,43.93,35.85,38.58,31.48,33.51,26.92,28.85,23.06,24.37,19.95,19.99,17.38,16.38,14.98,13.28,12.8,10.9,10.96,8.88,9.83,7.2,8.56,6.06,7.6,5.08,6.55,4.38,5.73,3.68,5.04,2.99,4.49,2.7,4.1,2.47,3.79,2.1,3.39,1.87,2.93,1.67,2.66,1.52,2.34,1.33,2.07,1.22,1.89,1.04,1.71,0.91,1.61,0.79,1.5,0.66,1.28,0.6,1.16,0.55,1.11,0.44,1.06,0.4,0.94,0.31,0.77,0.31,0.75,0.27,0.72,0.26,0.67,0.2,0.65,0.18,0.6
