,>= +0.25%,<= -0.25%,>= +0.50%,<= -0.50%,>= +0.75%,<= -0.75%,>= +1.00%,<= -1.00%,>= +1.25%,<= -1.25%
1m TTC,2.12,3.08,0.2,0.4,0.04,0.14,0.03,0.03,0.02,0.02
2m TTC,5.33,6.69,0.6,1.23,0.13,0.39,0.05,0.16,0.02,0.08
3m TTC,8.47,9.52,1.26,2.16,0.32,0.66,0.1,0.26,0.04,0.15
4m TTC,10.63,11.22,1.99,2.95,0.5,1.04,0.15,0.39,0.07,0.2
5m TTC,12.92,13.4,2.66,4.03,0.73,1.34,0.25,0.61,0.1,0.27
6m TTC,15.07,14.34,3.44,4.79,0.99,1.81,0.32,0.83,0.16,0.39
7m TTC,16.48,15.44,4.32,5.51,1.18,2.21,0.46,1.04,0.21,0.5
8m TTC,18.08,16.58,4.99,6.07,1.59,2.51,0.63,1.26,0.26,0.64
9m TTC,19.63,17.53,5.67,6.68,1.94,2.97,0.85,1.4,0.37,0.76
10m TTC,20.42,18.58,6.35,7.53,2.22,3.4,0.92,1.71,0.48,0.88
11m TTC,21.59,19.63,7.01,8.08,2.46,3.68,1.05,1.92,0.53,1.01
12m TTC,22.46,20.74,7.54,8.62,2.94,4.15,1.21,2.15,0.62,1.14
13m TTC,23.04,21.33,8.42,9.03,3.22,4.43,1.45,2.43,0.8,1.32
14m TTC,24.1,21.72,8.86,9.94,3.44,4.66,1.53,2.59,0.8,1.55
15m TTC,24.95,22.69,9.38,10.43,3.76,5.17,1.72,2.87,0.89,1.76
