,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,50.87,49.87,16.48,16.0,5.22,5.41,1.93,2.13,0.85,1.03,0.4,0.5,0.22,0.27,0.13,0.16,0.07,0.1,0.05,0.06,0.04,0.05,0.03,0.04,0.02,0.03,0.01,0.03,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,50.89,49.55,23.4,22.38,10.07,10.05,4.57,4.92,2.22,2.63,1.26,1.49,0.75,0.88,0.43,0.56,0.28,0.37,0.2,0.26,0.14,0.17,0.09,0.12,0.06,0.09,0.05,0.07,0.04,0.05,0.03,0.04,0.02,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,51.08,49.24,27.35,26.16,13.8,13.19,7.09,7.18,3.82,4.09,2.23,2.53,1.32,1.61,0.85,1.05,0.58,0.73,0.39,0.52,0.27,0.38,0.19,0.28,0.14,0.22,0.11,0.17,0.08,0.13,0.06,0.1,0.05,0.08,0.04,0.06,0.04,0.05,0.03,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4m TTC,51.03,49.21,30.03,28.46,16.63,15.88,9.15,9.07,5.32,5.52,3.29,3.46,2.03,2.26,1.31,1.54,0.87,1.09,0.61,0.8,0.46,0.58,0.34,0.44,0.25,0.34,0.19,0.25,0.15,0.19,0.12,0.15,0.1,0.12,0.08,0.1,0.06,0.09,0.05,0.07,0.04,0.06,0.04,0.06,0.03,0.05,0.02,0.05,0.02,0.04,0.02,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0
5m TTC,51.02,49.23,32.06,30.28,18.94,17.79,11.12,10.87,6.64,6.83,4.1,4.46,2.73,3.02,1.84,2.1,1.31,1.47,0.92,1.08,0.69,0.81,0.49,0.63,0.39,0.48,0.3,0.37,0.23,0.29,0.18,0.23,0.14,0.18,0.12,0.15,0.09,0.12,0.07,0.1,0.06,0.09,0.05,0.08,0.04,0.07,0.04,0.06,0.03,0.05,0.03,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
6m TTC,51.22,49.0,33.77,31.46,20.93,19.45,12.75,12.33,7.96,7.98,5.12,5.32,3.46,3.7,2.4,2.66,1.71,1.95,1.25,1.43,0.92,1.07,0.69,0.82,0.54,0.64,0.4,0.52,0.32,0.4,0.25,0.32,0.2,0.26,0.16,0.22,0.14,0.18,0.12,0.15,0.1,0.13,0.09,0.11,0.07,0.09,0.06,0.08,0.05,0.07,0.04,0.05,0.03,0.05,0.03,0.05,0.03,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
7m TTC,51.38,48.81,35.11,32.63,22.61,20.98,14.38,13.61,9.27,9.16,6.12,6.2,4.18,4.39,2.9,3.18,2.12,2.37,1.58,1.77,1.19,1.36,0.87,1.04,0.68,0.83,0.52,0.65,0.4,0.52,0.33,0.42,0.27,0.34,0.22,0.27,0.18,0.23,0.15,0.2,0.13,0.18,0.11,0.16,0.09,0.14,0.08,0.12,0.07,0.1,0.06,0.09,0.05,0.08,0.04,0.07,0.04,0.06,0.03,0.05,0.03,0.05,0.03,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01
8m TTC,51.45,48.73,35.92,33.56,23.9,22.2,15.63,14.88,10.3,10.11,6.96,7.04,4.81,5.04,3.44,3.66,2.52,2.74,1.89,2.11,1.44,1.63,1.1,1.29,0.84,1.04,0.66,0.86,0.53,0.69,0.42,0.55,0.33,0.44,0.27,0.37,0.23,0.3,0.18,0.26,0.16,0.23,0.13,0.19,0.11,0.16,0.09,0.15,0.08,0.12,0.07,0.1,0.06,0.09,0.05,0.08,0.04,0.07,0.04,0.06,0.03,0.06,0.03,0.05,0.03,0.05,0.02,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.01,0.03,0.01,0.03,0.01,0.02
9m TTC,51.41,48.74,36.69,34.4,25.11,23.34,16.8,15.93,11.33,11.01,7.78,7.82,5.41,5.64,3.93,4.18,2.92,3.15,2.19,2.45,1.69,1.89,1.3,1.51,1.02,1.22,0.8,1.0,0.65,0.8,0.51,0.68,0.42,0.55,0.35,0.46,0.29,0.38,0.24,0.31,0.2,0.27,0.16,0.23,0.14,0.19,0.11,0.17,0.1,0.16,0.09,0.13,0.08,0.12,0.07,0.1,0.06,0.09,0.06,0.08,0.04,0.07,0.04,0.07,0.03,0.06,0.03,0.05,0.02,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.02,0.03,0.01,0.03
10m TTC,51.32,48.84,37.43,35.15,26.02,24.45,17.91,16.9,12.25,11.93,8.59,8.59,6.02,6.21,4.42,4.66,3.3,3.57,2.51,2.74,1.94,2.18,1.5,1.72,1.18,1.4,0.94,1.12,0.78,0.92,0.63,0.79,0.51,0.65,0.42,0.54,0.34,0.45,0.29,0.38,0.24,0.33,0.2,0.29,0.18,0.25,0.15,0.21,0.12,0.18,0.11,0.16,0.1,0.14,0.09,0.11,0.08,0.1,0.07,0.09,0.06,0.08,0.05,0.07,0.05,0.07,0.04,0.06,0.04,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.03
