,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,53.61,46.52,39.61,33.29,26.47,22.41,16.12,15.45,8.92,10.22,5.0,7.22,3.16,4.91,1.98,3.45,1.01,2.42,0.59,1.56,0.46,1.11,0.4,0.83,0.33,0.75,0.25,0.55,0.1,0.5,0.09,0.48,0.09,0.42,0.09,0.33,0.05,0.33,0.05,0.31,0.04,0.18,0.03,0.18,0.02,0.13,0.02,0.13,0.02,0.13,0.02,0.09,0.02,0.09,0.02,0.07,0.02,0.07,0.02,0.07,0.02,0.07,0.02,0.07,0.01,0.07,0.01,0.07,0.01,0.07,0.01,0.07,0.01,0.07,0.01,0.07,0.0,0.07,0.0,0.07
2m TTC,54.75,45.39,44.07,35.01,33.69,27.75,23.51,21.06,17.23,15.73,11.94,11.4,8.19,8.44,5.65,6.23,3.74,5.19,2.83,3.51,2.0,2.83,1.42,2.26,1.04,1.92,0.74,1.68,0.53,1.29,0.45,1.09,0.26,0.97,0.19,0.76,0.19,0.63,0.17,0.49,0.12,0.45,0.05,0.4,0.05,0.37,0.05,0.37,0.05,0.32,0.04,0.31,0.04,0.31,0.02,0.26,0.02,0.23,0.02,0.22,0.02,0.11,0.02,0.11,0.02,0.11,0.02,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.01,0.1,0.0,0.1,0.0,0.07
3m TTC,54.58,45.47,45.42,37.17,36.89,30.14,29.01,24.27,21.8,18.91,16.21,14.87,11.85,12.01,9.0,9.49,6.35,7.67,4.66,6.06,3.53,4.73,2.87,4.0,2.16,3.15,1.48,2.71,0.98,2.3,0.83,1.81,0.68,1.46,0.48,1.34,0.45,1.0,0.3,0.91,0.27,0.77,0.2,0.75,0.18,0.67,0.14,0.61,0.09,0.56,0.09,0.5,0.08,0.5,0.04,0.49,0.04,0.47,0.04,0.42,0.02,0.41,0.02,0.41,0.02,0.35,0.02,0.34,0.02,0.21,0.02,0.2,0.02,0.15,0.01,0.15,0.01,0.1,0.0,0.1
4m TTC,54.82,45.19,47.81,38.42,40.37,32.63,31.94,26.96,25.67,21.85,19.54,17.68,15.57,14.58,11.85,12.11,8.56,9.75,6.75,8.08,4.9,6.6,3.78,5.65,2.97,4.75,2.4,4.13,1.66,3.62,1.35,3.14,1.09,2.53,0.93,2.02,0.67,1.73,0.6,1.45,0.47,1.27,0.41,1.22,0.35,1.07,0.29,0.99,0.22,0.85,0.22,0.73,0.18,0.63,0.1,0.63,0.09,0.62,0.06,0.53,0.06,0.43,0.06,0.4,0.03,0.4,0.03,0.33,0.03,0.26,0.03,0.23,0.03,0.23,0.03,0.22,0.01,0.21,0.01,0.13
5m TTC,53.69,46.42,46.48,39.56,39.82,33.77,33.28,28.45,26.91,23.66,21.57,19.92,17.23,16.51,13.38,13.76,10.12,11.47,7.62,9.62,6.25,7.95,5.11,6.62,3.95,5.73,3.08,5.01,2.37,4.35,1.96,3.69,1.64,3.28,1.43,2.83,1.27,2.45,1.0,2.23,0.84,1.87,0.58,1.77,0.41,1.61,0.33,1.37,0.33,1.25,0.25,1.0,0.18,0.83,0.14,0.68,0.14,0.67,0.11,0.64,0.09,0.62,0.09,0.52,0.09,0.47,0.07,0.42,0.07,0.4,0.05,0.32,0.05,0.22,0.05,0.21,0.03,0.18,0.03,0.17
6m TTC,53.09,46.93,46.01,40.42,39.73,34.93,33.6,29.68,28.18,25.21,23.33,21.36,18.89,18.31,15.66,15.36,12.06,12.94,9.45,11.09,7.66,9.37,6.12,7.38,4.9,6.26,4.1,5.39,3.19,4.74,2.54,4.02,2.28,3.59,1.87,3.27,1.64,2.97,1.35,2.62,1.11,2.45,0.9,2.24,0.72,2.04,0.47,1.79,0.44,1.65,0.32,1.42,0.24,1.29,0.21,1.0,0.18,0.83,0.13,0.78,0.13,0.74,0.1,0.64,0.08,0.59,0.08,0.57,0.05,0.41,0.05,0.38,0.05,0.38,0.05,0.38,0.05,0.38,0.05,0.33
7m TTC,53.42,46.69,47.47,40.98,41.67,35.51,35.39,30.85,29.65,26.37,24.39,22.43,20.72,18.68,16.72,15.56,13.4,13.29,11.15,11.31,8.86,9.47,7.36,8.51,5.82,7.33,4.89,6.29,3.87,5.38,3.37,4.58,2.85,4.03,2.33,3.75,1.92,3.42,1.63,3.18,1.36,2.78,1.11,2.57,0.91,2.41,0.69,2.2,0.54,1.99,0.54,1.88,0.44,1.75,0.42,1.63,0.29,1.54,0.26,1.34,0.25,1.15,0.24,1.07,0.23,0.96,0.22,0.83,0.22,0.72,0.22,0.69,0.16,0.66,0.15,0.62,0.15,0.52,0.13,0.49
8m TTC,53.91,46.13,48.79,40.95,42.64,35.11,36.75,31.01,30.97,26.52,26.02,23.11,21.98,20.15,18.14,17.69,14.86,14.98,12.27,13.2,10.2,11.35,7.83,9.76,6.49,8.26,5.44,7.18,4.42,6.28,3.88,5.57,3.34,4.99,2.98,4.3,2.34,3.91,2.03,3.52,1.69,3.11,1.41,2.98,1.2,2.86,0.91,2.56,0.7,2.31,0.65,2.21,0.53,1.9,0.42,1.72,0.35,1.52,0.31,1.42,0.31,1.25,0.3,1.17,0.27,0.98,0.24,0.96,0.21,0.74,0.19,0.73,0.17,0.71,0.16,0.6,0.15,0.55,0.1,0.55
9m TTC,54.53,45.54,48.9,40.9,43.67,35.63,37.86,31.83,32.19,27.99,27.71,23.88,23.55,21.16,19.2,18.44,15.79,15.64,12.94,13.64,10.88,12.21,9.15,10.69,7.42,9.02,6.07,7.84,5.29,6.94,4.34,6.13,3.51,5.56,2.96,4.94,2.47,4.5,2.18,4.06,2.0,3.73,1.71,3.4,1.43,3.01,1.3,2.67,1.17,2.46,0.91,2.19,0.83,1.96,0.76,1.63,0.69,1.57,0.61,1.35,0.54,1.16,0.45,0.95,0.36,0.85,0.35,0.8,0.24,0.7,0.24,0.6,0.21,0.6,0.2,0.55,0.19,0.53,0.16,0.46
10m TTC,54.39,45.64,49.19,40.41,43.61,36.01,37.92,31.66,32.48,27.81,27.65,24.81,23.41,21.96,19.48,19.11,16.35,17.0,13.5,14.83,11.74,13.12,9.8,11.67,7.94,10.11,6.7,8.67,5.65,7.86,4.87,6.84,3.97,5.89,3.35,5.21,3.04,4.74,2.68,4.35,2.34,3.81,2.03,3.38,1.79,3.02,1.57,2.83,1.2,2.54,1.12,2.25,0.99,2.04,0.86,1.91,0.74,1.57,0.68,1.39,0.51,1.27,0.46,1.2,0.38,0.98,0.32,0.91,0.25,0.8,0.23,0.63,0.14,0.59,0.13,0.58,0.12,0.52,0.12,0.5
