,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,47.82,52.41,30.51,33.87,17.89,18.32,10.48,8.57,6.12,4.23,3.74,2.13,2.34,1.21,1.31,0.72,0.87,0.44,0.59,0.28,0.39,0.18,0.28,0.12,0.18,0.08,0.09,0.06,0.06,0.04,0.04,0.04,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,47.45,52.71,33.95,38.05,23.95,25.84,16.17,16.35,11.03,9.97,7.6,6.21,5.22,4.02,3.5,2.46,2.48,1.54,1.85,1.01,1.44,0.69,1.07,0.53,0.82,0.37,0.59,0.26,0.48,0.21,0.37,0.16,0.27,0.14,0.19,0.09,0.14,0.06,0.12,0.05,0.11,0.04,0.09,0.04,0.08,0.03,0.07,0.03,0.06,0.03,0.06,0.03,0.04,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0
3m TTC,47.93,52.24,36.73,40.69,27.37,30.12,20.23,21.15,14.67,14.24,10.74,9.3,7.72,6.26,5.71,4.09,4.26,2.88,3.2,2.04,2.39,1.52,1.89,1.1,1.49,0.82,1.16,0.65,1.01,0.53,0.75,0.38,0.58,0.29,0.46,0.22,0.32,0.16,0.21,0.12,0.18,0.11,0.16,0.08,0.14,0.07,0.13,0.06,0.12,0.06,0.11,0.05,0.09,0.04,0.08,0.04,0.07,0.04,0.07,0.03,0.06,0.03,0.05,0.01,0.05,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
4m TTC,47.37,52.73,37.21,41.92,29.03,31.92,22.41,23.52,17.43,16.96,13.18,12.15,10.01,8.55,7.62,6.04,5.85,4.38,4.61,3.03,3.66,2.18,3.03,1.67,2.42,1.35,2.0,1.04,1.6,0.81,1.35,0.64,1.08,0.52,0.83,0.4,0.68,0.35,0.58,0.29,0.49,0.24,0.43,0.2,0.36,0.17,0.32,0.13,0.26,0.09,0.18,0.08,0.13,0.07,0.12,0.06,0.11,0.06,0.1,0.04,0.09,0.04,0.09,0.04,0.08,0.03,0.06,0.03,0.05,0.02,0.05,0.02,0.04,0.02,0.04,0.02,0.04,0.0,0.04,0.0
5m TTC,47.24,52.86,38.92,43.32,31.08,33.79,24.81,26.13,19.72,19.32,15.25,14.4,11.65,10.63,8.96,7.66,7.07,5.65,5.75,4.13,4.59,3.26,3.66,2.57,2.99,1.89,2.54,1.4,2.1,1.06,1.79,0.9,1.53,0.72,1.33,0.58,1.08,0.43,0.93,0.38,0.82,0.29,0.72,0.27,0.64,0.26,0.56,0.21,0.46,0.15,0.41,0.12,0.36,0.11,0.3,0.09,0.25,0.08,0.22,0.08,0.18,0.05,0.16,0.05,0.13,0.04,0.11,0.04,0.06,0.04,0.06,0.03,0.04,0.03,0.04,0.02,0.04,0.02,0.03,0.02
6m TTC,47.48,52.61,38.98,43.85,31.77,35.6,26.11,27.83,21.0,21.49,17.05,16.0,13.35,12.26,10.85,9.37,8.73,7.15,7.12,5.45,5.76,4.28,4.82,3.32,3.83,2.52,3.11,1.99,2.63,1.62,2.24,1.28,1.88,0.98,1.58,0.79,1.36,0.66,1.16,0.59,1.03,0.45,0.91,0.41,0.76,0.36,0.63,0.33,0.56,0.3,0.5,0.21,0.44,0.17,0.39,0.16,0.37,0.13,0.32,0.1,0.27,0.08,0.25,0.05,0.23,0.04,0.21,0.04,0.17,0.03,0.12,0.03,0.09,0.03,0.07,0.03,0.06,0.02,0.04,0.02
7m TTC,47.6,52.5,39.53,44.14,32.39,36.21,26.72,29.12,22.21,22.89,18.04,18.0,14.5,14.37,11.92,11.08,9.7,8.73,7.87,6.65,6.56,5.26,5.36,4.07,4.43,3.1,3.78,2.51,3.21,1.89,2.72,1.59,2.32,1.28,1.85,1.03,1.62,0.8,1.34,0.66,1.16,0.54,1.01,0.47,0.91,0.42,0.87,0.36,0.78,0.29,0.68,0.24,0.6,0.18,0.54,0.17,0.46,0.15,0.4,0.15,0.32,0.11,0.28,0.07,0.24,0.06,0.21,0.05,0.19,0.04,0.17,0.04,0.14,0.03,0.1,0.03,0.09,0.03,0.08,0.03
8m TTC,47.63,52.42,39.99,44.57,34.09,37.27,27.96,30.26,23.01,24.37,19.17,19.43,15.91,15.23,12.85,12.21,10.56,9.8,8.71,7.71,7.38,6.32,6.2,5.19,5.26,3.99,4.49,3.23,3.79,2.57,3.23,2.16,2.8,1.75,2.4,1.37,1.92,1.11,1.71,0.97,1.53,0.81,1.29,0.71,1.15,0.62,1.05,0.51,0.9,0.48,0.84,0.4,0.77,0.35,0.68,0.28,0.64,0.24,0.59,0.2,0.5,0.18,0.42,0.16,0.4,0.15,0.34,0.14,0.25,0.09,0.24,0.09,0.23,0.09,0.18,0.07,0.15,0.05,0.15,0.04
9m TTC,47.84,52.23,40.9,44.95,34.02,37.74,28.64,31.1,23.95,25.13,19.81,19.99,16.8,16.07,14.03,12.98,11.8,10.38,9.62,8.35,8.35,6.61,6.99,5.5,5.97,4.51,5.18,3.74,4.36,3.08,3.74,2.54,3.3,2.13,2.78,1.56,2.4,1.26,2.04,1.08,1.88,0.89,1.61,0.74,1.41,0.65,1.31,0.58,1.14,0.5,0.99,0.45,0.92,0.39,0.81,0.35,0.69,0.33,0.59,0.27,0.57,0.25,0.51,0.22,0.46,0.2,0.43,0.16,0.34,0.13,0.32,0.11,0.27,0.09,0.26,0.06,0.19,0.05,0.17,0.05
10m TTC,47.55,52.55,40.89,45.22,35.38,38.29,29.76,31.99,24.8,26.21,20.76,21.15,17.5,17.01,14.84,13.95,12.59,11.32,10.44,9.1,8.9,7.27,7.65,5.93,6.44,4.74,5.69,3.98,5.0,3.31,4.41,2.63,3.81,2.12,3.22,1.81,2.82,1.46,2.5,1.24,2.11,1.06,1.86,0.84,1.69,0.74,1.49,0.66,1.34,0.55,1.17,0.5,1.0,0.48,0.96,0.45,0.84,0.44,0.72,0.41,0.69,0.37,0.56,0.33,0.46,0.28,0.41,0.23,0.37,0.19,0.31,0.16,0.27,0.16,0.24,0.14,0.22,0.12,0.22,0.11
