,>= +0.25%,<= -0.25%,>= +0.50%,<= -0.50%,>= +0.75%,<= -0.75%,>= +1.00%,<= -1.00%,>= +1.25%,<= -1.25%
1m TTC,0.47,0.53,0.03,0.05,0.01,0.01,0.0,0.0,0.0,0.0
2m TTC,1.39,1.6,0.14,0.19,0.04,0.05,0.02,0.02,0.01,0.01
3m TTC,2.47,2.78,0.33,0.41,0.09,0.11,0.04,0.05,0.02,0.02
4m TTC,3.6,3.86,0.54,0.66,0.14,0.19,0.05,0.08,0.03,0.04
5m TTC,4.67,4.9,0.77,0.91,0.21,0.29,0.09,0.12,0.04,0.06
6m TTC,5.74,5.85,1.02,1.21,0.3,0.38,0.12,0.16,0.06,0.08
7m TTC,6.72,6.79,1.27,1.43,0.39,0.47,0.16,0.21,0.07,0.1
8m TTC,7.72,7.65,1.53,1.75,0.49,0.59,0.21,0.26,0.1,0.13
9m TTC,8.51,8.49,1.86,2.07,0.57,0.71,0.25,0.32,0.12,0.17
10m TTC,9.36,9.14,2.08,2.4,0.73,0.85,0.29,0.39,0.15,0.2
11m TTC,10.05,9.9,2.36,2.69,0.81,0.98,0.33,0.43,0.18,0.22
12m TTC,10.79,10.61,2.63,3.01,0.91,1.14,0.4,0.51,0.22,0.26
13m TTC,11.51,11.22,2.9,3.3,1.03,1.28,0.46,0.59,0.24,0.32
14m TTC,12.12,11.88,3.14,3.6,1.15,1.4,0.53,0.67,0.28,0.36
15m TTC,12.67,12.39,3.45,3.93,1.26,1.55,0.59,0.79,0.29,0.42
