,>= +0.25%,<= -0.25%,>= +0.50%,<= -0.50%,>= +0.75%,<= -0.75%,>= +1.00%,<= -1.00%,>= +1.25%,<= -1.25%
1m TTC,0.65,0.82,0.06,0.07,0.02,0.02,0.0,0.0,0.0,0.0
2m TTC,1.96,2.44,0.2,0.31,0.06,0.08,0.02,0.03,0.01,0.01
3m TTC,3.34,3.87,0.41,0.64,0.1,0.2,0.04,0.07,0.02,0.03
4m TTC,4.88,5.35,0.7,1.03,0.18,0.3,0.07,0.12,0.03,0.04
5m TTC,6.2,6.68,0.99,1.45,0.27,0.44,0.1,0.2,0.04,0.1
6m TTC,7.48,7.9,1.24,1.84,0.38,0.61,0.15,0.24,0.05,0.12
7m TTC,8.7,8.89,1.61,2.21,0.48,0.75,0.18,0.32,0.1,0.17
8m TTC,9.81,9.97,1.99,2.65,0.65,0.93,0.27,0.4,0.1,0.2
9m TTC,10.92,10.75,2.34,2.98,0.78,1.13,0.31,0.5,0.15,0.26
10m TTC,11.75,11.55,2.65,3.4,0.9,1.29,0.39,0.62,0.19,0.31
11m TTC,12.62,12.14,2.97,3.68,1.07,1.44,0.44,0.66,0.23,0.36
12m TTC,13.61,12.98,3.29,4.01,1.18,1.6,0.5,0.75,0.25,0.4
13m TTC,14.47,13.64,3.67,4.43,1.35,1.8,0.59,0.88,0.29,0.45
14m TTC,15.01,14.27,4.1,4.81,1.48,1.96,0.66,1.0,0.35,0.52
15m TTC,15.67,15.08,4.43,5.13,1.66,2.14,0.77,1.0,0.38,0.56
