,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,48.63,51.71,22.09,24.35,9.81,9.52,4.42,3.8,2.2,1.75,1.18,0.87,0.71,0.47,0.42,0.31,0.26,0.21,0.18,0.13,0.12,0.1,0.09,0.05,0.07,0.04,0.05,0.02,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,48.32,51.95,28.52,31.05,15.72,16.47,8.95,8.41,5.14,4.49,3.14,2.62,2.0,1.58,1.3,0.97,0.89,0.65,0.59,0.45,0.43,0.34,0.33,0.23,0.24,0.17,0.18,0.13,0.14,0.1,0.12,0.08,0.09,0.07,0.08,0.05,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,48.19,52.01,31.17,34.18,19.4,20.76,11.88,12.09,7.42,6.96,4.84,4.28,3.34,2.66,2.33,1.73,1.67,1.2,1.2,0.87,0.85,0.66,0.63,0.48,0.46,0.37,0.38,0.3,0.3,0.23,0.24,0.17,0.21,0.13,0.16,0.1,0.14,0.07,0.11,0.07,0.1,0.06,0.08,0.05,0.07,0.04,0.06,0.03,0.05,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4m TTC,48.67,51.48,33.54,36.39,22.34,23.91,14.65,14.93,9.78,9.54,6.7,6.04,4.52,4.01,3.18,2.76,2.37,1.93,1.79,1.4,1.38,1.0,1.04,0.75,0.83,0.58,0.67,0.46,0.54,0.35,0.44,0.28,0.37,0.24,0.31,0.19,0.25,0.15,0.19,0.13,0.16,0.11,0.14,0.09,0.12,0.07,0.11,0.06,0.09,0.06,0.08,0.04,0.07,0.04,0.06,0.04,0.06,0.03,0.05,0.03,0.05,0.02,0.04,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02
5m TTC,48.53,51.61,34.98,37.69,24.2,25.97,16.71,17.53,11.45,11.46,8.03,7.6,5.85,5.18,4.32,3.62,3.18,2.6,2.4,1.91,1.81,1.42,1.44,1.15,1.13,0.89,0.91,0.71,0.73,0.56,0.56,0.45,0.45,0.36,0.39,0.29,0.35,0.24,0.29,0.21,0.26,0.18,0.23,0.15,0.2,0.13,0.18,0.11,0.16,0.1,0.13,0.08,0.11,0.07,0.1,0.07,0.09,0.06,0.08,0.06,0.07,0.06,0.07,0.05,0.06,0.05,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02
6m TTC,48.72,51.41,35.89,38.85,25.75,28.05,18.34,19.51,13.07,13.24,9.33,9.09,6.88,6.42,5.08,4.62,3.76,3.38,2.82,2.48,2.29,1.87,1.81,1.43,1.45,1.17,1.15,0.92,0.94,0.75,0.77,0.61,0.62,0.5,0.52,0.38,0.45,0.32,0.38,0.26,0.33,0.23,0.29,0.19,0.26,0.17,0.23,0.14,0.21,0.13,0.18,0.11,0.16,0.09,0.13,0.08,0.12,0.08,0.11,0.07,0.1,0.06,0.09,0.05,0.08,0.05,0.07,0.05,0.06,0.03,0.05,0.03,0.04,0.03,0.04,0.03,0.04,0.02,0.04,0.02
7m TTC,48.45,51.66,36.95,39.92,27.17,29.37,19.95,21.06,14.6,14.79,10.67,10.57,7.86,7.39,5.96,5.45,4.54,4.04,3.59,3.05,2.79,2.37,2.25,1.8,1.79,1.42,1.49,1.13,1.19,0.93,0.94,0.72,0.78,0.6,0.66,0.5,0.56,0.42,0.47,0.35,0.42,0.3,0.36,0.25,0.27,0.2,0.24,0.16,0.21,0.14,0.19,0.12,0.17,0.1,0.15,0.09,0.14,0.09,0.12,0.08,0.11,0.07,0.1,0.07,0.09,0.06,0.09,0.06,0.07,0.04,0.06,0.04,0.06,0.04,0.05,0.04,0.05,0.03,0.05,0.03
8m TTC,48.51,51.6,37.5,40.82,28.25,30.71,20.94,22.59,15.71,16.26,11.69,11.69,8.82,8.47,6.75,6.25,5.19,4.74,4.0,3.57,3.25,2.73,2.56,2.16,2.07,1.69,1.7,1.35,1.38,1.13,1.18,0.93,0.96,0.78,0.79,0.61,0.68,0.52,0.58,0.44,0.51,0.37,0.44,0.3,0.37,0.25,0.32,0.22,0.27,0.19,0.24,0.17,0.23,0.15,0.2,0.13,0.17,0.11,0.16,0.1,0.14,0.09,0.13,0.08,0.12,0.07,0.1,0.06,0.08,0.05,0.07,0.05,0.06,0.04,0.06,0.04,0.06,0.03,0.05,0.03
9m TTC,48.6,51.53,38.43,41.09,29.5,31.82,21.99,23.66,16.63,17.43,12.71,12.78,9.67,9.53,7.5,7.19,5.95,5.39,4.66,4.13,3.71,3.16,2.95,2.53,2.41,1.99,1.96,1.55,1.62,1.26,1.34,0.99,1.1,0.81,0.9,0.7,0.77,0.63,0.63,0.54,0.54,0.45,0.47,0.4,0.42,0.35,0.37,0.31,0.34,0.27,0.3,0.24,0.28,0.21,0.26,0.18,0.22,0.15,0.19,0.14,0.17,0.13,0.16,0.12,0.14,0.1,0.12,0.09,0.09,0.08,0.08,0.06,0.08,0.05,0.07,0.04,0.06,0.04,0.05,0.03
10m TTC,48.77,51.32,39.08,41.76,30.29,32.64,23.27,24.81,17.75,18.72,13.67,13.92,10.62,10.26,8.25,7.79,6.44,6.02,5.05,4.54,4.14,3.58,3.4,2.81,2.79,2.27,2.28,1.79,1.86,1.43,1.55,1.17,1.28,0.99,1.09,0.81,0.94,0.71,0.83,0.6,0.69,0.51,0.61,0.45,0.51,0.39,0.45,0.36,0.4,0.31,0.35,0.28,0.32,0.25,0.28,0.22,0.26,0.19,0.24,0.17,0.23,0.15,0.22,0.14,0.21,0.12,0.19,0.1,0.15,0.08,0.13,0.07,0.12,0.07,0.1,0.05,0.1,0.05,0.09,0.04
