,>= +0.25%,<= -0.25%,>= +0.50%,<= -0.50%,>= +0.75%,<= -0.75%,>= +1.00%,<= -1.00%,>= +1.25%,<= -1.25%
1m TTC,1.64,2.73,0.1,0.22,0.03,0.04,0.01,0.02,0.0,0.0
2m TTC,4.63,6.16,0.54,1.1,0.06,0.27,0.03,0.12,0.01,0.05
3m TTC,7.43,8.64,1.16,2.09,0.22,0.64,0.06,0.28,0.02,0.14
4m TTC,9.75,10.84,1.68,2.78,0.4,1.05,0.13,0.44,0.07,0.22
5m TTC,11.95,12.7,2.35,3.62,0.59,1.32,0.24,0.5,0.1,0.25
6m TTC,14.27,14.41,3.13,4.11,0.99,1.59,0.4,0.72,0.17,0.35
7m TTC,15.62,15.7,3.8,5.04,1.23,1.93,0.5,0.85,0.25,0.4
8m TTC,17.08,16.97,4.4,5.83,1.41,2.2,0.64,1.08,0.33,0.55
9m TTC,18.59,17.7,5.06,6.45,1.69,2.69,0.74,1.3,0.37,0.57
10m TTC,19.87,18.82,5.74,7.34,2.02,3.03,0.82,1.47,0.44,0.76
11m TTC,21.2,19.54,6.22,7.95,2.16,3.53,0.93,1.83,0.45,0.96
12m TTC,22.04,20.18,7.01,8.61,2.44,3.93,0.97,1.99,0.57,1.11
13m TTC,22.81,21.03,7.71,9.11,2.71,4.24,1.16,2.16,0.58,1.21
14m TTC,23.38,21.73,8.11,9.49,3.12,4.51,1.34,2.24,0.68,1.35
15m TTC,24.11,22.49,8.45,10.26,3.51,4.77,1.51,2.61,0.77,1.42
