,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,48.34,51.86,31.55,34.65,19.73,19.97,12.73,10.54,7.83,5.43,4.9,2.63,3.29,1.49,2.24,0.87,1.49,0.59,1.17,0.29,0.75,0.22,0.5,0.19,0.37,0.13,0.25,0.07,0.19,0.06,0.13,0.06,0.12,0.05,0.1,0.05,0.1,0.03,0.1,0.03,0.1,0.0,0.08,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.04,0.0,0.04,0.0,0.03,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,47.86,52.29,35.07,39.08,24.85,27.03,17.6,17.86,12.9,11.45,9.39,7.24,6.85,4.86,5.0,3.31,3.83,2.01,3.01,1.38,2.25,0.96,1.68,0.67,1.31,0.5,1.06,0.42,0.78,0.34,0.56,0.26,0.48,0.21,0.34,0.16,0.29,0.14,0.25,0.1,0.24,0.09,0.17,0.08,0.11,0.07,0.11,0.07,0.1,0.05,0.09,0.04,0.07,0.04,0.06,0.04,0.06,0.04,0.06,0.04,0.06,0.04,0.06,0.04,0.05,0.01,0.05,0.01,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0
3m TTC,46.46,53.66,36.02,42.39,27.63,31.54,20.53,22.34,15.65,16.0,11.94,10.89,8.89,7.95,7.02,5.88,5.39,4.21,4.21,2.92,3.49,2.13,2.77,1.74,2.2,1.3,1.8,0.99,1.48,0.67,1.25,0.58,1.07,0.44,0.9,0.4,0.78,0.31,0.67,0.24,0.54,0.22,0.45,0.15,0.39,0.12,0.3,0.11,0.26,0.1,0.2,0.08,0.19,0.05,0.14,0.05,0.12,0.04,0.11,0.03,0.09,0.03,0.09,0.03,0.08,0.03,0.07,0.03,0.05,0.03,0.05,0.03,0.05,0.03,0.05,0.03,0.05,0.03,0.05,0.03
4m TTC,46.57,53.51,37.63,43.38,29.47,33.87,23.5,24.98,18.46,18.56,14.18,13.57,11.16,10.19,8.88,7.31,7.12,5.72,5.99,4.54,4.7,3.52,3.89,2.67,3.25,1.98,2.56,1.58,2.06,1.27,1.71,1.02,1.49,0.8,1.13,0.71,0.9,0.56,0.77,0.44,0.71,0.29,0.66,0.24,0.57,0.21,0.51,0.2,0.47,0.19,0.43,0.15,0.38,0.14,0.34,0.1,0.31,0.08,0.24,0.07,0.21,0.07,0.18,0.06,0.18,0.05,0.17,0.04,0.16,0.04,0.15,0.03,0.14,0.03,0.14,0.03,0.13,0.03,0.13,0.03
5m TTC,47.4,52.65,39.39,44.47,32.11,35.03,25.83,27.31,20.06,20.92,16.26,15.93,12.95,12.2,10.74,9.37,8.63,7.36,7.02,5.8,5.6,4.5,4.67,3.43,3.9,2.61,3.28,2.13,2.7,1.69,2.32,1.28,1.82,1.06,1.59,0.85,1.34,0.65,1.16,0.55,1.05,0.49,0.92,0.42,0.84,0.37,0.68,0.31,0.56,0.24,0.52,0.23,0.51,0.21,0.44,0.17,0.41,0.13,0.4,0.12,0.32,0.11,0.28,0.08,0.28,0.08,0.25,0.06,0.22,0.06,0.22,0.06,0.22,0.06,0.22,0.06,0.21,0.06,0.21,0.06
6m TTC,46.88,53.21,38.93,44.86,31.58,37.03,26.4,29.22,21.89,23.1,17.7,18.18,14.36,13.92,11.87,10.74,9.71,8.52,8.06,6.7,6.73,5.5,5.78,4.48,4.75,3.72,3.98,2.94,3.29,2.49,2.76,1.9,2.3,1.58,2.04,1.29,1.66,1.14,1.49,0.81,1.32,0.73,1.19,0.68,1.1,0.53,0.98,0.45,0.84,0.4,0.7,0.34,0.66,0.24,0.62,0.23,0.54,0.21,0.51,0.17,0.49,0.16,0.46,0.12,0.43,0.12,0.41,0.1,0.38,0.08,0.37,0.07,0.33,0.07,0.32,0.06,0.3,0.06,0.24,0.05
7m TTC,47.07,53.03,40.04,45.48,33.42,38.22,27.74,30.92,22.82,24.78,19.51,19.69,16.04,15.31,13.55,12.43,11.18,9.96,9.3,7.76,7.99,6.2,6.67,5.14,5.85,4.32,4.93,3.49,4.2,2.91,3.48,2.42,2.88,2.1,2.49,1.76,2.21,1.52,2.1,1.24,1.78,1.06,1.55,0.89,1.37,0.72,1.14,0.59,1.04,0.51,0.93,0.39,0.85,0.3,0.8,0.27,0.77,0.24,0.7,0.22,0.67,0.2,0.64,0.18,0.54,0.17,0.5,0.16,0.39,0.1,0.35,0.1,0.32,0.09,0.28,0.06,0.28,0.06,0.27,0.05
8m TTC,47.43,52.61,40.51,45.87,34.5,38.59,28.91,31.78,24.24,25.64,20.5,21.14,17.18,17.19,14.58,13.36,12.32,10.85,10.36,8.76,8.79,7.33,7.44,6.04,6.31,5.04,5.59,4.13,4.87,3.54,4.21,3.0,3.65,2.5,3.1,2.14,2.56,1.82,2.26,1.51,2.03,1.24,1.84,1.04,1.62,0.89,1.42,0.79,1.26,0.63,1.18,0.55,1.0,0.47,0.95,0.41,0.79,0.34,0.74,0.3,0.65,0.23,0.61,0.2,0.56,0.19,0.53,0.19,0.47,0.16,0.45,0.14,0.4,0.13,0.36,0.09,0.32,0.08,0.3,0.08
9m TTC,47.01,53.03,40.94,46.44,34.69,39.89,29.45,33.52,25.16,27.31,21.34,22.18,17.83,18.34,15.14,14.97,12.81,12.39,11.04,10.33,9.36,8.24,8.21,6.71,6.97,5.58,5.91,4.73,5.35,3.87,4.6,3.25,4.08,2.66,3.56,2.22,3.08,1.86,2.74,1.63,2.41,1.41,2.16,1.12,1.98,0.98,1.75,0.84,1.53,0.72,1.42,0.59,1.22,0.56,1.12,0.52,1.02,0.5,0.92,0.45,0.83,0.4,0.75,0.37,0.68,0.33,0.58,0.23,0.49,0.19,0.47,0.16,0.45,0.14,0.41,0.14,0.4,0.13,0.39,0.12
10m TTC,47.61,52.47,40.95,46.62,35.23,40.63,29.92,34.53,25.47,28.38,21.76,24.03,18.49,19.99,16.09,16.18,13.69,13.54,11.68,11.04,10.18,9.13,8.9,7.55,7.76,6.43,6.73,5.27,5.86,4.3,4.99,3.59,4.35,3.17,3.86,2.76,3.41,2.34,2.96,1.97,2.61,1.69,2.34,1.49,2.2,1.3,2.06,1.07,1.9,0.95,1.77,0.78,1.52,0.71,1.43,0.6,1.29,0.54,1.15,0.43,1.05,0.34,0.94,0.32,0.83,0.29,0.74,0.28,0.63,0.24,0.63,0.21,0.57,0.18,0.57,0.18,0.5,0.17,0.46,0.16
