,>= +0.25%,<= -0.25%,>= +0.50%,<= -0.50%,>= +0.75%,<= -0.75%,>= +1.00%,<= -1.00%,>= +1.25%,<= -1.25%
1m TTC,0.37,0.36,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0
2m TTC,1.1,1.1,0.13,0.12,0.03,0.03,0.01,0.01,0.01,0.0
3m TTC,1.96,1.9,0.28,0.25,0.06,0.07,0.02,0.03,0.01,0.01
4m TTC,2.9,2.75,0.44,0.44,0.12,0.12,0.05,0.05,0.02,0.02
5m TTC,3.71,3.54,0.64,0.62,0.18,0.17,0.07,0.06,0.03,0.03
6m TTC,4.49,4.4,0.86,0.81,0.26,0.24,0.09,0.09,0.05,0.04
7m TTC,5.23,5.15,1.02,1.02,0.35,0.32,0.13,0.13,0.05,0.07
8m TTC,5.9,5.83,1.26,1.23,0.41,0.4,0.17,0.16,0.08,0.08
9m TTC,6.61,6.61,1.46,1.46,0.52,0.46,0.22,0.18,0.11,0.09
10m TTC,7.29,7.26,1.7,1.7,0.57,0.56,0.25,0.24,0.12,0.11
11m TTC,7.94,7.84,1.9,1.93,0.67,0.65,0.28,0.29,0.14,0.14
12m TTC,8.46,8.48,2.1,2.17,0.75,0.75,0.33,0.31,0.16,0.16
13m TTC,8.97,8.99,2.3,2.36,0.85,0.85,0.39,0.36,0.19,0.18
14m TTC,9.54,9.61,2.53,2.67,0.95,0.95,0.43,0.43,0.21,0.22
15m TTC,10.11,10.09,2.71,2.85,1.04,1.07,0.47,0.48,0.24,0.26
