,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,51.44,49.0,20.29,19.26,7.14,7.4,2.67,3.18,1.09,1.54,0.53,0.76,0.28,0.38,0.18,0.22,0.11,0.13,0.07,0.09,0.04,0.06,0.03,0.05,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,52.02,48.28,27.61,25.2,13.15,12.79,6.28,6.59,3.19,3.71,1.71,2.16,0.99,1.32,0.6,0.87,0.37,0.58,0.25,0.4,0.18,0.28,0.11,0.2,0.08,0.15,0.06,0.11,0.05,0.08,0.04,0.05,0.03,0.04,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,51.9,48.32,31.59,28.42,17.35,16.19,9.42,9.37,5.25,5.72,3.08,3.57,1.86,2.36,1.15,1.56,0.74,1.08,0.5,0.76,0.36,0.56,0.26,0.43,0.2,0.33,0.15,0.26,0.11,0.2,0.09,0.15,0.07,0.11,0.06,0.09,0.05,0.07,0.04,0.06,0.03,0.04,0.03,0.04,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4m TTC,51.82,48.36,33.77,30.91,20.23,19.01,11.95,11.62,6.99,7.25,4.3,4.77,2.75,3.26,1.76,2.29,1.22,1.62,0.86,1.19,0.62,0.87,0.43,0.69,0.34,0.52,0.26,0.39,0.19,0.31,0.16,0.26,0.13,0.21,0.1,0.17,0.08,0.14,0.07,0.12,0.06,0.1,0.05,0.08,0.04,0.07,0.03,0.05,0.03,0.04,0.02,0.03,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
5m TTC,51.68,48.49,35.56,32.64,22.74,20.75,14.03,13.36,8.64,8.81,5.48,5.97,3.62,4.15,2.47,2.98,1.67,2.22,1.16,1.69,0.86,1.27,0.64,0.98,0.48,0.75,0.35,0.58,0.26,0.48,0.21,0.38,0.16,0.31,0.14,0.25,0.12,0.21,0.1,0.18,0.08,0.14,0.07,0.12,0.06,0.1,0.05,0.09,0.05,0.08,0.04,0.07,0.04,0.06,0.03,0.05,0.02,0.04,0.02,0.04,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0
6m TTC,51.94,48.22,36.8,33.66,24.53,22.79,15.89,15.04,10.22,10.16,6.67,7.08,4.47,5.04,3.09,3.64,2.16,2.77,1.54,2.04,1.13,1.59,0.86,1.25,0.65,0.99,0.5,0.78,0.39,0.65,0.31,0.53,0.25,0.43,0.2,0.35,0.16,0.3,0.14,0.25,0.12,0.22,0.1,0.19,0.09,0.15,0.07,0.13,0.06,0.12,0.05,0.09,0.04,0.07,0.04,0.06,0.03,0.06,0.03,0.05,0.03,0.05,0.02,0.04,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
7m TTC,52.01,48.12,38.13,34.65,26.27,24.07,17.63,16.4,11.69,11.26,7.95,7.94,5.4,5.76,3.78,4.27,2.64,3.24,1.91,2.48,1.45,1.93,1.08,1.52,0.82,1.23,0.64,0.97,0.49,0.8,0.39,0.66,0.31,0.54,0.25,0.46,0.21,0.39,0.18,0.32,0.14,0.29,0.11,0.23,0.11,0.2,0.1,0.17,0.09,0.15,0.07,0.12,0.06,0.11,0.06,0.09,0.05,0.08,0.04,0.06,0.03,0.05,0.03,0.05,0.02,0.05,0.02,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.01
8m TTC,52.0,48.16,38.99,35.39,27.66,25.22,19.02,17.51,13.07,12.44,8.92,8.96,6.21,6.61,4.39,4.97,3.22,3.76,2.38,2.9,1.77,2.27,1.36,1.81,1.04,1.45,0.82,1.17,0.66,0.94,0.52,0.78,0.43,0.66,0.35,0.55,0.3,0.47,0.25,0.41,0.2,0.36,0.17,0.3,0.14,0.26,0.12,0.22,0.11,0.2,0.09,0.17,0.08,0.15,0.08,0.13,0.07,0.11,0.06,0.09,0.05,0.08,0.04,0.07,0.04,0.06,0.03,0.05,0.03,0.04,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02
9m TTC,52.01,48.12,39.54,36.02,28.77,26.03,20.27,18.76,14.1,13.53,9.69,9.81,6.89,7.43,4.96,5.59,3.74,4.31,2.77,3.38,2.15,2.7,1.67,2.13,1.3,1.73,1.02,1.4,0.78,1.16,0.63,0.97,0.53,0.82,0.43,0.69,0.34,0.58,0.28,0.5,0.23,0.42,0.21,0.36,0.17,0.31,0.14,0.28,0.12,0.25,0.11,0.21,0.09,0.18,0.08,0.15,0.08,0.13,0.06,0.12,0.06,0.1,0.05,0.1,0.05,0.09,0.04,0.08,0.03,0.06,0.03,0.05,0.03,0.04,0.03,0.04,0.03,0.03,0.02,0.03
10m TTC,51.96,48.18,40.06,36.56,29.59,26.98,21.29,19.71,15.25,14.38,10.79,10.78,7.69,8.16,5.57,6.19,4.06,4.81,3.16,3.8,2.48,2.96,1.95,2.36,1.51,1.95,1.19,1.65,0.95,1.4,0.77,1.17,0.64,0.97,0.52,0.81,0.45,0.71,0.39,0.61,0.32,0.53,0.26,0.46,0.23,0.4,0.2,0.34,0.16,0.31,0.14,0.27,0.12,0.23,0.11,0.2,0.09,0.18,0.09,0.16,0.08,0.14,0.06,0.12,0.06,0.11,0.05,0.09,0.05,0.08,0.04,0.07,0.04,0.06,0.04,0.06,0.03,0.04,0.03,0.04
