,>= +0.25%,<= -0.25%,>= +0.50%,<= -0.50%,>= +0.75%,<= -0.75%,>= +1.00%,<= -1.00%,>= +1.25%,<= -1.25%
1m TTC,1.94,3.35,0.15,0.5,0.03,0.12,0.0,0.04,0.0,0.02
2m TTC,5.21,6.88,0.59,1.43,0.13,0.31,0.05,0.1,0.03,0.06
3m TTC,8.05,10.4,1.25,2.41,0.25,0.78,0.07,0.28,0.03,0.13
4m TTC,11.0,12.43,2.1,3.54,0.47,1.13,0.15,0.41,0.07,0.23
5m TTC,13.13,14.04,2.7,4.27,0.75,1.53,0.23,0.62,0.11,0.24
6m TTC,15.74,15.62,3.34,5.22,0.93,2.15,0.3,0.94,0.14,0.4
7m TTC,17.22,16.47,4.33,6.06,1.26,2.5,0.48,1.07,0.2,0.62
8m TTC,18.88,17.63,5.21,6.8,1.6,2.82,0.64,1.41,0.25,0.74
9m TTC,20.71,18.56,6.01,7.55,1.98,3.36,0.8,1.68,0.34,0.92
10m TTC,21.65,19.73,6.57,8.14,2.23,3.8,0.98,1.99,0.45,1.07
11m TTC,22.69,20.47,7.16,8.73,2.64,4.16,1.12,2.21,0.59,1.34
12m TTC,23.17,21.0,8.03,9.5,2.84,4.45,1.26,2.53,0.64,1.37
13m TTC,24.17,22.1,8.81,9.97,3.25,4.85,1.4,2.64,0.72,1.58
14m TTC,25.0,22.25,9.07,10.39,3.48,5.29,1.6,2.84,0.81,1.74
15m TTC,25.69,23.46,9.99,10.88,3.86,5.63,1.85,2.99,0.91,1.87
