,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
18m TTC,54.19,45.9,48.98,41.21,44.17,36.64,39.04,32.12,34.2,28.28,29.65,24.77,25.39,21.68,21.68,19.01,18.24,16.85,15.46,14.79,12.88,13.07,10.84,11.68,9.11,10.4,7.66,9.08,6.34,8.01,5.41,7.11,4.76,6.28,4.01,5.64,3.4,5.17,2.93,4.62,2.65,4.14,2.29,3.74,2.0,3.38,1.7,3.07,1.53,2.74,1.35,2.44,1.21,2.27,1.1,2.05,1.01,1.88,0.93,1.7,0.84,1.52,0.79,1.35,0.71,1.25,0.65,1.1,0.59,0.92,0.55,0.82,0.51,0.75,0.46,0.72,0.43,0.68,0.38,0.64
19m TTC,54.28,45.79,49.4,40.88,44.7,36.61,39.3,32.42,34.38,28.42,29.92,25.1,25.78,22.37,22.09,19.58,18.62,17.1,15.75,15.09,13.51,13.39,11.68,11.85,9.73,10.73,8.36,9.51,7.0,8.53,6.06,7.52,5.14,6.81,4.42,6.06,3.88,5.5,3.37,4.96,2.83,4.49,2.54,3.99,2.16,3.6,1.93,3.28,1.66,3.03,1.51,2.73,1.37,2.46,1.2,2.2,1.11,1.94,0.99,1.75,0.89,1.57,0.81,1.46,0.78,1.29,0.69,1.23,0.58,1.05,0.53,0.95,0.53,0.88,0.49,0.86,0.47,0.78,0.45,0.75
20m TTC,54.48,45.55,49.51,40.87,44.5,36.44,39.92,32.28,35.11,28.68,30.56,25.25,26.38,22.27,22.51,19.88,19.35,17.62,16.58,15.43,14.14,13.66,12.15,12.3,10.38,11.07,8.64,9.99,7.34,8.98,6.48,8.08,5.59,7.24,4.87,6.33,4.17,5.71,3.66,5.09,3.16,4.69,2.75,4.25,2.39,3.7,2.02,3.27,1.76,3.08,1.64,2.76,1.41,2.51,1.33,2.3,1.21,2.11,1.16,1.9,1.06,1.7,0.98,1.59,0.86,1.48,0.82,1.35,0.7,1.13,0.67,1.05,0.59,0.96,0.56,0.92,0.55,0.85,0.51,0.78
21m TTC,54.21,45.83,49.36,41.03,44.71,36.55,40.12,32.68,35.38,28.78,31.13,25.24,26.94,22.42,23.23,19.98,20.17,17.62,17.18,15.68,14.55,14.02,12.32,12.47,10.62,11.31,9.2,10.04,7.96,8.96,6.92,8.13,5.89,7.25,5.13,6.34,4.51,5.64,3.9,5.13,3.38,4.62,2.9,4.16,2.58,3.78,2.19,3.46,1.94,3.2,1.77,2.9,1.59,2.68,1.39,2.43,1.32,2.24,1.23,2.02,1.13,1.9,1.07,1.73,1.01,1.6,0.84,1.45,0.74,1.26,0.68,1.16,0.63,1.03,0.61,0.96,0.56,0.87,0.48,0.8
22m TTC,54.67,45.45,49.7,40.75,44.99,36.61,40.18,32.77,35.88,28.91,31.52,25.66,27.35,22.83,23.91,20.18,20.85,18.26,17.83,16.21,15.07,14.65,12.61,13.08,10.81,11.71,9.43,10.46,8.25,9.33,7.16,8.42,6.19,7.65,5.32,6.84,4.76,6.14,4.2,5.45,3.61,4.87,3.24,4.4,2.86,4.03,2.49,3.58,2.18,3.2,1.98,2.89,1.74,2.63,1.55,2.38,1.47,2.23,1.31,2.07,1.23,1.92,1.16,1.75,1.01,1.65,0.9,1.5,0.75,1.34,0.72,1.25,0.68,1.18,0.63,1.12,0.58,1.02,0.55,0.95
23m TTC,54.76,45.32,49.8,41.14,45.35,36.62,40.87,32.37,36.33,28.85,32.0,25.61,27.95,22.87,24.41,20.44,21.2,18.35,18.31,16.4,15.74,14.83,13.38,13.18,11.46,11.88,9.77,10.61,8.34,9.58,7.34,8.48,6.32,7.6,5.48,6.73,4.86,6.14,4.37,5.38,3.86,4.93,3.37,4.35,2.98,3.95,2.57,3.59,2.25,3.22,2.0,2.95,1.82,2.73,1.61,2.53,1.47,2.33,1.39,2.12,1.24,1.93,1.16,1.76,1.09,1.65,1.02,1.57,0.87,1.38,0.78,1.32,0.72,1.18,0.69,1.11,0.61,1.03,0.58,1.0
24m TTC,54.84,45.18,50.33,40.85,45.53,36.5,41.3,32.76,36.53,29.39,32.47,26.5,28.57,23.63,25.17,20.98,21.68,18.6,18.69,16.64,16.33,15.24,14.05,13.68,12.02,12.47,10.24,10.91,8.69,9.98,7.55,8.98,6.53,7.96,5.67,7.14,5.02,6.49,4.38,5.86,3.94,5.18,3.5,4.62,3.11,4.15,2.78,3.84,2.51,3.5,2.17,3.2,2.01,2.95,1.84,2.71,1.67,2.45,1.5,2.2,1.33,2.04,1.19,1.87,1.07,1.71,0.99,1.61,0.89,1.4,0.82,1.33,0.76,1.19,0.75,1.13,0.68,1.04,0.64,0.97
25m TTC,54.75,45.29,50.13,40.83,45.48,36.71,41.06,32.51,36.52,29.28,32.44,26.36,28.61,23.52,25.46,20.84,22.19,18.92,19.35,16.9,16.48,15.34,14.24,13.93,12.36,12.58,10.73,11.52,9.1,10.3,7.97,9.35,6.94,8.29,6.08,7.24,5.27,6.74,4.63,6.18,4.06,5.6,3.64,5.01,3.2,4.58,2.85,4.13,2.59,3.81,2.39,3.46,2.07,3.15,1.88,2.88,1.77,2.63,1.54,2.46,1.46,2.19,1.31,2.02,1.19,1.87,1.06,1.71,0.95,1.53,0.84,1.41,0.79,1.3,0.73,1.15,0.67,1.09,0.63,0.99
26m TTC,54.63,45.42,50.06,41.1,45.62,36.84,40.92,33.23,36.68,29.84,32.69,26.98,29.31,23.91,25.61,21.28,22.38,19.18,19.52,17.59,16.89,15.96,14.44,14.43,12.5,12.93,11.11,11.87,9.46,10.65,8.31,9.49,7.1,8.57,6.09,7.69,5.42,6.94,4.91,6.25,4.34,5.6,3.89,5.17,3.42,4.69,3.04,4.37,2.65,3.97,2.36,3.75,2.17,3.38,2.05,3.17,1.91,2.92,1.75,2.67,1.56,2.47,1.41,2.22,1.28,2.04,1.2,1.96,0.99,1.61,0.9,1.48,0.81,1.36,0.78,1.29,0.71,1.17,0.67,1.12
27m TTC,54.56,45.47,50.05,40.97,45.71,36.87,41.25,33.33,37.1,30.09,33.17,27.07,29.52,24.09,25.88,21.62,22.98,19.58,20.15,17.57,17.37,16.14,15.03,14.68,13.24,13.33,11.35,11.96,9.91,10.82,8.78,9.64,7.67,8.72,6.56,7.81,5.89,7.1,5.18,6.49,4.57,5.86,3.88,5.32,3.38,4.93,3.05,4.48,2.89,4.16,2.65,3.8,2.41,3.49,2.1,3.22,1.92,2.96,1.69,2.68,1.55,2.51,1.47,2.35,1.37,2.15,1.25,2.02,1.06,1.69,0.99,1.51,0.86,1.36,0.81,1.27,0.74,1.22,0.69,1.15
28m TTC,54.87,45.19,50.64,40.97,46.1,37.36,41.76,33.71,37.46,30.39,33.45,27.4,29.86,24.68,26.46,22.32,23.18,20.17,20.2,18.3,17.75,16.55,15.46,14.97,13.58,13.5,11.73,12.15,10.27,10.95,9.08,9.85,8.09,8.93,6.99,8.04,6.16,7.43,5.42,6.68,4.75,6.21,4.2,5.73,3.78,5.26,3.35,4.81,2.96,4.42,2.69,4.06,2.45,3.54,2.23,3.14,1.99,2.99,1.85,2.76,1.71,2.58,1.58,2.48,1.44,2.24,1.34,2.04,1.11,1.82,1.05,1.63,0.97,1.48,0.9,1.39,0.88,1.31,0.78,1.25
29m TTC,54.84,45.2,50.65,41.35,46.55,37.41,42.26,34.15,37.69,30.94,33.67,27.71,30.22,25.2,27.01,22.65,23.83,20.53,20.88,18.75,18.45,17.1,15.93,15.27,13.67,13.68,11.82,12.39,10.45,11.28,9.22,10.1,8.26,9.16,7.33,8.41,6.4,7.64,5.69,6.88,4.98,6.34,4.48,5.84,3.95,5.33,3.45,4.94,3.04,4.63,2.78,4.23,2.55,3.86,2.36,3.56,2.12,3.28,1.97,2.97,1.78,2.87,1.64,2.5,1.56,2.33,1.42,2.15,1.16,1.82,1.13,1.68,1.01,1.53,0.94,1.46,0.87,1.31,0.79,1.22
30m TTC,54.93,45.1,51.02,41.27,46.48,37.61,42.35,34.4,37.97,31.33,34.26,28.34,30.14,25.63,26.86,23.09,23.69,20.95,20.96,18.88,18.45,16.98,16.25,15.34,14.31,14.0,12.41,12.62,10.98,11.54,9.62,10.5,8.38,9.63,7.34,8.78,6.55,8.03,5.89,7.23,5.18,6.61,4.65,6.07,4.19,5.54,3.81,5.05,3.39,4.69,3.05,4.21,2.72,3.93,2.53,3.61,2.32,3.2,2.16,2.96,1.91,2.74,1.78,2.55,1.64,2.36,1.55,2.21,1.34,1.87,1.19,1.77,1.13,1.67,1.04,1.57,0.97,1.46,0.92,1.39
31m TTC,54.95,45.08,50.93,41.33,46.75,37.76,42.48,34.41,38.29,31.4,34.19,28.35,30.63,25.81,27.15,23.37,23.83,21.08,20.93,18.87,18.66,17.33,16.59,15.74,14.46,14.14,12.63,12.94,11.02,11.81,9.81,10.92,8.64,9.83,7.71,9.04,6.79,8.29,6.04,7.5,5.38,6.83,4.79,6.28,4.3,5.71,3.91,5.28,3.6,4.85,3.16,4.49,2.91,4.19,2.66,3.82,2.44,3.54,2.17,3.24,1.99,3.01,1.8,2.71,1.73,2.5,1.56,2.33,1.33,1.91,1.21,1.79,1.13,1.73,1.06,1.64,1.01,1.52,0.91,1.39
32m TTC,54.75,45.28,50.63,41.46,46.59,38.05,42.34,34.89,38.41,31.79,34.42,29.03,30.58,26.12,27.59,23.67,24.33,21.36,21.45,19.66,19.03,17.83,16.78,16.33,14.89,14.72,12.97,13.28,11.61,12.19,10.21,11.05,9.05,10.13,7.98,9.25,7.02,8.59,6.27,7.88,5.63,7.23,5.02,6.6,4.5,5.95,4.03,5.37,3.48,4.89,3.22,4.48,3.0,4.09,2.75,3.75,2.52,3.5,2.3,3.07,2.07,2.88,1.88,2.65,1.76,2.53,1.66,2.35,1.44,2.04,1.29,1.84,1.25,1.73,1.15,1.63,1.03,1.56,0.98,1.36
33m TTC,54.61,45.42,50.67,41.52,46.39,38.07,42.32,34.74,38.24,31.8,34.53,28.85,31.2,26.07,27.67,23.8,24.69,21.78,21.97,19.95,19.4,18.43,17.24,16.61,15.08,14.99,13.24,13.65,11.83,12.37,10.59,11.3,9.37,10.5,8.29,9.73,7.24,8.91,6.57,8.01,5.9,7.37,5.25,6.79,4.65,6.17,4.2,5.59,3.75,5.11,3.37,4.64,3.01,4.31,2.69,3.96,2.48,3.62,2.25,3.42,2.01,3.09,1.97,2.87,1.83,2.69,1.73,2.47,1.47,2.17,1.37,2.0,1.26,1.85,1.1,1.68,1.03,1.57,0.96,1.52
34m TTC,54.92,45.13,50.81,41.62,46.96,38.22,42.99,34.76,39.02,31.75,35.27,29.13,31.42,26.43,28.23,24.42,25.28,22.32,22.29,20.32,19.89,18.42,17.64,16.76,15.43,15.38,13.66,13.98,12.21,12.66,10.7,11.41,9.48,10.48,8.51,9.81,7.52,9.18,6.76,8.24,5.98,7.61,5.29,6.92,4.79,6.39,4.22,5.79,3.81,5.3,3.45,4.8,3.12,4.44,2.77,4.12,2.56,3.82,2.36,3.48,2.21,3.24,2.07,3.0,1.92,2.78,1.78,2.57,1.44,2.26,1.35,2.06,1.19,1.91,1.08,1.78,1.02,1.67,0.94,1.56
35m TTC,54.32,45.69,50.74,41.79,46.87,38.22,42.93,35.1,39.29,32.2,35.21,29.59,31.32,26.91,27.9,24.74,24.98,22.27,22.49,20.54,20.27,18.61,18.03,17.02,16.04,15.49,14.08,14.13,12.53,12.75,10.84,11.92,9.55,10.89,8.51,9.98,7.61,9.15,6.76,8.36,6.03,7.79,5.45,7.18,4.99,6.66,4.58,6.17,3.98,5.62,3.5,5.13,3.17,4.64,2.86,4.27,2.62,3.9,2.44,3.57,2.28,3.27,2.11,3.01,1.95,2.83,1.82,2.63,1.54,2.25,1.41,2.13,1.35,2.0,1.16,1.88,1.06,1.72,1.01,1.61
36m TTC,54.46,45.56,50.89,42.09,46.93,38.71,43.31,35.51,39.53,32.6,35.4,29.85,31.81,27.38,28.38,24.81,25.47,22.53,22.87,20.51,20.61,18.59,18.32,17.17,16.27,15.6,14.36,14.31,12.51,13.14,11.09,12.03,9.8,11.01,8.57,10.18,7.67,9.28,6.94,8.47,6.17,7.83,5.52,7.13,5.04,6.53,4.39,6.01,3.94,5.62,3.5,5.17,3.2,4.74,3.01,4.4,2.74,4.07,2.52,3.74,2.35,3.39,2.19,3.08,2.02,2.9,1.88,2.78,1.63,2.34,1.47,2.17,1.35,2.01,1.22,1.87,1.16,1.71,1.06,1.67
37m TTC,54.43,45.62,50.74,41.87,47.11,38.62,43.45,35.55,39.54,32.6,35.75,29.91,32.13,27.23,28.99,25.15,25.86,23.03,23.08,21.2,20.79,19.06,18.8,17.51,16.74,15.99,14.9,14.73,12.98,13.52,11.44,12.31,10.22,11.4,9.03,10.31,8.02,9.53,7.14,8.65,6.33,7.85,5.56,7.33,4.92,6.72,4.45,6.05,4.0,5.63,3.65,5.25,3.25,4.83,3.01,4.36,2.76,4.1,2.44,3.82,2.28,3.52,2.09,3.25,1.92,3.04,1.8,2.85,1.51,2.45,1.47,2.31,1.39,2.18,1.28,2.05,1.19,1.84,1.16,1.77
38m TTC,54.69,45.37,50.92,41.97,47.24,38.89,43.16,36.01,39.62,32.92,36.05,29.88,32.66,27.61,29.4,25.21,26.49,23.01,23.66,21.02,21.22,19.19,18.85,17.72,16.82,16.04,14.94,14.67,13.31,13.51,11.87,12.42,10.44,11.55,9.16,10.61,8.27,9.72,7.38,8.79,6.62,8.18,5.74,7.5,5.13,6.85,4.62,6.22,4.13,5.76,3.87,5.39,3.54,5.0,3.23,4.65,2.91,4.2,2.69,3.95,2.48,3.72,2.27,3.43,2.05,3.15,1.92,2.85,1.61,2.46,1.51,2.3,1.44,2.15,1.3,2.06,1.27,1.91,1.19,1.78
39m TTC,54.1,45.95,50.81,42.39,47.01,38.94,43.13,35.98,39.35,33.0,36.26,30.42,32.69,27.91,29.38,25.32,26.97,22.98,24.21,21.05,21.37,19.37,19.33,17.51,17.08,16.14,15.33,14.58,13.58,13.51,12.0,12.65,10.54,11.62,9.36,10.84,8.41,10.04,7.54,9.18,6.69,8.33,6.05,7.69,5.38,7.14,4.86,6.52,4.47,5.95,3.99,5.55,3.55,5.08,3.29,4.83,2.91,4.52,2.64,4.22,2.41,4.02,2.25,3.66,2.12,3.25,1.99,3.13,1.75,2.73,1.6,2.54,1.48,2.35,1.42,2.21,1.29,2.05,1.22,1.97
40m TTC,54.29,45.74,50.8,42.2,47.05,39.09,43.49,35.8,39.72,32.76,36.16,30.21,32.83,27.78,29.8,25.4,27.14,23.32,24.4,21.3,21.83,19.27,19.63,17.7,17.52,16.12,15.37,14.94,13.81,13.85,12.25,12.74,10.9,11.67,9.6,10.9,8.74,10.02,7.97,9.24,6.94,8.46,6.26,7.93,5.54,7.14,4.86,6.65,4.35,6.26,3.98,5.7,3.62,5.35,3.23,4.99,2.93,4.61,2.7,4.27,2.46,3.91,2.34,3.71,2.19,3.43,2.0,3.22,1.76,2.83,1.64,2.67,1.54,2.49,1.39,2.29,1.27,2.12,1.21,1.98
41m TTC,54.16,45.89,50.49,42.54,47.0,39.33,43.15,36.53,39.62,33.56,36.37,30.51,33.15,27.97,30.23,25.65,27.37,23.5,24.71,21.43,22.18,19.41,19.85,17.81,17.56,16.32,15.52,15.05,13.73,13.93,12.24,12.9,10.92,11.91,9.79,10.87,8.75,9.98,7.79,9.29,7.01,8.64,6.24,7.95,5.63,7.37,5.09,6.85,4.65,6.4,4.1,5.94,3.69,5.56,3.33,5.13,3.01,4.83,2.77,4.52,2.58,4.22,2.38,3.94,2.21,3.71,2.09,3.53,1.82,3.08,1.62,2.85,1.5,2.64,1.43,2.43,1.35,2.27,1.28,2.16
42m TTC,53.97,46.07,50.46,42.83,47.18,39.64,43.38,36.49,39.86,33.37,36.58,30.61,33.27,28.17,30.27,25.64,27.43,23.47,24.99,21.3,22.36,19.63,19.77,18.11,17.72,16.55,15.85,15.16,14.26,13.85,12.77,13.05,11.33,11.83,10.08,10.9,8.99,10.24,8.17,9.45,7.22,8.7,6.35,8.0,5.67,7.33,5.1,6.78,4.59,6.3,4.19,5.85,3.75,5.42,3.47,5.12,3.15,4.8,2.91,4.5,2.7,4.27,2.5,4.03,2.36,3.71,2.28,3.49,1.83,3.16,1.74,2.99,1.62,2.78,1.55,2.61,1.46,2.44,1.37,2.34
43m TTC,54.03,46.05,50.71,42.77,47.0,39.53,43.72,36.66,40.32,33.61,36.87,30.92,33.61,28.26,30.74,25.81,27.67,23.48,25.13,21.48,22.55,19.86,20.08,18.33,17.87,16.97,16.06,15.49,14.33,14.12,12.68,12.88,11.26,12.04,10.39,11.29,9.38,10.43,8.35,9.73,7.36,8.99,6.53,8.1,5.9,7.47,5.37,6.99,4.72,6.51,4.26,6.11,3.79,5.65,3.5,5.26,3.15,4.94,2.92,4.61,2.71,4.36,2.51,4.12,2.32,3.94,2.21,3.61,1.93,3.15,1.8,2.97,1.69,2.87,1.63,2.7,1.53,2.5,1.44,2.36
44m TTC,54.17,45.91,50.7,42.64,47.12,39.58,43.69,36.59,40.39,33.77,37.16,31.07,34.01,28.49,30.59,26.38,27.65,23.95,25.06,21.89,22.7,20.18,20.42,18.58,18.22,17.05,16.27,15.51,14.55,14.24,12.84,13.28,11.5,12.38,10.33,11.48,9.33,10.51,8.29,9.8,7.39,9.2,6.65,8.4,6.03,7.82,5.43,7.25,4.95,6.71,4.47,6.25,4.08,5.85,3.69,5.3,3.38,4.98,3.06,4.72,2.83,4.39,2.63,4.14,2.43,3.9,2.21,3.72,1.97,3.32,1.86,3.14,1.77,2.93,1.67,2.77,1.6,2.61,1.47,2.5
45m TTC,53.95,46.1,50.55,42.96,47.39,39.72,43.89,36.6,40.56,33.7,37.3,31.0,34.11,28.64,30.96,26.29,28.01,24.31,25.23,22.18,22.76,20.21,20.45,18.54,18.31,17.04,16.45,15.6,14.86,14.48,13.14,13.32,11.67,12.42,10.5,11.64,9.44,10.76,8.5,10.05,7.74,9.38,6.93,8.7,6.23,7.95,5.66,7.41,5.14,6.76,4.53,6.34,4.1,5.91,3.71,5.61,3.44,5.31,3.19,4.91,3.02,4.5,2.8,4.22,2.6,3.99,2.38,3.77,2.05,3.32,1.88,3.16,1.75,2.96,1.68,2.77,1.61,2.56,1.51,2.46
