,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,47.91,52.37,33.62,37.77,22.12,23.71,14.43,13.78,9.08,8.12,6.09,4.36,3.92,2.61,2.78,1.64,2.05,1.17,1.44,0.9,0.99,0.59,0.62,0.26,0.49,0.19,0.3,0.12,0.23,0.06,0.13,0.05,0.07,0.05,0.07,0.03,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.04,0.02,0.04,0.02,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0
2m TTC,47.01,53.1,37.32,41.97,29.33,31.03,22.03,22.16,16.07,14.9,12.09,10.06,9.09,7.24,6.95,4.68,5.09,3.47,3.92,2.39,3.0,1.52,2.22,1.03,1.74,0.68,1.38,0.56,1.05,0.42,0.75,0.3,0.54,0.26,0.48,0.23,0.41,0.17,0.34,0.16,0.26,0.1,0.24,0.09,0.16,0.07,0.15,0.07,0.15,0.07,0.12,0.06,0.11,0.06,0.11,0.06,0.11,0.06,0.11,0.05,0.11,0.03,0.1,0.03,0.08,0.03,0.08,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,0.01
3m TTC,46.23,53.83,37.02,43.65,29.89,34.74,23.81,25.93,18.85,19.18,14.45,13.95,11.42,9.68,8.85,6.75,7.29,5.03,5.62,3.66,4.3,2.85,3.27,2.16,2.54,1.73,2.0,1.43,1.68,1.11,1.42,1.0,1.11,0.77,0.97,0.71,0.87,0.47,0.75,0.39,0.64,0.27,0.54,0.25,0.41,0.2,0.36,0.14,0.35,0.12,0.31,0.12,0.26,0.08,0.23,0.08,0.21,0.06,0.2,0.06,0.16,0.06,0.16,0.06,0.12,0.06,0.11,0.05,0.1,0.05,0.1,0.05,0.1,0.05,0.08,0.05,0.07,0.05,0.07,0.05
4m TTC,46.84,53.36,39.97,43.84,32.29,34.79,25.9,27.45,21.03,21.59,17.11,16.34,13.79,12.6,10.98,9.45,8.88,7.13,7.02,5.29,5.76,4.08,4.62,2.98,3.84,2.65,2.9,2.15,2.37,1.61,2.06,1.27,1.71,1.16,1.58,0.93,1.24,0.79,1.14,0.7,0.94,0.62,0.71,0.53,0.65,0.43,0.51,0.34,0.44,0.32,0.42,0.3,0.37,0.26,0.34,0.25,0.34,0.18,0.34,0.15,0.26,0.15,0.26,0.15,0.24,0.1,0.22,0.1,0.14,0.1,0.09,0.09,0.06,0.09,0.06,0.09,0.06,0.08,0.05,0.06
5m TTC,48.08,51.98,40.69,44.72,34.05,37.42,28.45,30.68,22.75,24.46,18.53,19.55,15.45,15.68,13.08,12.06,10.74,9.08,8.92,6.92,7.6,5.31,6.12,4.03,5.07,3.19,4.14,2.47,3.3,2.0,2.69,1.53,2.19,1.34,1.91,1.0,1.71,0.85,1.43,0.83,1.28,0.76,1.2,0.59,1.07,0.59,0.88,0.43,0.8,0.38,0.73,0.37,0.65,0.35,0.54,0.29,0.51,0.25,0.42,0.18,0.4,0.14,0.33,0.14,0.32,0.12,0.3,0.11,0.25,0.09,0.2,0.09,0.19,0.08,0.18,0.07,0.16,0.05,0.16,0.05
6m TTC,47.66,52.41,41.17,45.81,35.19,38.72,29.65,31.78,24.8,26.56,20.75,21.61,17.01,17.15,14.74,14.03,12.5,10.98,10.51,8.73,8.98,6.88,7.36,5.41,6.12,4.25,5.37,3.29,4.66,2.64,4.0,2.22,3.64,1.84,3.18,1.41,2.65,1.27,2.18,1.1,1.96,0.92,1.75,0.82,1.47,0.69,1.39,0.58,1.28,0.5,1.09,0.44,0.96,0.42,0.79,0.35,0.69,0.35,0.61,0.31,0.61,0.29,0.57,0.28,0.48,0.27,0.39,0.23,0.3,0.23,0.26,0.23,0.21,0.17,0.19,0.16,0.18,0.15,0.16,0.13
7m TTC,46.83,53.23,40.74,47.06,35.78,40.89,30.65,34.54,26.21,28.93,21.92,24.01,17.96,19.49,15.51,15.47,13.25,12.95,11.23,10.26,9.78,8.26,8.14,6.9,6.93,5.54,5.85,4.26,5.09,3.43,4.58,2.65,3.96,2.28,3.42,1.91,2.8,1.68,2.39,1.42,2.2,1.23,1.99,0.98,1.71,0.79,1.58,0.69,1.32,0.61,1.25,0.58,1.06,0.51,0.92,0.51,0.9,0.49,0.82,0.39,0.74,0.37,0.72,0.35,0.72,0.33,0.69,0.26,0.57,0.15,0.48,0.13,0.43,0.13,0.38,0.11,0.32,0.11,0.26,0.11
8m TTC,46.88,53.14,41.68,47.47,35.92,41.65,30.81,35.87,26.96,30.49,23.24,24.93,19.69,20.39,16.7,16.37,14.03,13.6,12.55,11.14,10.98,9.28,9.37,7.34,8.01,5.98,6.76,4.82,5.38,3.85,4.66,3.2,4.19,2.81,3.66,2.41,3.1,2.11,2.7,1.73,2.49,1.47,2.22,1.28,2.0,1.07,1.82,1.01,1.66,0.85,1.46,0.74,1.29,0.69,1.2,0.58,1.1,0.5,1.03,0.44,0.9,0.42,0.89,0.36,0.81,0.3,0.76,0.29,0.69,0.28,0.64,0.27,0.5,0.24,0.48,0.23,0.34,0.21,0.33,0.18
9m TTC,46.45,53.61,41.03,48.03,36.08,42.42,31.54,36.84,27.48,31.73,23.79,26.08,20.28,21.62,17.9,18.07,15.63,14.97,12.93,12.34,11.41,9.99,9.72,8.13,8.48,6.92,7.44,5.72,6.57,5.06,5.87,4.3,5.12,3.65,4.59,2.87,4.06,2.53,3.52,2.15,3.16,1.91,2.87,1.64,2.56,1.35,2.21,1.23,1.9,1.05,1.73,0.9,1.54,0.75,1.42,0.72,1.09,0.62,0.97,0.59,0.9,0.54,0.88,0.48,0.73,0.43,0.72,0.36,0.65,0.3,0.58,0.29,0.57,0.29,0.57,0.27,0.44,0.26,0.39,0.23
10m TTC,46.28,53.74,40.52,48.41,36.51,42.79,32.37,37.12,27.57,31.74,23.77,27.3,20.89,23.21,18.53,19.47,16.31,15.84,13.93,13.48,12.14,11.28,10.51,9.67,9.4,8.34,8.12,6.9,7.23,5.73,6.37,4.91,5.66,4.09,5.06,3.2,4.61,2.85,4.14,2.53,3.64,2.11,3.24,1.85,2.79,1.5,2.63,1.34,2.27,1.15,2.08,1.04,1.77,0.94,1.57,0.82,1.42,0.79,1.28,0.69,1.12,0.61,0.98,0.57,0.93,0.52,0.79,0.44,0.68,0.39,0.67,0.33,0.65,0.3,0.58,0.3,0.48,0.29,0.43,0.27
