,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,49.79,50.72,17.91,18.36,6.48,6.24,2.62,2.27,1.23,0.96,0.62,0.39,0.32,0.21,0.21,0.11,0.13,0.06,0.08,0.04,0.05,0.02,0.04,0.01,0.03,0.01,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,49.47,50.89,24.35,25.49,11.6,11.72,5.88,5.51,3.16,2.8,1.81,1.51,1.12,0.87,0.75,0.52,0.51,0.32,0.35,0.2,0.25,0.13,0.17,0.09,0.12,0.07,0.09,0.05,0.07,0.04,0.06,0.03,0.05,0.02,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,49.17,51.08,27.94,29.53,15.21,15.64,8.41,8.3,4.94,4.54,2.98,2.62,1.87,1.62,1.24,1.02,0.87,0.65,0.63,0.44,0.45,0.29,0.33,0.21,0.25,0.15,0.19,0.11,0.15,0.09,0.11,0.07,0.09,0.05,0.08,0.04,0.06,0.03,0.05,0.03,0.04,0.02,0.04,0.02,0.04,0.02,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4m TTC,49.23,51.0,30.3,32.02,17.79,18.69,10.62,10.53,6.44,6.15,4.1,3.79,2.7,2.39,1.86,1.59,1.32,1.11,0.97,0.77,0.72,0.55,0.56,0.41,0.42,0.31,0.33,0.24,0.25,0.19,0.2,0.15,0.17,0.12,0.13,0.1,0.11,0.08,0.1,0.07,0.08,0.05,0.07,0.05,0.06,0.03,0.06,0.03,0.05,0.02,0.04,0.02,0.03,0.02,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5m TTC,49.19,50.98,32.21,33.75,20.02,20.82,12.41,12.53,8.0,7.71,5.27,4.9,3.59,3.2,2.56,2.16,1.84,1.52,1.33,1.1,1.02,0.79,0.78,0.59,0.61,0.46,0.48,0.34,0.36,0.26,0.3,0.2,0.24,0.17,0.19,0.14,0.16,0.11,0.13,0.09,0.11,0.07,0.09,0.06,0.08,0.06,0.07,0.05,0.06,0.04,0.05,0.04,0.05,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
6m TTC,49.2,50.97,33.55,35.17,21.83,22.64,14.14,14.27,9.39,9.05,6.4,5.95,4.49,3.96,3.23,2.76,2.39,1.95,1.77,1.41,1.36,1.03,1.09,0.78,0.85,0.58,0.67,0.46,0.53,0.36,0.44,0.29,0.36,0.22,0.29,0.19,0.24,0.15,0.2,0.13,0.17,0.11,0.13,0.09,0.11,0.08,0.1,0.07,0.09,0.07,0.08,0.06,0.07,0.05,0.06,0.05,0.05,0.04,0.05,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01
7m TTC,49.04,51.17,34.65,36.38,23.38,24.32,15.51,15.81,10.54,10.38,7.23,6.92,5.12,4.77,3.79,3.35,2.79,2.42,2.14,1.8,1.68,1.37,1.32,1.03,1.03,0.81,0.85,0.63,0.69,0.51,0.58,0.4,0.48,0.32,0.39,0.25,0.32,0.21,0.26,0.18,0.23,0.16,0.2,0.14,0.17,0.11,0.15,0.1,0.13,0.09,0.11,0.07,0.1,0.06,0.09,0.06,0.08,0.05,0.07,0.04,0.06,0.03,0.05,0.03,0.05,0.03,0.04,0.02,0.03,0.02,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01
8m TTC,49.12,51.03,35.42,37.15,24.47,25.6,16.83,17.23,11.64,11.61,8.19,7.98,5.88,5.59,4.38,3.98,3.3,2.92,2.55,2.18,2.0,1.69,1.55,1.31,1.25,1.04,1.01,0.85,0.84,0.67,0.67,0.53,0.57,0.42,0.48,0.35,0.41,0.3,0.34,0.23,0.28,0.2,0.24,0.17,0.2,0.15,0.16,0.13,0.13,0.11,0.12,0.1,0.11,0.08,0.1,0.07,0.09,0.06,0.08,0.05,0.07,0.04,0.06,0.03,0.06,0.03,0.05,0.03,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.02,0.03,0.01,0.03,0.01
9m TTC,49.05,51.09,36.14,38.01,25.68,26.66,18.05,18.36,12.83,12.61,9.16,8.79,6.65,6.34,4.97,4.59,3.78,3.32,2.91,2.51,2.3,1.96,1.83,1.58,1.48,1.26,1.21,0.99,0.98,0.79,0.81,0.64,0.69,0.53,0.57,0.44,0.48,0.37,0.41,0.31,0.35,0.26,0.3,0.22,0.26,0.19,0.22,0.16,0.19,0.14,0.17,0.13,0.15,0.1,0.13,0.09,0.11,0.08,0.11,0.07,0.09,0.06,0.08,0.05,0.08,0.04,0.07,0.04,0.06,0.03,0.05,0.03,0.05,0.03,0.04,0.02,0.04,0.02,0.04,0.02
10m TTC,49.04,51.11,36.86,38.51,26.72,27.63,19.03,19.52,13.65,13.69,9.89,9.67,7.29,6.94,5.51,5.1,4.2,3.83,3.25,2.94,2.6,2.27,2.09,1.8,1.75,1.44,1.39,1.15,1.16,0.92,0.94,0.73,0.79,0.59,0.67,0.49,0.57,0.42,0.5,0.36,0.44,0.31,0.37,0.26,0.32,0.23,0.27,0.2,0.23,0.17,0.2,0.15,0.18,0.12,0.16,0.11,0.13,0.1,0.12,0.09,0.11,0.09,0.1,0.08,0.09,0.07,0.08,0.06,0.07,0.05,0.06,0.05,0.06,0.04,0.06,0.03,0.05,0.03,0.04,0.02
