,>= +0.25%,<= -0.25%,>= +0.50%,<= -0.50%,>= +0.75%,<= -0.75%,>= +1.00%,<= -1.00%,>= +1.25%,<= -1.25%
1m TTC,0.78,0.62,0.07,0.04,0.03,0.01,0.01,0.0,0.0,0.0
2m TTC,2.17,1.89,0.25,0.2,0.07,0.05,0.02,0.01,0.01,0.0
3m TTC,3.68,3.4,0.55,0.45,0.16,0.11,0.05,0.04,0.02,0.02
4m TTC,5.05,4.69,0.88,0.73,0.26,0.19,0.09,0.07,0.03,0.03
5m TTC,6.29,6.03,1.25,1.06,0.38,0.26,0.14,0.11,0.06,0.06
6m TTC,7.42,7.21,1.63,1.43,0.48,0.43,0.2,0.16,0.08,0.07
7m TTC,8.55,8.45,2.03,1.73,0.69,0.52,0.26,0.19,0.11,0.08
8m TTC,9.47,9.41,2.45,2.13,0.83,0.63,0.33,0.25,0.14,0.1
9m TTC,10.43,10.46,2.76,2.49,0.96,0.78,0.41,0.32,0.17,0.16
10m TTC,11.32,11.34,3.13,2.88,1.11,0.91,0.46,0.36,0.22,0.19
11m TTC,12.08,12.16,3.4,3.11,1.32,1.08,0.54,0.44,0.25,0.22
12m TTC,12.74,13.02,3.76,3.47,1.49,1.26,0.64,0.53,0.31,0.25
13m TTC,13.47,13.75,4.09,3.89,1.62,1.38,0.68,0.62,0.35,0.31
14m TTC,14.22,14.56,4.46,4.22,1.79,1.56,0.81,0.7,0.42,0.36
15m TTC,14.78,15.15,4.89,4.56,2.03,1.75,0.94,0.8,0.48,0.43
