,>= +0.25%,<= -0.25%,>= +0.50%,<= -0.50%,>= +0.75%,<= -0.75%,>= +1.00%,<= -1.00%,>= +1.25%,<= -1.25%
1m TTC,1.41,0.96,0.14,0.08,0.03,0.03,0.01,0.01,0.0,0.0
2m TTC,3.68,2.62,0.53,0.28,0.14,0.06,0.06,0.03,0.02,0.02
3m TTC,5.62,4.69,1.08,0.55,0.31,0.13,0.09,0.04,0.04,0.02
4m TTC,7.21,6.52,1.56,1.01,0.5,0.27,0.19,0.09,0.08,0.07
5m TTC,8.96,7.95,2.05,1.39,0.67,0.37,0.26,0.16,0.11,0.08
6m TTC,10.31,9.75,2.65,1.93,0.87,0.54,0.39,0.23,0.16,0.15
7m TTC,11.53,11.14,3.15,2.49,1.11,0.71,0.49,0.32,0.25,0.18
8m TTC,12.68,12.21,3.71,3.01,1.33,0.89,0.53,0.4,0.29,0.21
9m TTC,13.54,13.17,4.19,3.37,1.62,1.17,0.66,0.52,0.33,0.27
10m TTC,14.62,14.59,4.68,3.91,1.91,1.34,0.79,0.56,0.4,0.3
11m TTC,15.52,15.53,5.13,4.35,2.21,1.48,0.96,0.65,0.49,0.33
12m TTC,16.13,16.57,5.58,4.64,2.44,1.76,1.1,0.77,0.58,0.4
13m TTC,16.66,17.42,6.18,5.07,2.61,1.93,1.26,0.86,0.65,0.47
14m TTC,17.54,18.19,6.61,5.53,2.91,2.13,1.31,1.03,0.7,0.51
15m TTC,18.24,18.76,6.97,5.9,3.11,2.27,1.5,1.1,0.75,0.57
