,>= +0.25%,<= -0.25%,>= +0.50%,<= -0.50%,>= +0.75%,<= -0.75%,>= +1.00%,<= -1.00%,>= +1.25%,<= -1.25%
1m TTC,2.43,1.64,0.28,0.16,0.06,0.03,0.01,0.03,0.01,0.01
2m TTC,5.67,4.31,0.98,0.49,0.26,0.1,0.1,0.04,0.04,0.02
3m TTC,8.04,7.26,1.88,1.06,0.63,0.28,0.24,0.1,0.08,0.06
4m TTC,10.12,9.56,2.61,1.64,0.9,0.48,0.35,0.19,0.16,0.07
5m TTC,11.9,11.37,3.26,2.33,1.29,0.66,0.56,0.29,0.28,0.14
6m TTC,13.58,13.4,4.13,2.75,1.59,0.89,0.7,0.41,0.33,0.18
7m TTC,14.76,14.74,4.87,3.46,1.93,1.15,0.9,0.51,0.5,0.26
8m TTC,16.07,16.01,5.45,4.35,2.3,1.33,1.12,0.59,0.64,0.31
9m TTC,17.43,17.14,6.28,4.96,2.64,1.65,1.24,0.71,0.72,0.38
10m TTC,18.22,17.93,7.05,5.59,2.94,1.96,1.51,0.87,0.88,0.46
11m TTC,19.14,19.54,7.79,6.32,3.49,2.31,1.69,1.04,0.94,0.53
12m TTC,20.14,20.32,8.34,6.73,3.87,2.58,1.87,1.17,1.0,0.62
13m TTC,21.07,21.34,9.15,7.29,4.18,2.81,2.12,1.26,1.22,0.69
14m TTC,21.58,21.55,9.78,7.72,4.51,3.01,2.34,1.34,1.31,0.76
15m TTC,22.38,22.48,10.16,8.25,4.79,3.36,2.42,1.56,1.38,0.86
