,>= +0.25%,<= -0.25%,>= +0.50%,<= -0.50%,>= +0.75%,<= -0.75%,>= +1.00%,<= -1.00%,>= +1.25%,<= -1.25%
1m TTC,4.4,5.49,0.46,0.84,0.1,0.16,0.04,0.05,0.02,0.04
2m TTC,9.96,10.23,1.28,2.46,0.31,0.68,0.1,0.28,0.03,0.19
3m TTC,13.32,13.15,2.49,3.43,0.61,1.28,0.22,0.51,0.13,0.31
4m TTC,16.68,15.54,3.95,4.9,0.96,1.74,0.37,0.78,0.19,0.34
5m TTC,19.08,18.08,5.01,6.5,1.36,2.45,0.52,1.06,0.29,0.53
6m TTC,21.31,19.13,5.96,7.21,1.85,2.94,0.65,1.36,0.37,0.68
7m TTC,22.94,20.59,6.92,8.09,2.61,3.63,0.91,1.77,0.4,0.96
8m TTC,23.99,21.08,8.09,9.29,2.91,4.2,1.19,2.15,0.49,1.18
9m TTC,25.13,21.83,9.14,10.04,3.58,4.47,1.42,2.33,0.55,1.23
10m TTC,25.96,22.73,9.85,11.17,3.91,5.38,1.71,2.97,0.76,1.58
11m TTC,27.48,23.97,10.46,11.63,4.34,6.03,1.97,3.14,0.87,1.72
12m TTC,28.2,24.48,11.6,12.67,4.95,6.56,2.19,3.84,0.98,2.09
13m TTC,28.67,25.04,11.92,13.29,5.37,7.23,2.45,4.14,1.3,2.26
14m TTC,29.34,26.05,13.03,13.9,5.68,7.32,2.86,4.57,1.22,2.55
15m TTC,29.91,26.14,13.37,14.18,6.09,7.93,2.94,4.63,1.48,2.79
