,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,52.57,47.5,35.79,31.67,21.51,20.23,11.03,12.95,5.85,8.62,3.42,5.02,2.02,3.21,0.94,1.99,0.48,1.33,0.23,0.89,0.15,0.58,0.13,0.4,0.1,0.18,0.07,0.17,0.04,0.1,0.03,0.07,0.02,0.04,0.02,0.03,0.02,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,52.34,47.66,40.26,36.03,28.42,25.77,18.35,18.59,11.74,12.87,7.4,8.91,4.58,6.47,2.83,4.69,1.86,3.4,1.35,2.46,1.09,1.72,0.77,1.3,0.6,0.78,0.36,0.55,0.24,0.48,0.19,0.37,0.12,0.3,0.1,0.27,0.1,0.25,0.1,0.16,0.09,0.15,0.09,0.13,0.07,0.11,0.06,0.11,0.04,0.09,0.02,0.09,0.02,0.08,0.02,0.07,0.02,0.07,0.02,0.07,0.02,0.07,0.02,0.07,0.02,0.06,0.02,0.05,0.02,0.03,0.02,0.03,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01
3m TTC,53.25,46.75,41.94,36.65,31.95,27.8,23.1,20.71,16.34,14.79,11.37,11.4,7.52,8.45,5.09,6.22,3.56,4.75,2.43,3.74,1.9,2.95,1.24,2.16,0.88,1.76,0.71,1.43,0.47,0.96,0.39,0.8,0.24,0.7,0.19,0.61,0.19,0.41,0.14,0.34,0.11,0.3,0.09,0.28,0.08,0.27,0.06,0.23,0.05,0.21,0.05,0.21,0.05,0.18,0.05,0.17,0.05,0.16,0.05,0.14,0.05,0.13,0.05,0.07,0.05,0.07,0.05,0.06,0.03,0.06,0.03,0.06,0.03,0.04,0.03,0.04,0.03,0.04,0.02,0.04
4m TTC,54.55,45.45,45.7,36.84,36.41,28.29,27.09,22.16,19.83,17.41,14.62,13.59,10.11,10.73,7.35,8.64,4.88,6.96,3.25,5.36,2.45,4.33,1.86,3.46,1.64,2.7,1.24,2.25,0.99,1.74,0.77,1.4,0.52,1.07,0.42,0.84,0.34,0.7,0.3,0.58,0.2,0.53,0.13,0.38,0.12,0.36,0.11,0.33,0.1,0.32,0.09,0.28,0.09,0.22,0.09,0.2,0.09,0.19,0.09,0.16,0.07,0.14,0.07,0.13,0.05,0.12,0.01,0.12,0.01,0.12,0.01,0.09,0.0,0.09,0.0,0.09,0.0,0.05,0.0,0.05
5m TTC,54.85,45.15,46.59,37.67,37.41,31.11,29.86,24.69,22.92,19.67,17.54,15.59,13.18,12.31,9.54,9.73,7.35,7.73,5.36,6.2,4.05,5.14,3.1,4.39,2.3,3.68,1.82,2.94,1.36,2.5,1.09,2.02,0.95,1.51,0.74,1.29,0.6,1.09,0.51,0.95,0.4,0.92,0.32,0.81,0.28,0.72,0.23,0.61,0.17,0.58,0.14,0.43,0.12,0.38,0.12,0.37,0.06,0.36,0.06,0.35,0.06,0.31,0.06,0.26,0.05,0.25,0.03,0.15,0.0,0.13,0.0,0.13,0.0,0.13,0.0,0.12,0.0,0.12,0.0,0.12
6m TTC,54.32,45.72,45.83,38.22,38.22,31.6,31.2,25.47,24.61,20.5,18.91,16.78,14.8,14.09,11.57,11.89,9.13,9.43,7.2,8.15,5.41,6.99,4.13,5.88,3.4,4.98,2.62,4.36,2.28,3.42,1.85,2.65,1.43,2.32,1.21,2.01,0.83,1.76,0.77,1.47,0.72,1.35,0.59,1.07,0.44,0.98,0.35,0.78,0.32,0.71,0.24,0.63,0.2,0.57,0.11,0.5,0.11,0.49,0.1,0.4,0.1,0.37,0.08,0.36,0.05,0.32,0.04,0.32,0.04,0.21,0.04,0.16,0.04,0.16,0.04,0.16,0.02,0.12,0.02,0.12
7m TTC,53.62,46.4,46.8,39.41,38.92,33.04,32.05,27.48,25.49,22.5,20.6,18.63,15.97,15.43,12.69,12.39,9.72,10.64,7.46,8.84,5.71,7.41,4.65,6.37,3.67,5.21,3.18,4.79,2.67,4.12,2.08,3.6,1.81,3.0,1.56,2.49,1.26,1.97,0.88,1.69,0.72,1.48,0.61,1.29,0.51,1.01,0.34,1.0,0.34,0.88,0.24,0.7,0.23,0.64,0.17,0.63,0.14,0.58,0.11,0.55,0.11,0.55,0.1,0.5,0.08,0.49,0.07,0.42,0.06,0.35,0.06,0.34,0.06,0.29,0.06,0.22,0.04,0.22,0.04,0.22
8m TTC,53.73,46.28,46.79,39.64,39.93,33.58,32.57,28.54,26.47,23.85,21.13,19.9,16.97,16.86,13.69,13.64,10.83,11.21,8.53,9.63,6.45,8.4,5.03,7.39,4.31,6.1,3.48,5.32,2.82,4.64,2.32,4.07,1.89,3.45,1.54,2.96,1.2,2.71,0.98,2.27,0.84,2.03,0.67,1.81,0.61,1.59,0.49,1.47,0.43,1.29,0.34,1.14,0.33,0.98,0.31,0.83,0.25,0.73,0.15,0.65,0.15,0.61,0.14,0.49,0.12,0.45,0.11,0.37,0.09,0.33,0.08,0.28,0.06,0.27,0.05,0.23,0.05,0.22,0.02,0.22
9m TTC,53.83,46.17,47.4,39.31,40.71,33.64,34.16,29.58,27.98,25.2,23.05,21.27,18.3,17.76,14.41,14.84,11.73,12.55,9.48,10.51,7.59,9.03,6.19,7.85,5.14,6.9,4.18,5.86,3.55,5.15,3.0,4.26,2.41,3.65,1.94,3.27,1.57,2.89,1.18,2.5,0.99,2.24,0.86,2.09,0.75,1.8,0.67,1.63,0.61,1.43,0.51,1.27,0.46,1.11,0.42,0.93,0.28,0.74,0.25,0.66,0.23,0.56,0.18,0.54,0.17,0.52,0.16,0.49,0.1,0.4,0.06,0.36,0.04,0.31,0.04,0.26,0.03,0.22,0.02,0.22
10m TTC,53.75,46.25,46.89,39.94,40.61,34.05,34.88,29.68,28.79,25.27,23.8,21.25,19.7,18.16,16.25,16.06,13.63,13.79,10.54,11.88,8.25,9.96,6.88,8.91,5.54,7.85,4.84,6.56,4.12,5.81,3.49,5.04,2.96,4.36,2.43,3.8,1.99,3.25,1.61,2.96,1.27,2.62,1.11,2.37,0.98,2.12,0.82,1.87,0.71,1.5,0.53,1.28,0.5,1.09,0.45,0.96,0.39,0.91,0.36,0.77,0.3,0.74,0.24,0.68,0.24,0.61,0.18,0.46,0.15,0.4,0.13,0.36,0.11,0.35,0.11,0.32,0.1,0.24,0.1,0.14
