,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
28m TTC,50.46,49.54,40.81,39.87,32.48,31.49,25.72,24.82,20.35,19.61,16.25,15.64,13.09,12.61,10.65,10.26,8.75,8.46,7.26,7.02,6.08,5.89,5.13,5.0,4.37,4.26,3.75,3.67,3.24,3.19,2.82,2.78,2.47,2.43,2.17,2.14,1.91,1.89,1.69,1.67,1.5,1.48,1.34,1.32,1.2,1.19,1.07,1.06,0.96,0.95,0.86,0.86,0.78,0.77,0.7,0.7,0.63,0.63,0.57,0.57,0.52,0.52,0.48,0.47,0.43,0.43,0.4,0.39,0.33,0.33,0.3,0.3,0.28,0.28,0.26,0.26,0.24,0.24,0.22,0.22
29m TTC,50.47,49.54,40.97,40.01,32.76,31.73,26.02,25.09,20.67,19.91,16.56,15.92,13.37,12.88,10.9,10.5,8.98,8.65,7.46,7.22,6.26,6.07,5.29,5.15,4.51,4.4,3.88,3.79,3.36,3.3,2.93,2.88,2.56,2.53,2.25,2.23,1.99,1.97,1.76,1.74,1.57,1.54,1.4,1.38,1.25,1.24,1.12,1.11,1.0,0.99,0.9,0.9,0.81,0.81,0.73,0.73,0.66,0.66,0.6,0.6,0.55,0.54,0.5,0.5,0.46,0.45,0.42,0.41,0.35,0.35,0.32,0.32,0.29,0.3,0.27,0.27,0.25,0.25,0.23,0.23
30m TTC,50.5,49.51,41.11,40.12,32.99,31.96,26.3,25.34,20.99,20.18,16.85,16.2,13.62,13.13,11.15,10.73,9.21,8.87,7.66,7.41,6.43,6.24,5.45,5.3,4.65,4.54,4.01,3.92,3.48,3.4,3.03,2.98,2.65,2.62,2.34,2.31,2.07,2.04,1.84,1.81,1.63,1.61,1.45,1.44,1.3,1.28,1.17,1.15,1.05,1.04,0.94,0.93,0.85,0.84,0.77,0.76,0.7,0.69,0.63,0.63,0.58,0.57,0.52,0.52,0.48,0.47,0.44,0.43,0.37,0.37,0.34,0.34,0.31,0.31,0.28,0.29,0.26,0.26,0.24,0.24
31m TTC,50.51,49.49,41.28,40.24,33.25,32.18,26.59,25.61,21.26,20.46,17.14,16.46,13.9,13.37,11.39,10.96,9.42,9.08,7.86,7.59,6.6,6.4,5.6,5.45,4.79,4.68,4.13,4.05,3.58,3.52,3.13,3.08,2.75,2.72,2.43,2.39,2.15,2.12,1.91,1.88,1.7,1.67,1.52,1.5,1.36,1.34,1.22,1.2,1.1,1.08,0.99,0.98,0.89,0.88,0.8,0.8,0.73,0.72,0.66,0.66,0.6,0.6,0.55,0.54,0.5,0.5,0.46,0.46,0.39,0.38,0.35,0.35,0.32,0.33,0.3,0.3,0.27,0.28,0.25,0.26
32m TTC,50.53,49.48,41.41,40.35,33.47,32.37,26.88,25.87,21.57,20.72,17.44,16.72,14.17,13.62,11.62,11.19,9.64,9.28,8.05,7.78,6.78,6.57,5.75,5.6,4.93,4.81,4.26,4.17,3.7,3.63,3.23,3.18,2.85,2.8,2.52,2.47,2.22,2.2,1.98,1.96,1.76,1.74,1.57,1.55,1.41,1.39,1.26,1.25,1.14,1.13,1.03,1.02,0.93,0.92,0.84,0.83,0.76,0.76,0.69,0.69,0.63,0.63,0.57,0.57,0.53,0.52,0.48,0.48,0.41,0.4,0.37,0.37,0.34,0.34,0.31,0.32,0.29,0.29,0.27,0.27
33m TTC,50.53,49.48,41.57,40.48,33.7,32.6,27.15,26.11,21.87,20.97,17.69,16.97,14.44,13.86,11.88,11.43,9.85,9.5,8.24,7.96,6.96,6.73,5.92,5.75,5.07,4.95,4.38,4.29,3.81,3.74,3.34,3.28,2.94,2.89,2.59,2.56,2.3,2.27,2.04,2.02,1.83,1.81,1.63,1.62,1.46,1.45,1.31,1.3,1.18,1.17,1.07,1.06,0.97,0.96,0.88,0.87,0.79,0.79,0.72,0.72,0.66,0.65,0.6,0.6,0.55,0.55,0.5,0.5,0.42,0.42,0.39,0.39,0.36,0.36,0.33,0.33,0.3,0.31,0.28,0.28
34m TTC,50.54,49.47,41.68,40.58,33.9,32.77,27.43,26.36,22.15,21.23,17.98,17.23,14.69,14.1,12.11,11.65,10.06,9.7,8.45,8.14,7.13,6.91,6.08,5.9,5.2,5.08,4.5,4.4,3.92,3.84,3.44,3.37,3.03,2.98,2.68,2.64,2.38,2.34,2.11,2.09,1.89,1.87,1.69,1.67,1.52,1.5,1.36,1.35,1.23,1.22,1.11,1.1,1.01,1.0,0.91,0.9,0.83,0.82,0.75,0.75,0.69,0.68,0.63,0.62,0.58,0.57,0.53,0.52,0.44,0.44,0.41,0.41,0.38,0.38,0.35,0.35,0.32,0.32,0.29,0.3
35m TTC,50.56,49.45,41.79,40.68,34.13,32.95,27.68,26.57,22.43,21.48,18.24,17.48,14.94,14.33,12.34,11.87,10.29,9.9,8.63,8.34,7.3,7.07,6.23,6.04,5.36,5.2,4.64,4.52,4.04,3.95,3.54,3.47,3.12,3.07,2.76,2.72,2.45,2.42,2.18,2.16,1.95,1.93,1.75,1.73,1.57,1.56,1.41,1.4,1.27,1.26,1.15,1.14,1.04,1.03,0.95,0.94,0.86,0.85,0.78,0.78,0.71,0.71,0.65,0.65,0.6,0.6,0.55,0.55,0.46,0.46,0.43,0.43,0.39,0.39,0.36,0.36,0.33,0.33,0.31,0.31
36m TTC,50.55,49.45,41.91,40.77,34.33,33.14,27.94,26.79,22.69,21.72,18.52,17.74,15.2,14.57,12.58,12.08,10.5,10.1,8.81,8.52,7.47,7.24,6.39,6.19,5.5,5.34,4.77,4.64,4.17,4.06,3.65,3.57,3.22,3.15,2.85,2.8,2.53,2.49,2.25,2.23,2.02,1.99,1.81,1.79,1.63,1.61,1.46,1.45,1.32,1.31,1.19,1.18,1.08,1.07,0.98,0.97,0.89,0.89,0.81,0.81,0.74,0.74,0.68,0.68,0.62,0.62,0.57,0.57,0.48,0.48,0.45,0.45,0.41,0.41,0.38,0.38,0.35,0.35,0.32,0.32
37m TTC,50.58,49.42,42.03,40.88,34.51,33.31,28.17,27.03,22.97,21.96,18.78,17.98,15.46,14.8,12.82,12.3,10.7,10.3,9.0,8.69,7.64,7.4,6.55,6.34,5.65,5.47,4.91,4.76,4.28,4.16,3.75,3.66,3.31,3.24,2.93,2.88,2.6,2.57,2.32,2.3,2.08,2.06,1.87,1.84,1.68,1.66,1.51,1.49,1.37,1.35,1.24,1.22,1.12,1.11,1.02,1.01,0.92,0.92,0.84,0.84,0.77,0.77,0.71,0.7,0.65,0.65,0.59,0.59,0.5,0.5,0.46,0.46,0.43,0.43,0.39,0.39,0.36,0.36,0.33,0.34
