,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,50.4,50.3,10.65,10.94,2.81,2.78,0.93,0.89,0.37,0.35,0.17,0.15,0.1,0.07,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,49.66,50.54,16.72,17.34,6.09,6.04,2.53,2.41,1.18,1.07,0.61,0.56,0.35,0.31,0.21,0.19,0.13,0.12,0.1,0.08,0.06,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,49.55,50.56,20.6,21.43,8.66,8.82,4.02,3.92,2.02,1.95,1.15,1.07,0.7,0.63,0.45,0.38,0.29,0.25,0.2,0.17,0.14,0.11,0.1,0.08,0.07,0.06,0.06,0.04,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4m TTC,49.42,50.65,23.45,24.22,11.03,11.1,5.49,5.31,2.89,2.85,1.64,1.59,1.01,0.97,0.66,0.6,0.46,0.41,0.31,0.28,0.23,0.2,0.17,0.15,0.13,0.12,0.1,0.08,0.08,0.07,0.07,0.05,0.05,0.04,0.04,0.03,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5m TTC,49.31,50.73,25.64,26.3,12.93,12.92,6.85,6.56,3.79,3.58,2.27,2.13,1.43,1.34,0.96,0.89,0.66,0.59,0.46,0.41,0.33,0.29,0.25,0.22,0.18,0.16,0.14,0.13,0.1,0.1,0.09,0.08,0.07,0.06,0.06,0.05,0.05,0.03,0.04,0.03,0.04,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6m TTC,49.26,50.77,27.2,28.09,14.46,14.55,7.96,7.8,4.62,4.44,2.85,2.65,1.84,1.68,1.29,1.11,0.9,0.76,0.64,0.55,0.47,0.4,0.34,0.29,0.26,0.22,0.2,0.17,0.16,0.14,0.13,0.11,0.1,0.09,0.08,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0
7m TTC,49.28,50.75,28.49,29.57,15.88,16.05,9.06,8.92,5.42,5.19,3.4,3.19,2.28,2.02,1.58,1.37,1.13,0.95,0.81,0.68,0.59,0.51,0.44,0.39,0.32,0.3,0.25,0.23,0.19,0.19,0.15,0.14,0.13,0.11,0.1,0.09,0.09,0.08,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
8m TTC,49.35,50.68,29.62,30.66,17.09,17.42,10.12,9.94,6.17,5.91,3.92,3.7,2.64,2.39,1.85,1.62,1.34,1.14,0.98,0.83,0.74,0.62,0.55,0.48,0.41,0.36,0.32,0.27,0.25,0.23,0.2,0.18,0.16,0.15,0.12,0.12,0.11,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01
9m TTC,49.37,50.65,30.61,31.66,18.14,18.59,10.95,10.9,6.9,6.6,4.4,4.2,3.01,2.76,2.13,1.86,1.55,1.36,1.17,1.01,0.88,0.75,0.67,0.57,0.5,0.44,0.4,0.34,0.3,0.27,0.25,0.22,0.2,0.18,0.16,0.15,0.14,0.13,0.11,0.11,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
10m TTC,49.28,50.74,31.32,32.48,19.18,19.72,11.84,11.95,7.52,7.35,4.94,4.69,3.36,3.12,2.38,2.14,1.74,1.53,1.29,1.13,0.99,0.87,0.77,0.67,0.59,0.51,0.47,0.4,0.37,0.32,0.3,0.27,0.25,0.23,0.2,0.19,0.16,0.16,0.14,0.13,0.11,0.12,0.09,0.1,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
11m TTC,49.13,50.88,32.11,33.36,19.9,20.6,12.58,12.7,8.15,8.03,5.44,5.21,3.74,3.51,2.66,2.42,1.98,1.76,1.48,1.3,1.14,0.98,0.89,0.77,0.67,0.6,0.53,0.47,0.43,0.36,0.35,0.3,0.29,0.25,0.23,0.21,0.19,0.18,0.17,0.16,0.14,0.13,0.11,0.11,0.1,0.1,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01
12m TTC,49.11,50.91,32.75,34.04,20.76,21.39,13.26,13.6,8.84,8.68,5.89,5.71,4.09,3.89,2.98,2.75,2.21,2.02,1.66,1.5,1.3,1.12,1.02,0.87,0.78,0.67,0.61,0.53,0.49,0.42,0.39,0.35,0.32,0.29,0.27,0.25,0.22,0.21,0.19,0.18,0.16,0.15,0.13,0.12,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01
13m TTC,49.2,50.82,33.22,34.74,21.47,22.17,13.92,14.19,9.28,9.34,6.32,6.21,4.44,4.3,3.2,3.04,2.42,2.25,1.83,1.68,1.42,1.28,1.12,0.99,0.89,0.78,0.7,0.62,0.56,0.5,0.46,0.41,0.38,0.34,0.31,0.28,0.26,0.23,0.21,0.2,0.18,0.17,0.16,0.15,0.13,0.13,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
14m TTC,49.2,50.82,33.84,35.07,22.21,22.87,14.59,14.89,9.87,9.86,6.82,6.65,4.83,4.65,3.53,3.31,2.65,2.46,2.0,1.86,1.56,1.44,1.23,1.11,0.99,0.88,0.79,0.71,0.65,0.57,0.54,0.46,0.44,0.38,0.37,0.32,0.31,0.28,0.26,0.24,0.22,0.19,0.18,0.17,0.16,0.14,0.14,0.13,0.12,0.11,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.06,0.07,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02
15m TTC,49.28,50.73,34.35,35.52,22.78,23.5,15.2,15.5,10.44,10.48,7.33,7.12,5.19,5.0,3.79,3.59,2.89,2.68,2.19,2.04,1.74,1.56,1.36,1.22,1.09,0.98,0.87,0.8,0.73,0.65,0.6,0.53,0.49,0.43,0.42,0.36,0.34,0.3,0.29,0.27,0.25,0.22,0.22,0.19,0.18,0.17,0.15,0.14,0.14,0.12,0.12,0.11,0.11,0.1,0.09,0.08,0.08,0.07,0.08,0.06,0.07,0.05,0.06,0.05,0.06,0.04,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02
16m TTC,49.12,50.89,34.68,36.05,23.5,24.08,15.8,16.19,10.91,10.94,7.74,7.48,5.52,5.34,4.11,3.86,3.11,2.88,2.39,2.19,1.87,1.71,1.5,1.33,1.22,1.07,0.98,0.86,0.8,0.71,0.66,0.58,0.54,0.48,0.45,0.41,0.38,0.34,0.32,0.29,0.27,0.24,0.24,0.21,0.2,0.18,0.17,0.16,0.15,0.14,0.14,0.12,0.13,0.11,0.11,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.07,0.05,0.06,0.05,0.06,0.04,0.05,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.03
17m TTC,49.15,50.87,34.95,36.26,23.99,24.65,16.37,16.78,11.38,11.48,8.12,7.97,5.91,5.65,4.39,4.17,3.33,3.15,2.58,2.41,2.03,1.87,1.62,1.49,1.32,1.18,1.07,0.97,0.87,0.78,0.73,0.64,0.61,0.53,0.51,0.44,0.42,0.37,0.36,0.32,0.31,0.28,0.26,0.24,0.23,0.21,0.19,0.19,0.16,0.16,0.14,0.14,0.13,0.13,0.12,0.11,0.11,0.09,0.1,0.08,0.09,0.07,0.08,0.06,0.07,0.05,0.06,0.04,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.03
18m TTC,49.24,50.76,35.29,36.63,24.49,25.26,16.88,17.27,11.84,11.89,8.49,8.28,6.21,5.94,4.66,4.36,3.54,3.3,2.75,2.55,2.18,2.01,1.76,1.6,1.45,1.28,1.18,1.03,0.97,0.84,0.81,0.69,0.66,0.57,0.56,0.49,0.46,0.43,0.39,0.37,0.34,0.32,0.29,0.28,0.25,0.24,0.22,0.21,0.19,0.19,0.16,0.16,0.14,0.14,0.12,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.04,0.06,0.04,0.05,0.04,0.05,0.03,0.04,0.03,0.04,0.03
19m TTC,49.32,50.69,35.68,36.98,24.96,25.57,17.42,17.63,12.31,12.32,8.9,8.71,6.56,6.24,4.95,4.63,3.79,3.54,2.92,2.72,2.31,2.13,1.86,1.7,1.55,1.37,1.28,1.11,1.06,0.91,0.87,0.74,0.75,0.62,0.63,0.53,0.53,0.46,0.44,0.4,0.38,0.35,0.32,0.31,0.28,0.27,0.24,0.24,0.21,0.21,0.19,0.19,0.16,0.17,0.15,0.14,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.08,0.09,0.07,0.08,0.06,0.07,0.05,0.06,0.05,0.06,0.04,0.05,0.04,0.05,0.04,0.04,0.03
20m TTC,49.23,50.78,35.91,37.23,25.42,26.01,17.83,18.03,12.67,12.69,9.28,9.02,6.83,6.61,5.14,4.85,3.93,3.69,3.1,2.87,2.46,2.26,2.0,1.8,1.63,1.48,1.36,1.2,1.12,0.99,0.95,0.82,0.8,0.69,0.68,0.59,0.57,0.51,0.49,0.43,0.43,0.37,0.37,0.32,0.31,0.29,0.27,0.25,0.23,0.22,0.2,0.19,0.17,0.18,0.16,0.15,0.14,0.14,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.07,0.06,0.07,0.06,0.06,0.05,0.06,0.05,0.05,0.04,0.05,0.04
