,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,45.3,54.82,31.01,37.71,21.14,22.26,13.49,11.61,8.42,6.28,5.65,4.07,3.66,2.43,2.25,1.27,1.38,0.55,0.83,0.35,0.53,0.17,0.42,0.08,0.32,0.06,0.29,0.03,0.21,0.02,0.15,0.0,0.15,0.0,0.14,0.0,0.14,0.0,0.11,0.0,0.06,0.0,0.06,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0
2m TTC,44.24,55.77,34.42,42.74,25.36,31.07,19.09,20.88,14.05,13.02,10.18,9.15,7.41,5.49,5.3,3.72,3.82,2.82,2.61,1.81,1.87,1.35,1.41,0.82,1.06,0.67,0.9,0.56,0.76,0.32,0.52,0.27,0.41,0.21,0.23,0.17,0.15,0.15,0.15,0.09,0.14,0.09,0.14,0.08,0.11,0.0,0.11,0.0,0.11,0.0,0.11,0.0,0.09,0.0,0.09,0.0,0.08,0.0,0.06,0.0,0.06,0.0,0.06,0.0,0.05,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0
3m TTC,45.89,54.18,36.38,45.44,29.22,34.12,22.58,25.71,17.47,18.03,13.66,12.67,10.7,8.79,8.17,6.27,5.92,4.43,4.74,3.07,3.49,1.75,2.72,1.26,2.32,1.03,1.67,0.82,1.4,0.59,1.18,0.49,0.83,0.32,0.74,0.24,0.67,0.21,0.53,0.18,0.46,0.12,0.46,0.12,0.41,0.11,0.33,0.08,0.29,0.08,0.29,0.08,0.27,0.08,0.27,0.03,0.24,0.03,0.2,0.03,0.2,0.03,0.18,0.03,0.14,0.03,0.14,0.02,0.11,0.02,0.09,0.02,0.08,0.02,0.08,0.02,0.06,0.02,0.06,0.02
4m TTC,46.21,53.8,37.91,45.42,30.34,36.86,24.89,27.71,19.46,20.78,15.21,15.65,12.08,11.05,9.33,8.39,7.74,6.16,6.4,4.54,5.4,3.26,4.36,2.58,3.26,1.76,2.79,1.38,2.2,1.24,1.58,1.12,1.37,0.79,1.09,0.65,0.96,0.55,0.79,0.36,0.62,0.33,0.58,0.32,0.5,0.23,0.46,0.11,0.33,0.09,0.27,0.09,0.23,0.09,0.18,0.09,0.18,0.09,0.14,0.09,0.11,0.09,0.11,0.08,0.11,0.08,0.09,0.06,0.05,0.03,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02
5m TTC,47.17,52.83,39.23,45.03,32.43,36.74,26.13,28.43,20.61,22.23,16.83,17.07,13.67,13.54,10.96,10.26,9.06,7.83,7.63,5.62,5.99,4.64,4.95,3.73,3.9,2.81,3.17,2.34,2.69,1.87,2.22,1.59,1.94,1.34,1.67,1.11,1.58,0.96,1.26,0.74,1.03,0.61,0.8,0.49,0.68,0.39,0.62,0.38,0.55,0.23,0.55,0.2,0.5,0.14,0.5,0.14,0.42,0.14,0.35,0.14,0.32,0.08,0.32,0.08,0.3,0.08,0.3,0.08,0.26,0.06,0.24,0.05,0.21,0.05,0.18,0.05,0.18,0.05,0.18,0.05
6m TTC,47.06,52.97,39.63,45.88,33.37,37.61,28.08,30.43,23.57,24.25,18.99,19.08,15.42,14.54,12.7,11.03,10.2,8.39,8.27,6.8,6.78,5.3,5.63,4.4,4.63,3.72,4.08,2.72,3.67,2.09,3.02,1.78,2.56,1.46,2.02,1.23,1.73,1.08,1.58,0.9,1.26,0.76,1.2,0.62,1.06,0.58,0.91,0.46,0.76,0.39,0.68,0.33,0.59,0.2,0.56,0.18,0.55,0.17,0.42,0.15,0.35,0.15,0.3,0.11,0.29,0.11,0.29,0.11,0.24,0.09,0.24,0.09,0.2,0.09,0.15,0.09,0.15,0.09,0.14,0.09
7m TTC,47.06,52.94,40.14,45.04,34.3,38.66,28.59,32.04,24.12,26.29,20.67,21.11,17.26,16.53,13.93,12.84,11.38,10.32,9.33,8.07,8.09,6.28,6.72,5.07,5.87,4.19,5.04,3.43,4.16,2.93,3.52,2.25,2.91,1.9,2.47,1.61,2.12,1.29,1.78,1.14,1.62,1.03,1.32,0.77,1.14,0.76,0.96,0.67,0.83,0.62,0.8,0.61,0.71,0.59,0.65,0.49,0.62,0.46,0.53,0.29,0.53,0.2,0.49,0.17,0.46,0.17,0.36,0.14,0.32,0.12,0.27,0.12,0.24,0.12,0.2,0.11,0.2,0.11,0.15,0.11
8m TTC,49.04,50.96,42.97,44.67,36.55,37.78,30.63,31.77,25.44,26.86,21.51,22.14,18.61,17.35,15.83,14.25,13.26,11.6,10.94,8.88,9.23,7.07,7.59,6.21,6.59,5.08,5.48,4.07,4.96,3.26,4.25,2.64,3.78,2.31,3.28,1.9,2.6,1.7,2.28,1.24,1.75,1.06,1.55,0.97,1.35,0.83,1.23,0.74,1.08,0.67,1.0,0.53,0.85,0.41,0.79,0.39,0.77,0.39,0.68,0.38,0.53,0.23,0.49,0.2,0.47,0.18,0.39,0.15,0.29,0.12,0.24,0.12,0.21,0.11,0.17,0.11,0.17,0.11,0.17,0.11
9m TTC,48.05,51.95,42.46,46.37,37.2,40.23,31.69,33.95,26.7,28.38,22.84,23.65,19.09,19.15,16.53,15.16,13.93,12.4,11.67,10.26,9.93,8.24,8.82,6.66,7.65,5.54,6.71,4.43,5.92,3.75,5.19,3.22,4.6,2.63,3.85,1.99,3.23,1.76,2.63,1.55,2.2,1.27,1.91,1.08,1.64,0.99,1.5,0.68,1.38,0.65,1.21,0.46,1.17,0.38,0.99,0.35,0.82,0.32,0.77,0.27,0.68,0.26,0.61,0.21,0.61,0.21,0.58,0.21,0.55,0.17,0.47,0.17,0.41,0.17,0.39,0.15,0.38,0.12,0.33,0.12
10m TTC,48.19,51.81,43.69,45.74,38.03,39.76,32.58,34.48,28.27,29.59,23.83,25.13,20.0,21.1,17.33,17.7,14.8,13.63,13.29,11.14,11.32,9.18,9.99,7.41,8.82,6.24,7.72,5.31,6.48,4.31,5.14,3.78,4.3,2.9,3.73,2.34,3.28,1.97,2.88,1.7,2.53,1.43,2.19,1.37,1.84,1.17,1.65,1.02,1.53,0.94,1.29,0.79,1.12,0.67,1.0,0.5,0.97,0.36,0.91,0.35,0.83,0.32,0.76,0.32,0.76,0.32,0.59,0.32,0.49,0.23,0.49,0.23,0.29,0.23,0.29,0.21,0.29,0.2,0.27,0.17
