,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,51.79,48.26,31.07,29.53,15.37,16.68,7.33,9.17,3.47,5.07,1.78,3.12,1.11,1.9,0.74,1.25,0.44,0.78,0.29,0.53,0.23,0.33,0.14,0.24,0.09,0.18,0.07,0.11,0.05,0.09,0.05,0.05,0.05,0.05,0.03,0.05,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,52.44,47.58,36.65,33.03,23.23,21.98,14.31,14.5,8.49,9.46,4.73,6.5,2.94,4.69,2.0,3.37,1.29,2.38,0.87,1.67,0.61,1.24,0.49,0.92,0.42,0.67,0.32,0.55,0.18,0.44,0.15,0.32,0.13,0.3,0.09,0.25,0.06,0.19,0.06,0.18,0.05,0.16,0.05,0.13,0.04,0.12,0.04,0.11,0.04,0.11,0.04,0.1,0.02,0.1,0.02,0.08,0.02,0.06,0.02,0.06,0.02,0.05,0.02,0.04,0.02,0.04,0.02,0.03,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.0
3m TTC,52.81,47.21,39.44,34.96,27.77,25.11,19.09,18.09,12.55,12.99,7.8,9.62,5.29,7.07,3.4,5.25,2.38,4.09,1.56,3.03,1.1,2.28,0.88,1.81,0.75,1.39,0.54,1.11,0.35,0.83,0.29,0.65,0.23,0.5,0.2,0.39,0.17,0.31,0.16,0.29,0.1,0.26,0.1,0.23,0.09,0.22,0.08,0.21,0.06,0.15,0.06,0.12,0.06,0.12,0.06,0.09,0.06,0.08,0.06,0.07,0.04,0.06,0.04,0.06,0.03,0.06,0.03,0.06,0.02,0.05,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02
4m TTC,52.47,47.53,41.24,36.77,30.01,27.59,21.74,20.39,15.46,15.22,10.37,11.26,7.34,8.59,5.1,6.8,3.63,5.49,2.69,4.36,2.04,3.23,1.43,2.55,1.01,2.13,0.8,1.69,0.69,1.41,0.64,1.16,0.42,0.99,0.34,0.83,0.21,0.61,0.17,0.48,0.13,0.36,0.12,0.35,0.12,0.29,0.11,0.27,0.1,0.24,0.1,0.21,0.09,0.18,0.09,0.17,0.08,0.14,0.08,0.13,0.06,0.13,0.06,0.12,0.03,0.1,0.03,0.1,0.02,0.08,0.02,0.06,0.02,0.04,0.02,0.04,0.02,0.04,0.01,0.04
5m TTC,52.92,47.08,42.63,37.47,32.32,29.61,24.21,22.38,18.01,17.08,12.96,13.16,9.27,10.25,6.79,7.95,4.59,6.3,3.51,5.16,2.58,4.11,1.9,3.38,1.53,2.66,1.27,2.19,0.97,1.73,0.85,1.51,0.67,1.18,0.62,1.01,0.53,0.83,0.38,0.7,0.35,0.61,0.29,0.51,0.2,0.44,0.18,0.41,0.16,0.35,0.12,0.33,0.1,0.27,0.08,0.25,0.08,0.25,0.08,0.23,0.08,0.22,0.07,0.21,0.05,0.17,0.05,0.17,0.05,0.14,0.05,0.09,0.03,0.09,0.01,0.09,0.01,0.08,0.0,0.07
6m TTC,54.18,45.82,44.94,37.32,35.41,29.84,26.67,23.34,20.16,18.58,15.09,14.43,11.15,11.21,8.1,8.92,6.14,6.88,4.55,5.45,3.33,4.41,2.5,3.49,1.99,2.84,1.53,2.37,1.22,2.01,1.0,1.74,0.83,1.45,0.7,1.1,0.59,0.96,0.53,0.88,0.46,0.73,0.38,0.66,0.3,0.54,0.25,0.49,0.23,0.45,0.23,0.42,0.11,0.34,0.11,0.31,0.11,0.29,0.1,0.26,0.1,0.21,0.09,0.18,0.09,0.18,0.06,0.17,0.04,0.15,0.02,0.14,0.02,0.13,0.02,0.12,0.02,0.12,0.02,0.12
7m TTC,53.89,46.12,45.48,37.73,36.78,30.18,28.54,24.13,21.96,19.41,16.8,15.33,12.46,12.81,9.14,9.9,6.85,7.81,5.31,6.37,4.25,5.19,3.3,4.35,2.4,3.57,1.97,3.0,1.55,2.49,1.22,2.01,1.06,1.73,0.79,1.55,0.69,1.32,0.62,1.15,0.49,1.0,0.45,0.87,0.38,0.76,0.34,0.67,0.29,0.59,0.27,0.51,0.23,0.46,0.17,0.42,0.16,0.35,0.15,0.32,0.12,0.26,0.08,0.24,0.06,0.23,0.06,0.23,0.04,0.21,0.04,0.21,0.03,0.2,0.03,0.2,0.02,0.2,0.02,0.19
8m TTC,54.19,45.82,45.51,37.64,36.87,30.71,30.36,24.94,24.02,20.19,19.05,16.23,14.13,13.29,10.89,11.02,8.27,8.67,6.17,7.16,4.99,5.74,3.74,4.81,2.96,3.93,2.27,3.35,1.88,2.99,1.55,2.43,1.13,2.2,1.01,1.95,0.87,1.67,0.75,1.42,0.64,1.19,0.54,0.96,0.49,0.85,0.43,0.77,0.34,0.71,0.3,0.63,0.28,0.55,0.27,0.51,0.23,0.46,0.2,0.43,0.15,0.4,0.15,0.37,0.11,0.35,0.09,0.35,0.06,0.27,0.06,0.25,0.06,0.24,0.04,0.23,0.04,0.21,0.04,0.21
9m TTC,54.18,45.82,46.49,38.61,38.77,31.97,31.74,26.41,25.58,21.38,20.32,17.47,15.86,13.96,12.4,11.44,9.33,9.34,7.28,7.71,5.79,6.55,4.47,5.39,3.48,4.43,2.64,3.92,2.25,3.3,1.87,2.87,1.63,2.54,1.21,2.24,1.01,1.95,0.86,1.59,0.78,1.41,0.69,1.14,0.63,1.03,0.57,0.81,0.54,0.73,0.43,0.7,0.4,0.64,0.35,0.56,0.31,0.51,0.24,0.48,0.23,0.44,0.2,0.41,0.19,0.38,0.16,0.35,0.1,0.32,0.08,0.26,0.07,0.21,0.06,0.17,0.06,0.17,0.06,0.17
10m TTC,53.82,46.18,46.01,38.93,38.78,32.46,32.41,26.94,26.31,21.93,20.58,17.83,16.55,14.7,12.98,12.04,10.3,10.04,8.22,8.51,6.49,7.14,5.03,5.9,4.23,4.93,3.31,4.25,2.76,3.74,2.34,3.25,2.04,2.8,1.64,2.49,1.36,2.21,1.08,1.83,0.87,1.59,0.77,1.42,0.69,1.22,0.66,1.08,0.54,0.98,0.5,0.82,0.44,0.75,0.41,0.63,0.38,0.54,0.27,0.46,0.25,0.43,0.23,0.41,0.22,0.35,0.19,0.32,0.15,0.25,0.14,0.24,0.13,0.23,0.12,0.23,0.08,0.2,0.08,0.19
