,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,47.92,52.13,26.01,28.52,12.32,12.21,6.25,5.21,3.24,2.31,1.8,1.05,1.09,0.59,0.69,0.31,0.44,0.22,0.26,0.17,0.16,0.13,0.13,0.08,0.09,0.06,0.09,0.04,0.06,0.03,0.04,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,47.04,53.0,30.48,34.25,18.56,20.21,11.33,11.04,6.97,6.08,4.42,3.38,2.92,2.05,1.92,1.24,1.28,0.78,0.92,0.52,0.69,0.39,0.5,0.27,0.39,0.18,0.3,0.16,0.24,0.14,0.17,0.14,0.13,0.12,0.1,0.12,0.09,0.09,0.07,0.09,0.06,0.09,0.06,0.08,0.06,0.07,0.04,0.06,0.02,0.04,0.02,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,48.08,51.96,33.28,36.4,22.37,24.01,15.2,14.97,9.94,9.21,6.8,5.87,4.68,3.68,3.27,2.35,2.34,1.55,1.69,1.05,1.28,0.73,0.91,0.52,0.67,0.38,0.51,0.27,0.39,0.23,0.32,0.19,0.27,0.16,0.26,0.14,0.22,0.13,0.17,0.1,0.13,0.1,0.12,0.09,0.11,0.09,0.1,0.09,0.1,0.08,0.09,0.07,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.01,0.02,0.01,0.02,0.01
4m TTC,48.69,51.33,35.64,38.18,25.29,26.84,17.56,17.86,12.4,11.95,8.96,7.93,6.52,5.23,4.76,3.48,3.49,2.26,2.59,1.56,1.95,1.09,1.5,0.88,1.23,0.65,1.01,0.5,0.81,0.41,0.58,0.31,0.52,0.22,0.41,0.18,0.34,0.16,0.29,0.15,0.24,0.14,0.23,0.14,0.2,0.11,0.17,0.11,0.15,0.1,0.11,0.1,0.09,0.1,0.09,0.09,0.08,0.09,0.06,0.08,0.05,0.07,0.05,0.07,0.05,0.07,0.05,0.06,0.03,0.05,0.02,0.05,0.01,0.05,0.01,0.03,0.01,0.03,0.01,0.01
5m TTC,48.91,51.1,36.55,39.15,26.86,28.52,19.62,20.04,14.09,13.8,10.02,9.46,7.5,6.38,5.64,4.53,4.22,3.22,3.3,2.15,2.65,1.57,2.05,1.25,1.59,0.94,1.28,0.72,1.03,0.56,0.86,0.42,0.76,0.35,0.63,0.28,0.55,0.23,0.47,0.2,0.4,0.18,0.32,0.14,0.27,0.12,0.2,0.1,0.17,0.09,0.14,0.09,0.12,0.07,0.12,0.07,0.11,0.07,0.09,0.07,0.08,0.07,0.05,0.07,0.04,0.06,0.03,0.06,0.03,0.05,0.03,0.04,0.02,0.04,0.02,0.04,0.02,0.03,0.02,0.03
6m TTC,48.24,51.78,37.7,40.6,28.63,30.38,21.46,22.1,15.94,15.92,12.01,11.25,8.96,8.14,6.6,5.75,5.09,4.18,4.01,3.13,3.18,2.29,2.52,1.66,2.02,1.25,1.54,0.89,1.32,0.7,1.13,0.55,0.94,0.42,0.82,0.35,0.64,0.3,0.55,0.23,0.44,0.18,0.33,0.14,0.3,0.13,0.26,0.11,0.24,0.1,0.21,0.09,0.18,0.09,0.17,0.09,0.14,0.08,0.14,0.07,0.12,0.07,0.11,0.06,0.09,0.06,0.05,0.06,0.03,0.06,0.02,0.06,0.02,0.06,0.02,0.06,0.01,0.06,0.01,0.04
7m TTC,48.08,51.92,38.36,41.31,29.5,31.7,22.45,23.68,17.15,17.6,13.05,12.76,10.17,9.45,7.89,7.02,6.02,5.18,4.68,3.76,3.72,2.73,2.94,2.1,2.36,1.66,1.93,1.35,1.71,1.03,1.44,0.84,1.21,0.64,1.04,0.51,0.88,0.42,0.75,0.33,0.65,0.26,0.49,0.18,0.39,0.14,0.36,0.14,0.29,0.14,0.27,0.13,0.22,0.13,0.21,0.12,0.18,0.1,0.17,0.1,0.15,0.08,0.1,0.08,0.09,0.08,0.09,0.07,0.05,0.05,0.04,0.05,0.03,0.05,0.03,0.05,0.03,0.05,0.03,0.05
8m TTC,47.39,52.61,38.49,42.24,30.43,32.99,23.79,25.3,18.43,18.84,14.21,13.83,10.96,10.44,8.63,7.88,6.68,5.84,5.33,4.5,4.21,3.41,3.41,2.53,2.79,1.98,2.28,1.61,1.9,1.26,1.61,1.03,1.4,0.89,1.2,0.75,1.04,0.63,0.9,0.46,0.74,0.41,0.62,0.35,0.54,0.27,0.44,0.23,0.36,0.22,0.33,0.2,0.27,0.17,0.24,0.14,0.21,0.13,0.2,0.12,0.17,0.11,0.12,0.11,0.12,0.11,0.1,0.1,0.06,0.08,0.06,0.07,0.05,0.06,0.04,0.06,0.04,0.06,0.04,0.06
9m TTC,47.95,52.06,38.8,42.91,31.02,34.1,24.84,26.62,19.38,20.37,15.2,15.65,12.22,11.49,9.59,8.77,7.62,6.65,6.0,4.95,4.8,3.9,3.95,3.02,3.22,2.3,2.77,1.93,2.34,1.6,1.92,1.28,1.6,0.96,1.37,0.79,1.17,0.65,1.01,0.49,0.89,0.46,0.77,0.37,0.65,0.29,0.54,0.26,0.45,0.24,0.41,0.23,0.37,0.2,0.32,0.2,0.3,0.18,0.26,0.17,0.23,0.14,0.17,0.13,0.16,0.12,0.14,0.1,0.1,0.09,0.1,0.08,0.09,0.07,0.06,0.07,0.05,0.07,0.05,0.05
10m TTC,48.09,51.91,39.56,43.21,32.0,34.94,25.49,27.74,20.33,21.61,16.28,16.38,12.95,12.65,10.15,9.81,8.36,7.45,6.74,5.69,5.48,4.5,4.4,3.59,3.59,2.81,3.03,2.24,2.5,1.78,2.11,1.41,1.77,1.25,1.52,1.04,1.32,0.85,1.14,0.74,1.01,0.6,0.92,0.49,0.86,0.41,0.73,0.34,0.64,0.3,0.55,0.24,0.43,0.22,0.39,0.2,0.31,0.18,0.28,0.17,0.27,0.16,0.25,0.14,0.23,0.13,0.19,0.11,0.14,0.09,0.14,0.09,0.12,0.09,0.12,0.08,0.11,0.07,0.1,0.05
