,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,47.77,52.26,31.13,35.81,19.8,19.61,12.36,10.27,6.9,5.81,4.12,2.99,2.64,1.58,1.62,0.95,1.05,0.47,0.74,0.3,0.59,0.28,0.38,0.2,0.25,0.2,0.18,0.13,0.15,0.12,0.15,0.07,0.1,0.06,0.03,0.05,0.03,0.05,0.03,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,47.22,52.84,34.94,40.06,25.17,27.76,17.9,17.74,12.17,11.34,8.7,7.76,6.42,5.0,4.68,3.33,3.33,2.48,2.15,1.56,1.6,1.11,1.07,0.85,0.91,0.56,0.78,0.43,0.67,0.31,0.51,0.22,0.45,0.18,0.42,0.13,0.3,0.11,0.28,0.11,0.26,0.11,0.26,0.05,0.26,0.05,0.19,0.05,0.14,0.05,0.14,0.05,0.14,0.05,0.14,0.05,0.12,0.05,0.12,0.0,0.12,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,47.72,52.32,36.17,41.29,27.32,30.79,21.05,22.44,15.24,15.85,11.37,10.92,8.83,7.55,6.74,5.18,5.15,3.58,3.76,2.64,2.86,2.01,2.16,1.57,1.83,1.12,1.41,0.93,1.17,0.71,1.0,0.54,0.84,0.47,0.66,0.36,0.54,0.27,0.53,0.19,0.48,0.13,0.41,0.13,0.22,0.11,0.22,0.06,0.15,0.06,0.15,0.06,0.15,0.06,0.15,0.05,0.15,0.04,0.15,0.04,0.12,0.04,0.1,0.04,0.1,0.01,0.09,0.01,0.09,0.01,0.07,0.01,0.07,0.0,0.02,0.0,0.0,0.0,0.0,0.0
4m TTC,46.75,53.25,37.44,43.21,29.79,33.89,23.4,25.5,18.07,18.48,14.0,13.39,10.94,9.79,8.55,7.12,6.36,5.46,4.89,4.09,3.85,2.97,3.02,2.21,2.45,1.57,2.08,1.11,1.67,0.9,1.55,0.62,1.26,0.51,1.05,0.46,0.89,0.37,0.73,0.3,0.62,0.23,0.56,0.17,0.5,0.16,0.35,0.14,0.31,0.13,0.26,0.13,0.26,0.13,0.24,0.11,0.22,0.1,0.22,0.08,0.12,0.07,0.11,0.05,0.08,0.04,0.08,0.03,0.05,0.03,0.05,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.0,0.03
5m TTC,47.11,52.89,38.8,44.34,31.9,35.82,25.92,27.85,20.3,21.17,15.64,15.7,12.35,11.81,9.8,8.91,7.38,6.46,6.14,5.08,5.02,3.84,4.02,2.82,3.31,2.3,2.88,1.73,2.4,1.33,2.09,1.07,1.6,0.75,1.37,0.59,1.07,0.47,0.86,0.4,0.8,0.36,0.61,0.33,0.51,0.27,0.49,0.23,0.35,0.2,0.32,0.14,0.3,0.14,0.17,0.1,0.14,0.06,0.11,0.05,0.11,0.03,0.11,0.03,0.1,0.03,0.1,0.02,0.1,0.02,0.1,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.0
6m TTC,45.96,54.04,38.9,45.91,32.18,37.33,26.49,29.76,21.79,23.38,17.98,17.87,14.46,13.65,11.13,10.56,8.93,7.8,7.41,6.15,6.14,4.52,5.07,3.5,4.33,2.86,3.55,2.34,3.03,1.85,2.67,1.6,2.12,1.26,1.95,1.09,1.62,0.94,1.41,0.72,1.19,0.66,0.99,0.48,0.82,0.42,0.66,0.31,0.59,0.26,0.5,0.25,0.38,0.22,0.33,0.16,0.3,0.12,0.28,0.07,0.25,0.06,0.13,0.04,0.11,0.04,0.09,0.04,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.0
7m TTC,46.99,53.01,39.48,45.37,33.37,37.75,27.63,29.77,22.98,24.28,18.5,19.29,14.78,14.97,12.12,11.62,9.84,9.27,8.46,7.03,7.16,5.46,6.07,4.25,5.04,3.45,4.31,2.79,3.92,2.31,3.19,2.02,2.83,1.63,2.57,1.41,2.12,0.98,1.84,0.8,1.44,0.55,1.2,0.5,0.98,0.39,0.84,0.36,0.72,0.31,0.68,0.3,0.53,0.24,0.44,0.22,0.44,0.19,0.38,0.15,0.32,0.13,0.32,0.11,0.28,0.06,0.23,0.04,0.21,0.02,0.21,0.02,0.21,0.02,0.2,0.02,0.2,0.01,0.14,0.0
8m TTC,47.17,52.85,40.25,45.89,34.14,38.34,27.97,32.03,23.15,25.23,19.11,20.17,15.94,15.93,13.34,13.11,11.29,10.39,9.5,7.98,8.24,6.56,7.13,5.25,6.08,4.2,5.38,3.51,4.4,2.84,3.92,2.42,3.3,2.16,2.69,1.84,2.37,1.53,1.96,1.23,1.55,1.01,1.43,0.94,1.38,0.72,1.28,0.57,1.08,0.53,0.95,0.51,0.78,0.46,0.73,0.41,0.66,0.4,0.54,0.29,0.44,0.29,0.41,0.27,0.38,0.23,0.32,0.22,0.31,0.2,0.22,0.18,0.17,0.16,0.16,0.15,0.13,0.15,0.13,0.15
9m TTC,46.95,53.07,40.42,46.24,34.26,39.31,28.85,33.21,24.22,26.98,19.94,22.08,16.19,18.3,13.98,14.25,11.82,11.77,10.11,9.89,8.58,7.83,7.43,6.06,6.4,4.96,5.51,3.92,4.54,3.15,3.91,2.67,3.48,2.39,3.11,1.81,2.78,1.59,2.21,1.38,1.96,1.17,1.75,1.13,1.56,0.98,1.32,0.91,1.1,0.74,0.96,0.62,0.87,0.48,0.81,0.44,0.78,0.41,0.69,0.38,0.65,0.35,0.57,0.33,0.51,0.3,0.43,0.27,0.34,0.21,0.31,0.17,0.31,0.17,0.25,0.13,0.24,0.12,0.17,0.11
10m TTC,47.7,52.32,41.17,45.82,35.28,39.32,30.1,33.38,25.0,28.21,20.88,23.06,17.5,18.66,14.84,15.04,12.59,12.26,10.46,9.98,8.83,7.92,7.9,6.66,6.72,5.67,5.99,4.72,5.32,3.84,4.62,3.18,3.96,2.65,3.46,2.23,3.05,1.86,2.62,1.54,2.23,1.39,1.93,1.23,1.69,1.09,1.49,0.98,1.41,0.79,1.24,0.69,1.14,0.56,1.04,0.49,0.94,0.44,0.84,0.41,0.69,0.38,0.56,0.35,0.51,0.34,0.45,0.31,0.34,0.25,0.34,0.22,0.32,0.2,0.3,0.19,0.3,0.19,0.26,0.19
11m TTC,47.91,52.09,41.99,45.73,35.88,40.16,31.07,34.56,26.05,29.5,21.9,24.17,18.83,19.48,16.11,16.08,13.75,13.01,11.37,10.52,9.6,8.58,8.19,7.01,7.18,5.97,6.21,4.83,5.57,4.01,4.97,3.49,4.48,3.0,3.81,2.42,3.45,2.06,3.05,1.79,2.87,1.6,2.67,1.42,2.27,1.21,1.89,1.02,1.66,0.87,1.34,0.74,1.14,0.68,1.06,0.66,0.96,0.58,0.83,0.51,0.74,0.44,0.72,0.42,0.69,0.38,0.59,0.35,0.4,0.26,0.35,0.25,0.32,0.25,0.31,0.24,0.28,0.22,0.23,0.22
12m TTC,48.05,51.95,42.16,45.67,36.49,39.91,31.69,34.93,26.85,30.26,22.43,25.48,19.23,21.04,16.43,17.27,14.11,14.3,12.23,11.7,10.54,9.14,9.05,7.51,8.2,6.34,7.01,5.34,6.15,4.46,5.44,3.87,4.68,3.19,4.08,2.83,3.78,2.55,3.37,2.12,3.08,1.83,2.75,1.43,2.39,1.31,2.06,1.14,1.93,0.97,1.72,0.88,1.53,0.74,1.32,0.64,1.17,0.64,1.04,0.53,0.95,0.52,0.87,0.46,0.72,0.43,0.59,0.41,0.48,0.31,0.47,0.3,0.45,0.3,0.4,0.25,0.36,0.25,0.33,0.23
13m TTC,48.36,51.65,42.49,45.7,37.08,41.25,32.41,35.77,27.54,30.52,23.58,26.45,19.99,21.72,17.16,17.76,14.5,14.67,12.48,12.23,10.67,10.29,9.28,8.52,8.34,6.88,7.24,5.86,6.19,4.76,5.77,4.15,5.22,3.52,4.53,3.1,3.96,2.62,3.61,2.39,3.28,2.11,2.95,1.87,2.68,1.56,2.37,1.4,1.98,1.31,1.84,1.12,1.74,0.96,1.59,0.82,1.48,0.73,1.24,0.64,1.09,0.63,0.92,0.61,0.79,0.51,0.77,0.48,0.62,0.43,0.58,0.34,0.56,0.33,0.52,0.3,0.45,0.29,0.32,0.28
14m TTC,48.42,51.58,43.21,46.01,37.49,40.69,32.69,35.52,28.97,30.72,24.45,26.17,20.55,22.34,17.35,18.97,14.95,15.85,12.83,13.22,11.38,10.7,10.06,8.89,8.62,7.25,7.75,6.18,6.9,5.29,6.06,4.47,5.36,3.56,4.8,3.11,4.46,2.68,4.12,2.41,3.81,2.13,3.36,1.85,2.95,1.49,2.71,1.35,2.42,1.26,2.15,1.1,1.87,1.02,1.71,0.96,1.66,0.88,1.34,0.82,1.14,0.74,1.04,0.65,0.98,0.56,0.94,0.53,0.72,0.41,0.7,0.32,0.69,0.27,0.49,0.26,0.41,0.25,0.4,0.22
15m TTC,48.83,51.17,43.83,45.97,38.4,41.29,33.73,35.91,29.34,31.04,24.81,26.64,21.53,22.47,18.44,19.13,16.24,16.39,13.53,14.23,11.81,11.59,10.16,9.26,8.9,7.77,8.06,6.39,7.26,5.37,6.46,4.84,5.85,4.28,5.27,3.67,4.9,2.9,4.4,2.56,4.1,2.31,3.65,2.0,3.15,1.68,2.87,1.51,2.6,1.33,2.37,1.18,2.06,1.12,1.89,0.96,1.69,0.91,1.59,0.7,1.32,0.67,1.24,0.58,1.1,0.49,1.06,0.46,0.86,0.43,0.82,0.36,0.71,0.34,0.7,0.31,0.67,0.31,0.57,0.28
16m TTC,48.34,51.66,43.27,46.62,38.71,41.84,34.23,36.81,29.47,32.08,25.8,26.87,22.43,22.31,19.18,19.02,16.64,16.28,14.3,13.81,12.64,11.95,11.17,9.94,9.75,8.06,8.52,6.85,7.51,5.77,6.56,5.04,5.97,4.35,5.57,3.69,4.94,3.18,4.49,2.65,4.12,2.3,3.78,2.12,3.56,1.98,3.14,1.71,2.83,1.59,2.57,1.41,2.28,1.25,2.03,1.15,1.86,1.02,1.58,0.85,1.45,0.79,1.3,0.69,1.21,0.59,1.13,0.51,1.0,0.46,0.75,0.37,0.73,0.37,0.67,0.35,0.66,0.32,0.58,0.31
