,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,51.87,48.24,23.74,22.07,8.91,9.51,3.41,4.35,1.47,2.2,0.68,1.19,0.37,0.65,0.19,0.39,0.12,0.27,0.07,0.18,0.06,0.13,0.04,0.09,0.03,0.07,0.03,0.05,0.01,0.04,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,52.63,47.41,30.37,27.51,15.43,15.1,7.69,8.62,3.91,4.9,2.12,2.97,1.2,1.96,0.64,1.27,0.38,0.89,0.25,0.64,0.17,0.44,0.11,0.32,0.07,0.24,0.06,0.17,0.04,0.14,0.03,0.11,0.02,0.09,0.02,0.08,0.02,0.07,0.02,0.06,0.01,0.04,0.01,0.03,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
3m TTC,52.66,47.37,33.99,30.16,19.91,18.49,11.16,11.46,6.29,7.33,3.71,4.72,2.16,3.07,1.31,2.18,0.85,1.53,0.56,1.09,0.41,0.78,0.28,0.55,0.23,0.43,0.18,0.37,0.16,0.29,0.11,0.23,0.09,0.2,0.07,0.16,0.06,0.13,0.05,0.1,0.04,0.09,0.04,0.07,0.02,0.06,0.02,0.05,0.01,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4m TTC,52.86,47.15,36.04,32.15,22.84,21.07,13.91,13.68,8.51,9.09,5.3,6.34,3.28,4.33,2.12,3.03,1.39,2.24,0.96,1.7,0.68,1.26,0.52,0.94,0.39,0.79,0.31,0.64,0.25,0.55,0.19,0.43,0.15,0.32,0.12,0.25,0.07,0.22,0.06,0.19,0.06,0.14,0.05,0.11,0.05,0.09,0.04,0.07,0.04,0.07,0.03,0.06,0.03,0.05,0.03,0.05,0.03,0.05,0.02,0.04,0.02,0.04,0.02,0.04,0.01,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02
5m TTC,52.53,47.48,37.84,33.55,25.55,22.81,16.35,15.57,10.43,10.62,6.68,7.48,4.36,5.47,2.87,4.0,1.93,2.98,1.32,2.27,0.89,1.77,0.62,1.39,0.51,1.11,0.42,0.87,0.32,0.69,0.25,0.57,0.21,0.44,0.18,0.38,0.13,0.31,0.12,0.26,0.09,0.24,0.07,0.2,0.07,0.18,0.05,0.15,0.05,0.14,0.04,0.12,0.04,0.09,0.04,0.07,0.03,0.06,0.02,0.06,0.02,0.05,0.02,0.05,0.01,0.05,0.01,0.05,0.01,0.04,0.01,0.04,0.01,0.04,0.01,0.03,0.01,0.03,0.01,0.03
6m TTC,52.51,47.5,39.16,34.38,27.37,24.14,18.42,16.97,12.25,12.28,8.01,8.88,5.34,6.51,3.59,4.81,2.49,3.58,1.72,2.8,1.27,2.13,0.92,1.73,0.72,1.38,0.53,1.14,0.38,0.91,0.33,0.76,0.25,0.63,0.2,0.54,0.17,0.45,0.14,0.38,0.1,0.33,0.08,0.29,0.07,0.25,0.07,0.2,0.05,0.16,0.05,0.15,0.04,0.14,0.03,0.11,0.03,0.1,0.03,0.09,0.03,0.09,0.03,0.07,0.02,0.07,0.02,0.06,0.01,0.06,0.01,0.05,0.01,0.04,0.01,0.03,0.01,0.03,0.01,0.02
7m TTC,52.93,47.09,40.13,35.27,28.99,25.58,20.18,18.2,13.73,13.37,9.37,9.71,6.22,7.24,4.35,5.51,3.04,4.18,2.12,3.25,1.58,2.51,1.13,2.01,0.9,1.62,0.68,1.35,0.53,1.12,0.41,0.94,0.35,0.79,0.29,0.7,0.23,0.59,0.19,0.49,0.15,0.38,0.14,0.33,0.11,0.28,0.09,0.23,0.08,0.19,0.06,0.17,0.05,0.14,0.05,0.12,0.05,0.11,0.04,0.1,0.04,0.09,0.03,0.08,0.03,0.07,0.02,0.07,0.02,0.06,0.02,0.06,0.02,0.06,0.01,0.05,0.01,0.04,0.01,0.03
8m TTC,52.67,47.34,41.11,35.83,30.55,26.38,21.69,19.34,15.18,14.32,10.54,10.79,7.24,8.28,5.05,6.19,3.57,4.89,2.61,3.79,1.95,3.09,1.47,2.33,1.07,1.87,0.85,1.59,0.68,1.35,0.56,1.14,0.44,0.98,0.35,0.84,0.28,0.72,0.24,0.6,0.2,0.51,0.17,0.47,0.13,0.36,0.12,0.31,0.11,0.25,0.08,0.22,0.07,0.2,0.06,0.17,0.05,0.16,0.04,0.15,0.04,0.13,0.03,0.12,0.03,0.1,0.03,0.09,0.02,0.07,0.02,0.06,0.02,0.06,0.02,0.05,0.02,0.04,0.02,0.03
9m TTC,52.6,47.41,41.32,36.66,31.53,27.5,23.09,20.4,16.39,15.14,11.46,11.43,8.04,8.89,5.7,6.94,4.18,5.6,3.0,4.42,2.28,3.52,1.72,2.87,1.36,2.31,1.06,1.9,0.86,1.61,0.7,1.35,0.55,1.17,0.45,1.02,0.37,0.86,0.29,0.7,0.24,0.59,0.2,0.54,0.17,0.48,0.13,0.39,0.12,0.34,0.1,0.3,0.09,0.27,0.08,0.22,0.06,0.19,0.06,0.17,0.05,0.14,0.05,0.14,0.05,0.12,0.04,0.1,0.03,0.08,0.02,0.08,0.02,0.07,0.02,0.07,0.02,0.07,0.02,0.06
10m TTC,52.42,47.6,42.1,37.24,32.51,28.4,24.13,21.47,17.38,16.43,12.45,12.57,8.89,9.71,6.45,7.68,4.83,6.1,3.57,4.88,2.62,3.93,2.03,3.2,1.6,2.6,1.29,2.21,1.05,1.8,0.86,1.54,0.69,1.35,0.53,1.15,0.46,1.01,0.36,0.82,0.28,0.73,0.22,0.61,0.19,0.53,0.17,0.44,0.16,0.38,0.14,0.34,0.12,0.29,0.11,0.26,0.1,0.23,0.08,0.21,0.07,0.19,0.06,0.17,0.05,0.17,0.04,0.16,0.04,0.13,0.03,0.12,0.03,0.1,0.03,0.09,0.02,0.09,0.02,0.08
