,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,49.72,50.57,14.3,14.77,4.37,4.15,1.52,1.37,0.68,0.55,0.34,0.23,0.18,0.12,0.11,0.07,0.07,0.03,0.04,0.02,0.03,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,49.02,51.07,20.82,22.01,8.61,8.65,3.86,3.65,1.96,1.77,1.04,0.87,0.61,0.5,0.39,0.31,0.25,0.18,0.18,0.11,0.13,0.07,0.09,0.04,0.07,0.02,0.06,0.02,0.06,0.01,0.04,0.01,0.04,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,48.62,51.44,24.5,26.22,11.78,12.06,5.94,5.77,3.23,3.05,1.85,1.67,1.1,0.99,0.72,0.61,0.48,0.38,0.35,0.25,0.25,0.18,0.19,0.13,0.15,0.1,0.12,0.07,0.09,0.05,0.08,0.04,0.07,0.03,0.06,0.02,0.05,0.02,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4m TTC,48.73,51.31,27.01,29.07,14.25,14.94,7.77,7.79,4.47,4.27,2.68,2.5,1.67,1.51,1.13,0.98,0.75,0.64,0.56,0.43,0.41,0.3,0.32,0.21,0.25,0.16,0.19,0.12,0.16,0.09,0.12,0.07,0.1,0.05,0.08,0.04,0.07,0.03,0.06,0.03,0.05,0.02,0.04,0.02,0.04,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5m TTC,48.73,51.29,28.81,30.99,16.34,17.24,9.35,9.51,5.56,5.5,3.47,3.27,2.26,2.04,1.53,1.34,1.08,0.89,0.79,0.61,0.6,0.42,0.44,0.31,0.34,0.23,0.27,0.18,0.23,0.15,0.18,0.11,0.15,0.09,0.13,0.07,0.1,0.06,0.08,0.05,0.06,0.04,0.06,0.04,0.05,0.03,0.05,0.03,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0
6m TTC,48.53,51.49,30.03,32.71,17.9,19.17,10.74,11.06,6.63,6.59,4.29,4.11,2.81,2.58,1.98,1.7,1.42,1.17,1.05,0.82,0.77,0.61,0.58,0.45,0.44,0.33,0.34,0.26,0.27,0.22,0.23,0.16,0.19,0.13,0.16,0.11,0.12,0.1,0.1,0.08,0.09,0.06,0.08,0.05,0.07,0.04,0.06,0.04,0.05,0.03,0.04,0.03,0.04,0.02,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0
7m TTC,48.32,51.7,31.33,34.04,19.18,20.79,11.89,12.47,7.53,7.66,4.99,4.91,3.43,3.17,2.42,2.13,1.77,1.47,1.27,1.04,0.93,0.79,0.71,0.58,0.54,0.45,0.44,0.36,0.36,0.28,0.3,0.22,0.25,0.18,0.2,0.15,0.17,0.12,0.14,0.1,0.12,0.08,0.1,0.06,0.08,0.05,0.07,0.04,0.06,0.04,0.05,0.03,0.05,0.03,0.04,0.02,0.04,0.02,0.04,0.02,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
8m TTC,48.37,51.64,32.14,35.26,20.44,22.26,13.07,13.76,8.49,8.68,5.66,5.61,3.95,3.69,2.83,2.56,2.03,1.73,1.53,1.23,1.15,0.92,0.89,0.71,0.7,0.55,0.57,0.43,0.45,0.33,0.36,0.28,0.29,0.24,0.25,0.19,0.21,0.16,0.17,0.13,0.15,0.11,0.13,0.09,0.11,0.07,0.09,0.06,0.08,0.06,0.07,0.05,0.07,0.04,0.06,0.03,0.06,0.03,0.05,0.02,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01
9m TTC,48.27,51.74,33.06,36.19,21.62,23.47,14.01,14.9,9.21,9.44,6.21,6.23,4.37,4.22,3.15,2.89,2.32,2.03,1.79,1.46,1.38,1.09,1.05,0.86,0.82,0.67,0.67,0.54,0.54,0.42,0.44,0.35,0.35,0.3,0.29,0.25,0.24,0.19,0.21,0.16,0.17,0.13,0.14,0.11,0.12,0.09,0.11,0.08,0.1,0.07,0.09,0.06,0.08,0.06,0.07,0.05,0.06,0.04,0.05,0.03,0.05,0.03,0.04,0.03,0.04,0.03,0.03,0.02,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01
10m TTC,48.44,51.57,33.84,36.78,22.62,24.57,14.91,15.91,10.03,10.29,6.92,6.81,4.89,4.62,3.5,3.17,2.59,2.28,1.94,1.72,1.53,1.31,1.2,1.0,0.96,0.78,0.76,0.63,0.61,0.53,0.49,0.42,0.41,0.33,0.33,0.28,0.29,0.24,0.26,0.2,0.22,0.17,0.19,0.14,0.16,0.12,0.14,0.1,0.12,0.09,0.1,0.08,0.09,0.07,0.08,0.06,0.08,0.05,0.07,0.04,0.06,0.04,0.05,0.03,0.05,0.03,0.04,0.03,0.03,0.02,0.03,0.02,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01
