,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,47.3,52.73,27.57,32.39,15.4,16.3,8.31,7.75,4.22,3.8,2.43,1.94,1.45,1.03,0.92,0.52,0.58,0.27,0.35,0.24,0.22,0.19,0.19,0.17,0.16,0.11,0.11,0.08,0.07,0.06,0.06,0.02,0.05,0.02,0.04,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,46.83,53.21,32.18,38.44,21.19,24.44,13.69,15.16,9.12,8.94,5.83,5.37,4.28,3.37,2.66,2.44,1.9,1.55,1.32,1.09,1.14,0.7,0.85,0.51,0.74,0.32,0.52,0.19,0.35,0.17,0.3,0.15,0.25,0.1,0.19,0.06,0.17,0.06,0.17,0.03,0.14,0.02,0.11,0.02,0.1,0.02,0.09,0.0,0.09,0.0,0.09,0.0,0.06,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.01,0.0
3m TTC,46.7,53.3,34.28,40.53,24.5,28.61,17.28,19.25,12.23,12.47,8.52,8.22,6.21,5.66,4.52,3.73,3.45,2.51,2.7,1.61,1.98,1.19,1.63,0.76,1.3,0.56,0.98,0.4,0.73,0.33,0.6,0.26,0.52,0.22,0.44,0.18,0.36,0.13,0.29,0.06,0.2,0.05,0.14,0.05,0.14,0.05,0.11,0.03,0.09,0.02,0.09,0.02,0.09,0.02,0.08,0.02,0.07,0.01,0.07,0.01,0.07,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0
4m TTC,46.2,53.8,35.91,42.78,27.17,32.22,19.96,23.78,14.72,16.59,10.98,11.28,8.38,8.0,6.48,5.62,4.99,4.05,3.89,2.89,3.02,2.03,2.2,1.36,1.7,0.89,1.41,0.68,1.14,0.51,0.96,0.4,0.76,0.31,0.65,0.25,0.5,0.22,0.37,0.18,0.3,0.14,0.22,0.12,0.15,0.12,0.13,0.08,0.12,0.06,0.11,0.06,0.1,0.05,0.09,0.05,0.09,0.04,0.09,0.03,0.06,0.01,0.06,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01
5m TTC,46.94,53.09,37.49,43.29,29.18,33.9,22.39,25.49,17.42,18.68,13.35,13.69,9.97,9.77,7.7,6.77,5.97,5.22,4.77,3.88,3.97,3.06,3.01,2.11,2.45,1.65,1.88,1.19,1.49,0.94,1.16,0.74,0.96,0.57,0.77,0.44,0.57,0.37,0.51,0.3,0.46,0.25,0.42,0.24,0.37,0.14,0.3,0.09,0.25,0.07,0.22,0.07,0.13,0.07,0.13,0.05,0.09,0.05,0.08,0.05,0.08,0.05,0.05,0.05,0.04,0.02,0.04,0.02,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
6m TTC,46.45,53.56,37.22,43.96,29.81,35.31,23.67,27.87,18.85,20.87,14.73,15.27,11.68,11.72,9.01,8.44,7.16,6.47,5.65,4.83,4.56,3.79,3.64,2.85,2.91,2.11,2.39,1.61,1.9,1.1,1.52,0.94,1.21,0.72,1.04,0.61,0.94,0.48,0.79,0.38,0.66,0.32,0.52,0.29,0.37,0.24,0.33,0.19,0.3,0.16,0.27,0.11,0.22,0.1,0.19,0.09,0.17,0.07,0.17,0.05,0.14,0.05,0.13,0.05,0.11,0.04,0.1,0.04,0.09,0.03,0.07,0.03,0.07,0.03,0.05,0.02,0.05,0.02,0.05,0.02
7m TTC,46.64,53.38,37.9,44.72,30.44,35.74,24.48,28.69,19.89,22.61,15.59,17.68,12.47,13.37,10.07,9.91,8.08,7.42,6.53,5.76,5.33,4.37,4.47,3.14,3.72,2.47,2.92,1.88,2.35,1.48,1.9,1.17,1.64,1.0,1.34,0.73,1.08,0.56,0.84,0.45,0.7,0.38,0.57,0.33,0.53,0.3,0.45,0.27,0.38,0.25,0.37,0.21,0.34,0.2,0.33,0.2,0.23,0.19,0.23,0.18,0.19,0.18,0.13,0.17,0.13,0.16,0.11,0.14,0.09,0.14,0.09,0.14,0.09,0.14,0.07,0.14,0.07,0.14,0.07,0.14
8m TTC,45.97,54.03,38.18,45.8,31.21,37.6,25.45,30.04,20.22,23.76,16.72,18.36,13.58,14.76,11.3,11.11,9.13,8.57,7.37,6.65,6.02,5.31,5.08,4.29,4.23,3.33,3.33,2.5,2.65,1.93,2.28,1.49,1.87,1.27,1.49,0.9,1.25,0.72,1.11,0.61,0.89,0.56,0.76,0.44,0.63,0.38,0.53,0.33,0.44,0.25,0.41,0.23,0.32,0.21,0.26,0.19,0.22,0.18,0.2,0.18,0.16,0.18,0.13,0.16,0.11,0.15,0.11,0.15,0.09,0.14,0.09,0.14,0.08,0.11,0.06,0.1,0.06,0.1,0.06,0.1
9m TTC,46.04,53.99,38.72,46.02,32.29,38.23,26.77,31.22,21.72,24.84,17.63,19.97,14.26,15.93,11.78,12.55,9.87,9.75,8.22,7.51,6.35,6.14,5.14,4.84,4.24,3.68,3.65,3.09,3.05,2.55,2.53,2.03,2.11,1.52,1.76,1.19,1.49,0.94,1.2,0.72,1.02,0.62,0.85,0.5,0.67,0.45,0.54,0.38,0.52,0.31,0.49,0.25,0.42,0.24,0.35,0.23,0.34,0.21,0.3,0.18,0.26,0.17,0.19,0.17,0.18,0.14,0.16,0.14,0.12,0.13,0.11,0.12,0.11,0.12,0.09,0.1,0.09,0.1,0.06,0.09
10m TTC,46.5,53.54,39.39,45.72,32.74,38.3,27.26,31.48,22.49,25.63,18.29,20.41,14.99,16.93,12.51,13.51,10.31,11.06,8.57,8.49,7.03,6.69,5.89,5.33,5.1,4.22,4.16,3.5,3.25,2.8,2.79,2.31,2.39,1.82,2.05,1.63,1.6,1.25,1.31,1.12,1.21,0.96,1.02,0.79,0.9,0.68,0.66,0.55,0.56,0.46,0.49,0.39,0.43,0.38,0.37,0.34,0.3,0.29,0.29,0.27,0.27,0.23,0.23,0.22,0.22,0.19,0.2,0.18,0.17,0.14,0.11,0.14,0.11,0.11,0.11,0.1,0.11,0.09,0.1,0.09
11m TTC,46.64,53.36,39.63,45.92,32.89,39.07,27.59,32.12,23.16,26.76,19.06,22.21,15.9,17.85,13.52,14.51,11.08,11.62,9.29,9.33,8.07,7.59,6.64,6.06,5.51,4.64,4.72,3.87,4.03,3.11,3.45,2.65,2.89,2.22,2.41,1.83,2.02,1.55,1.72,1.18,1.48,1.09,1.23,0.92,1.05,0.8,0.89,0.72,0.72,0.6,0.57,0.49,0.44,0.44,0.42,0.44,0.33,0.37,0.27,0.3,0.24,0.28,0.2,0.25,0.18,0.21,0.17,0.2,0.16,0.18,0.14,0.17,0.14,0.17,0.13,0.17,0.13,0.13,0.13,0.11
12m TTC,46.7,53.3,40.35,46.73,33.76,40.2,28.48,33.76,23.58,27.91,19.91,23.12,16.9,18.7,14.46,15.29,12.03,12.41,9.9,9.81,8.52,8.04,7.2,6.62,6.09,5.22,4.94,4.12,4.33,3.49,3.68,3.04,3.0,2.66,2.65,2.31,2.23,1.94,1.79,1.51,1.53,1.33,1.34,1.21,1.21,1.03,1.02,0.93,0.82,0.78,0.72,0.7,0.56,0.61,0.53,0.54,0.46,0.46,0.4,0.37,0.31,0.3,0.26,0.27,0.25,0.26,0.24,0.25,0.21,0.24,0.18,0.22,0.18,0.17,0.15,0.16,0.14,0.15,0.12,0.14
13m TTC,46.75,53.25,40.07,46.89,34.14,40.34,28.88,34.24,24.2,28.76,20.68,23.98,17.18,19.52,14.63,15.76,12.7,12.76,10.82,10.58,8.97,8.81,7.48,7.12,6.37,5.92,5.46,4.92,4.75,4.04,4.08,3.36,3.36,2.78,2.88,2.41,2.58,2.03,2.2,1.83,1.9,1.61,1.58,1.32,1.4,1.1,1.21,0.98,1.05,0.86,0.9,0.79,0.8,0.7,0.66,0.62,0.56,0.49,0.41,0.43,0.33,0.37,0.29,0.35,0.26,0.33,0.22,0.27,0.18,0.21,0.17,0.19,0.17,0.17,0.15,0.14,0.15,0.13,0.15,0.13
14m TTC,46.48,53.54,40.03,47.01,34.46,40.35,29.5,34.93,25.09,29.24,20.95,24.06,18.04,20.01,15.61,16.39,12.9,13.7,11.14,11.38,9.56,9.31,8.01,7.67,6.77,6.17,5.76,5.22,4.95,4.47,4.46,3.69,3.96,3.23,3.34,2.76,3.0,2.35,2.31,1.92,1.98,1.67,1.64,1.51,1.39,1.33,1.24,1.2,1.07,1.0,0.9,0.75,0.84,0.65,0.77,0.56,0.66,0.53,0.59,0.45,0.5,0.41,0.49,0.36,0.46,0.33,0.42,0.3,0.36,0.25,0.33,0.24,0.26,0.24,0.17,0.19,0.15,0.19,0.15,0.18
15m TTC,46.18,53.82,40.2,47.42,34.69,41.1,30.1,35.3,26.07,30.07,22.07,24.78,18.62,20.96,16.1,17.28,13.88,14.29,11.61,11.86,10.08,9.74,8.51,8.07,7.31,6.65,6.34,5.46,5.33,4.66,4.67,3.95,4.2,3.47,3.68,2.97,3.11,2.64,2.67,2.3,2.3,2.04,1.91,1.76,1.7,1.49,1.46,1.38,1.35,1.18,1.13,0.96,1.01,0.8,0.85,0.76,0.74,0.63,0.64,0.54,0.56,0.48,0.45,0.41,0.38,0.37,0.35,0.32,0.26,0.26,0.23,0.25,0.21,0.22,0.17,0.21,0.15,0.21,0.15,0.21
16m TTC,45.92,54.08,40.47,47.47,35.25,41.53,30.43,36.06,26.16,30.78,22.29,25.84,19.1,22.01,16.24,18.23,14.36,15.0,12.32,12.29,10.28,10.25,8.89,8.48,7.59,7.12,6.37,5.93,5.59,5.11,4.96,4.36,4.44,3.74,3.97,3.07,3.49,2.59,2.99,2.3,2.59,2.07,2.27,1.87,2.02,1.61,1.77,1.39,1.56,1.25,1.41,1.01,1.19,0.86,1.07,0.74,0.85,0.66,0.74,0.58,0.6,0.49,0.55,0.46,0.44,0.41,0.42,0.4,0.37,0.34,0.31,0.33,0.3,0.29,0.23,0.28,0.2,0.26,0.17,0.18
17m TTC,45.96,54.05,40.33,48.2,35.36,42.15,30.61,36.76,26.34,31.35,22.82,26.85,19.69,22.43,16.45,18.82,14.54,15.64,12.36,13.31,10.65,11.04,9.27,9.14,8.1,7.52,6.85,6.33,5.9,5.21,5.2,4.59,4.43,3.91,4.07,3.32,3.48,2.96,3.0,2.44,2.66,2.1,2.4,1.84,2.11,1.59,1.75,1.33,1.6,1.16,1.45,1.05,1.27,0.9,1.05,0.86,0.93,0.77,0.88,0.66,0.74,0.62,0.68,0.54,0.56,0.5,0.53,0.44,0.4,0.34,0.33,0.3,0.3,0.27,0.26,0.26,0.26,0.24,0.24,0.23
18m TTC,46.34,53.66,40.74,48.09,34.96,42.82,30.71,37.32,27.24,31.68,22.9,27.3,19.89,22.88,17.16,19.31,14.75,16.48,12.76,13.67,11.13,11.12,9.64,9.27,8.37,7.84,7.26,6.54,6.28,5.4,5.5,4.67,4.68,4.2,4.18,3.48,3.54,3.15,3.11,2.78,2.81,2.41,2.49,2.12,2.2,1.79,2.0,1.6,1.84,1.33,1.59,1.19,1.49,1.05,1.31,0.94,1.13,0.86,0.92,0.79,0.81,0.66,0.75,0.61,0.65,0.57,0.62,0.53,0.5,0.43,0.44,0.34,0.36,0.34,0.34,0.3,0.29,0.3,0.27,0.26
19m TTC,46.43,53.58,40.74,47.22,36.09,42.21,31.42,36.85,27.06,32.03,23.74,27.64,20.49,23.44,17.93,20.07,15.34,16.88,13.39,13.89,11.34,11.6,9.85,9.77,8.5,8.26,7.45,6.92,6.58,5.82,5.61,4.87,4.96,4.23,4.37,3.71,3.88,3.25,3.36,2.97,3.06,2.57,2.61,2.25,2.36,1.98,2.15,1.66,1.84,1.44,1.69,1.3,1.48,1.15,1.28,1.03,1.12,0.93,0.99,0.84,0.82,0.81,0.76,0.73,0.69,0.64,0.63,0.59,0.52,0.46,0.45,0.42,0.41,0.4,0.37,0.32,0.33,0.31,0.33,0.29
20m TTC,46.89,53.12,41.62,47.7,36.28,42.56,31.61,37.28,27.51,32.48,24.03,27.89,21.1,23.58,18.24,20.25,15.69,17.3,13.69,14.53,11.83,11.85,10.38,10.05,8.93,8.58,7.84,7.11,6.88,6.26,6.11,5.33,5.23,4.68,4.54,4.0,3.93,3.61,3.49,2.94,3.05,2.67,2.67,2.42,2.37,1.84,2.09,1.65,2.0,1.48,1.8,1.38,1.66,1.12,1.37,1.05,1.2,0.94,1.04,0.9,0.93,0.81,0.83,0.76,0.66,0.69,0.61,0.65,0.5,0.45,0.46,0.41,0.46,0.37,0.4,0.33,0.38,0.33,0.31,0.33
21m TTC,46.49,53.51,41.73,47.88,36.82,43.23,32.28,37.75,27.81,32.65,24.43,28.16,21.46,23.92,18.51,20.51,16.42,17.76,14.25,14.8,12.48,12.76,10.85,10.92,9.34,9.32,8.01,7.81,7.14,6.53,6.2,5.49,5.51,4.86,4.78,4.27,4.23,3.69,3.8,3.3,3.23,2.82,2.8,2.43,2.48,2.07,2.24,1.83,2.04,1.67,1.8,1.49,1.59,1.29,1.53,1.23,1.41,1.1,1.19,0.93,1.03,0.84,0.96,0.77,0.8,0.73,0.78,0.62,0.59,0.49,0.5,0.46,0.48,0.45,0.41,0.41,0.39,0.39,0.36,0.38
22m TTC,46.68,53.32,41.74,48.25,36.5,43.07,32.25,37.66,28.69,33.11,24.85,28.67,21.58,24.56,18.87,21.19,16.9,18.09,14.73,15.43,13.05,13.24,11.52,11.05,9.95,9.57,8.47,8.11,7.53,6.95,6.56,5.96,5.7,5.2,5.07,4.64,4.49,3.95,3.97,3.5,3.52,2.97,2.94,2.69,2.57,2.35,2.17,1.98,1.99,1.75,1.8,1.5,1.69,1.37,1.57,1.24,1.31,1.14,1.17,1.02,1.09,0.9,1.01,0.8,0.85,0.7,0.76,0.66,0.58,0.57,0.51,0.55,0.43,0.49,0.4,0.45,0.4,0.42,0.37,0.42
