,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,48.36,51.71,27.33,29.04,13.91,12.76,6.92,5.5,3.87,2.62,2.21,1.19,1.28,0.64,0.91,0.36,0.65,0.21,0.42,0.13,0.3,0.1,0.24,0.07,0.13,0.04,0.11,0.04,0.09,0.04,0.07,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,48.27,51.76,32.22,34.6,20.29,20.65,12.52,11.23,7.53,6.12,4.93,3.51,3.2,2.08,2.25,1.3,1.56,0.75,1.07,0.49,0.77,0.39,0.6,0.28,0.46,0.21,0.32,0.12,0.26,0.1,0.21,0.08,0.16,0.05,0.1,0.02,0.06,0.01,0.04,0.01,0.03,0.01,0.02,0.01,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,47.88,52.14,34.16,37.33,23.21,24.77,16.0,15.41,10.76,9.38,7.24,5.67,5.09,3.47,3.7,2.14,2.67,1.5,1.95,1.01,1.4,0.66,0.97,0.46,0.77,0.38,0.62,0.32,0.41,0.23,0.36,0.2,0.33,0.19,0.29,0.1,0.24,0.06,0.18,0.05,0.13,0.05,0.1,0.03,0.09,0.03,0.09,0.03,0.07,0.02,0.04,0.02,0.04,0.01,0.04,0.01,0.04,0.01,0.02,0.01,0.02,0.01,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4m TTC,47.41,52.63,35.3,39.82,25.64,27.79,18.34,18.68,12.82,12.21,9.23,7.84,6.78,5.01,5.09,3.54,3.6,2.44,2.91,1.6,2.28,1.14,1.78,0.83,1.3,0.57,1.04,0.42,0.85,0.3,0.64,0.22,0.48,0.16,0.38,0.11,0.3,0.08,0.24,0.06,0.23,0.05,0.2,0.05,0.18,0.04,0.16,0.04,0.14,0.03,0.12,0.03,0.09,0.03,0.06,0.02,0.06,0.02,0.06,0.02,0.06,0.01,0.05,0.01,0.05,0.01,0.04,0.01,0.03,0.0,0.03,0.0,0.03,0.0,0.01,0.0,0.01,0.0,0.01,0.0
5m TTC,47.56,52.45,36.38,40.86,27.88,30.23,20.64,21.49,15.28,14.59,11.3,10.06,8.41,6.86,6.32,4.81,4.87,3.36,3.79,2.52,3.0,1.75,2.37,1.19,1.91,1.0,1.52,0.75,1.25,0.57,0.96,0.41,0.78,0.33,0.65,0.24,0.56,0.2,0.45,0.15,0.39,0.12,0.31,0.09,0.24,0.07,0.22,0.07,0.19,0.05,0.16,0.03,0.16,0.03,0.13,0.02,0.11,0.02,0.1,0.02,0.08,0.02,0.08,0.02,0.06,0.01,0.05,0.01,0.04,0.01,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01
6m TTC,47.52,52.5,37.89,41.29,29.28,31.59,22.34,23.1,16.66,16.8,12.53,11.89,9.45,8.42,7.37,6.24,5.79,4.51,4.74,3.22,3.87,2.28,3.12,1.73,2.58,1.35,2.11,0.95,1.7,0.77,1.32,0.62,1.05,0.48,0.89,0.35,0.77,0.27,0.66,0.23,0.52,0.19,0.4,0.16,0.3,0.12,0.26,0.11,0.23,0.1,0.22,0.09,0.19,0.08,0.16,0.07,0.16,0.07,0.12,0.06,0.1,0.03,0.09,0.03,0.09,0.03,0.08,0.03,0.07,0.02,0.06,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.04,0.02
7m TTC,47.78,52.22,38.04,42.24,29.81,33.05,23.56,25.03,18.22,18.68,14.0,13.7,10.96,9.93,8.53,7.31,6.63,5.31,5.14,4.07,4.27,3.01,3.64,2.09,2.98,1.69,2.49,1.24,2.05,0.92,1.82,0.78,1.52,0.64,1.19,0.5,0.98,0.39,0.81,0.34,0.66,0.34,0.56,0.29,0.46,0.24,0.39,0.21,0.29,0.2,0.26,0.15,0.22,0.11,0.2,0.11,0.18,0.1,0.17,0.1,0.14,0.07,0.12,0.06,0.11,0.06,0.09,0.05,0.07,0.05,0.07,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03
8m TTC,47.55,52.46,38.47,43.08,30.8,34.31,24.65,26.31,19.52,20.14,15.21,15.07,11.88,11.04,9.51,8.48,7.58,6.54,6.07,4.74,4.8,3.65,3.96,2.84,3.24,2.1,2.58,1.59,2.23,1.25,1.94,1.01,1.7,0.81,1.39,0.68,1.22,0.56,1.08,0.45,0.92,0.39,0.78,0.34,0.65,0.29,0.52,0.25,0.45,0.2,0.33,0.17,0.28,0.17,0.24,0.15,0.19,0.13,0.17,0.12,0.15,0.12,0.13,0.1,0.12,0.1,0.12,0.08,0.11,0.06,0.1,0.06,0.1,0.05,0.1,0.05,0.1,0.04,0.08,0.04
9m TTC,47.75,52.25,39.41,43.34,31.81,35.07,25.45,27.46,20.17,21.1,16.32,15.99,12.9,11.97,10.5,9.12,8.53,7.03,7.0,5.42,5.73,4.14,4.69,3.18,3.76,2.53,3.15,1.97,2.63,1.57,2.22,1.3,1.9,1.1,1.63,0.82,1.42,0.73,1.14,0.57,1.02,0.45,0.89,0.35,0.79,0.3,0.69,0.25,0.57,0.21,0.43,0.19,0.37,0.18,0.34,0.17,0.28,0.15,0.25,0.15,0.23,0.12,0.23,0.11,0.17,0.11,0.16,0.1,0.13,0.07,0.11,0.06,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.04
10m TTC,47.99,52.03,40.02,43.77,32.32,35.8,26.13,28.41,21.49,21.83,17.53,17.0,14.22,12.74,11.38,9.88,9.22,7.72,7.58,6.17,6.3,4.81,5.23,3.71,4.32,2.93,3.72,2.26,3.13,1.88,2.55,1.48,2.11,1.26,1.86,1.06,1.58,0.9,1.4,0.75,1.24,0.61,1.1,0.52,0.93,0.43,0.75,0.39,0.66,0.32,0.57,0.29,0.51,0.27,0.4,0.21,0.34,0.19,0.25,0.18,0.22,0.17,0.21,0.15,0.2,0.13,0.2,0.13,0.16,0.13,0.14,0.12,0.12,0.12,0.11,0.11,0.11,0.09,0.1,0.06
