,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,48.42,51.65,21.68,22.55,8.98,8.21,3.94,3.13,1.85,1.31,0.95,0.63,0.55,0.3,0.36,0.17,0.21,0.1,0.15,0.07,0.11,0.04,0.08,0.03,0.05,0.03,0.04,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,47.73,52.31,27.42,29.65,14.39,14.8,7.87,7.33,4.45,3.78,2.63,2.0,1.66,1.04,1.1,0.59,0.75,0.38,0.5,0.26,0.37,0.17,0.27,0.13,0.18,0.11,0.14,0.09,0.11,0.07,0.08,0.06,0.08,0.06,0.06,0.04,0.06,0.03,0.04,0.02,0.04,0.01,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.0,0.03,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,48.13,51.9,30.25,33.05,18.29,19.05,10.92,10.78,6.73,6.0,4.26,3.52,2.85,2.12,1.92,1.3,1.37,0.83,0.99,0.58,0.69,0.38,0.48,0.26,0.36,0.17,0.29,0.13,0.23,0.1,0.17,0.09,0.14,0.07,0.12,0.06,0.09,0.05,0.08,0.05,0.06,0.05,0.06,0.04,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4m TTC,48.79,51.23,32.51,34.87,20.61,21.85,13.22,13.34,8.68,7.99,5.89,4.88,4.13,3.12,2.76,2.05,1.94,1.38,1.45,0.97,1.05,0.7,0.77,0.49,0.61,0.35,0.48,0.3,0.35,0.23,0.29,0.19,0.23,0.14,0.17,0.11,0.13,0.1,0.1,0.07,0.08,0.06,0.07,0.05,0.06,0.05,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0
5m TTC,48.65,51.36,34.31,36.36,22.82,24.1,15.04,15.45,10.16,9.76,7.04,6.17,5.08,4.0,3.69,2.69,2.74,1.91,2.02,1.36,1.55,1.03,1.19,0.74,0.89,0.57,0.72,0.42,0.58,0.33,0.5,0.24,0.34,0.2,0.27,0.18,0.22,0.15,0.19,0.12,0.15,0.1,0.12,0.08,0.1,0.08,0.1,0.06,0.08,0.06,0.07,0.05,0.07,0.04,0.06,0.03,0.05,0.02,0.05,0.02,0.05,0.02,0.04,0.02,0.04,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01
6m TTC,48.39,51.63,35.09,37.98,24.23,26.56,16.53,17.51,11.55,11.43,8.04,7.67,5.85,5.1,4.26,3.41,3.16,2.4,2.38,1.69,1.85,1.25,1.44,0.89,1.09,0.66,0.89,0.55,0.75,0.44,0.61,0.34,0.5,0.29,0.38,0.25,0.32,0.21,0.26,0.16,0.21,0.13,0.19,0.11,0.17,0.1,0.15,0.09,0.12,0.08,0.11,0.06,0.09,0.06,0.08,0.05,0.06,0.05,0.05,0.04,0.05,0.03,0.04,0.03,0.04,0.02,0.04,0.02,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01
7m TTC,48.28,51.74,35.87,38.98,25.7,27.98,18.04,19.11,12.89,13.18,9.39,8.84,6.81,6.06,5.12,4.14,3.82,2.92,2.88,2.08,2.23,1.54,1.77,1.17,1.41,0.88,1.12,0.68,0.9,0.51,0.74,0.41,0.59,0.34,0.5,0.29,0.4,0.24,0.35,0.22,0.3,0.18,0.25,0.16,0.2,0.13,0.17,0.1,0.14,0.09,0.13,0.07,0.11,0.07,0.1,0.06,0.1,0.05,0.08,0.04,0.07,0.04,0.06,0.03,0.05,0.03,0.05,0.03,0.05,0.02,0.05,0.02,0.04,0.01,0.04,0.01,0.04,0.01,0.03,0.01
8m TTC,48.03,51.99,36.63,39.87,26.82,29.37,19.46,20.84,14.23,14.39,10.4,9.99,7.58,6.99,5.81,4.88,4.39,3.55,3.4,2.51,2.62,1.85,2.09,1.38,1.7,1.04,1.36,0.88,1.1,0.68,0.89,0.54,0.71,0.43,0.59,0.35,0.5,0.3,0.41,0.24,0.32,0.2,0.28,0.17,0.23,0.15,0.21,0.13,0.18,0.11,0.16,0.09,0.14,0.08,0.11,0.07,0.11,0.06,0.1,0.05,0.09,0.04,0.08,0.03,0.06,0.03,0.06,0.03,0.05,0.03,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01
9m TTC,47.81,52.2,37.17,40.67,28.01,30.3,20.52,21.85,15.22,15.58,11.18,10.87,8.36,7.7,6.36,5.58,4.9,4.15,3.78,3.07,2.99,2.28,2.39,1.77,1.95,1.36,1.56,1.03,1.26,0.81,1.04,0.69,0.88,0.54,0.74,0.42,0.59,0.35,0.49,0.3,0.43,0.25,0.36,0.21,0.33,0.19,0.27,0.15,0.23,0.13,0.2,0.11,0.19,0.11,0.15,0.1,0.13,0.08,0.12,0.08,0.1,0.07,0.09,0.06,0.08,0.05,0.07,0.05,0.06,0.03,0.06,0.02,0.05,0.02,0.05,0.02,0.04,0.02,0.03,0.02
10m TTC,48.04,51.97,37.69,41.09,28.75,30.94,21.31,22.88,15.75,16.51,11.78,11.82,9.06,8.54,6.99,6.19,5.51,4.6,4.39,3.5,3.44,2.71,2.72,2.03,2.21,1.59,1.79,1.27,1.52,1.01,1.2,0.79,0.97,0.64,0.78,0.52,0.67,0.44,0.56,0.4,0.47,0.34,0.42,0.3,0.39,0.26,0.34,0.23,0.29,0.18,0.24,0.16,0.21,0.15,0.17,0.13,0.15,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.08,0.08,0.06,0.08,0.05,0.07,0.04,0.06,0.04,0.05,0.04,0.04,0.02
