,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,49.23,50.98,16.72,17.47,5.65,5.2,2.24,1.85,1.0,0.69,0.49,0.35,0.26,0.16,0.14,0.08,0.1,0.05,0.07,0.03,0.05,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,48.67,51.4,23.03,24.94,10.45,10.65,5.06,4.72,2.68,2.27,1.52,1.2,0.91,0.67,0.57,0.38,0.38,0.22,0.25,0.12,0.18,0.08,0.12,0.06,0.08,0.04,0.06,0.03,0.05,0.02,0.04,0.02,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m TTC,48.61,51.43,26.9,28.87,13.99,14.55,7.49,7.38,4.26,3.89,2.58,2.16,1.67,1.32,1.08,0.8,0.74,0.49,0.52,0.32,0.37,0.22,0.26,0.15,0.19,0.11,0.15,0.09,0.12,0.06,0.1,0.05,0.07,0.04,0.06,0.03,0.05,0.03,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4m TTC,48.71,51.31,29.09,31.33,16.45,17.48,9.45,9.46,5.76,5.34,3.62,3.19,2.36,1.93,1.61,1.18,1.12,0.8,0.79,0.57,0.61,0.39,0.47,0.29,0.34,0.21,0.28,0.16,0.23,0.12,0.17,0.1,0.13,0.07,0.1,0.06,0.08,0.05,0.07,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5m TTC,48.49,51.53,31.08,33.2,18.66,19.98,11.29,11.57,7.09,6.79,4.62,4.17,3.14,2.65,2.19,1.77,1.59,1.15,1.16,0.8,0.89,0.6,0.67,0.42,0.52,0.3,0.42,0.24,0.33,0.18,0.26,0.14,0.21,0.12,0.17,0.09,0.13,0.07,0.11,0.06,0.09,0.05,0.07,0.05,0.06,0.04,0.05,0.03,0.04,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01
6m TTC,48.47,51.55,32.22,35.01,20.22,21.97,12.69,13.39,8.21,8.06,5.44,5.18,3.8,3.32,2.69,2.24,2.0,1.58,1.5,1.11,1.16,0.83,0.9,0.6,0.7,0.44,0.54,0.33,0.42,0.26,0.32,0.2,0.27,0.14,0.21,0.1,0.17,0.09,0.14,0.08,0.11,0.06,0.09,0.05,0.07,0.04,0.06,0.04,0.05,0.03,0.04,0.02,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
7m TTC,48.29,51.73,33.25,36.19,21.8,23.82,14.13,15.0,9.33,9.35,6.34,6.03,4.41,3.97,3.2,2.73,2.37,1.9,1.77,1.38,1.37,1.02,1.06,0.75,0.84,0.56,0.66,0.43,0.55,0.35,0.43,0.27,0.33,0.2,0.28,0.16,0.22,0.13,0.19,0.1,0.16,0.08,0.13,0.06,0.11,0.05,0.09,0.05,0.08,0.04,0.07,0.04,0.06,0.03,0.05,0.03,0.04,0.03,0.04,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
8m TTC,48.22,51.8,33.91,37.32,22.9,25.02,15.3,16.37,10.18,10.52,6.97,6.8,4.98,4.56,3.67,3.23,2.7,2.26,2.07,1.67,1.65,1.24,1.3,0.95,1.04,0.76,0.81,0.6,0.66,0.45,0.54,0.37,0.42,0.3,0.35,0.23,0.3,0.19,0.25,0.15,0.21,0.13,0.18,0.11,0.15,0.09,0.12,0.08,0.1,0.06,0.08,0.05,0.08,0.05,0.07,0.04,0.07,0.04,0.06,0.03,0.05,0.03,0.04,0.03,0.04,0.02,0.03,0.02,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.01
9m TTC,48.31,51.7,34.89,37.99,23.96,26.19,16.43,17.58,11.28,11.58,7.89,7.62,5.67,5.24,4.1,3.76,3.09,2.63,2.37,1.97,1.9,1.48,1.48,1.11,1.17,0.86,0.95,0.68,0.79,0.55,0.63,0.45,0.52,0.35,0.44,0.29,0.36,0.24,0.3,0.2,0.25,0.16,0.22,0.13,0.2,0.11,0.17,0.09,0.13,0.08,0.12,0.06,0.1,0.05,0.09,0.04,0.08,0.04,0.08,0.04,0.07,0.03,0.06,0.03,0.05,0.02,0.05,0.02,0.04,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01
10m TTC,48.36,51.65,35.29,38.4,24.81,27.21,17.54,18.51,12.11,12.47,8.63,8.41,6.26,5.84,4.68,4.1,3.48,2.99,2.69,2.26,2.12,1.72,1.66,1.32,1.36,1.05,1.12,0.82,0.92,0.68,0.76,0.55,0.65,0.42,0.55,0.34,0.47,0.27,0.39,0.23,0.32,0.19,0.28,0.16,0.23,0.13,0.2,0.12,0.17,0.09,0.14,0.08,0.13,0.07,0.12,0.06,0.1,0.04,0.09,0.04,0.07,0.04,0.07,0.03,0.06,0.03,0.05,0.02,0.04,0.02,0.04,0.02,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01
