,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,45.96,54.09,30.48,36.2,17.93,20.13,11.12,10.41,6.89,5.38,4.24,2.83,2.71,1.66,1.7,0.98,1.08,0.4,0.71,0.2,0.53,0.15,0.32,0.08,0.27,0.05,0.25,0.03,0.25,0.03,0.15,0.03,0.14,0.03,0.11,0.03,0.11,0.03,0.09,0.01,0.09,0.0,0.07,0.0,0.07,0.0,0.07,0.0,0.07,0.0,0.07,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,45.86,54.22,33.65,40.08,23.78,26.9,17.5,17.54,12.08,11.25,8.5,7.23,6.4,4.88,4.62,2.92,3.41,1.79,2.66,1.22,2.17,0.76,1.72,0.57,1.52,0.45,1.1,0.36,0.71,0.23,0.56,0.17,0.51,0.15,0.41,0.14,0.34,0.14,0.21,0.13,0.21,0.13,0.19,0.03,0.17,0.03,0.17,0.01,0.12,0.0,0.1,0.0,0.09,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0
3m TTC,47.33,52.67,37.02,42.23,28.17,31.69,21.08,22.68,15.58,14.9,11.98,10.01,8.95,6.91,6.58,4.6,5.41,3.12,4.5,2.32,3.4,1.74,3.02,1.34,2.15,0.95,1.73,0.73,1.42,0.64,1.12,0.5,0.96,0.46,0.72,0.32,0.68,0.28,0.64,0.27,0.57,0.26,0.41,0.19,0.38,0.19,0.34,0.19,0.28,0.17,0.28,0.14,0.24,0.14,0.21,0.14,0.2,0.13,0.17,0.13,0.17,0.13,0.17,0.01,0.17,0.01,0.15,0.01,0.09,0.01,0.09,0.0,0.09,0.0,0.09,0.0,0.09,0.0,0.08,0.0
4m TTC,46.97,53.03,37.87,42.73,29.76,34.3,23.63,26.3,17.93,19.18,13.67,13.9,10.69,9.9,8.64,7.14,6.98,4.75,5.72,3.39,4.62,2.65,3.77,2.2,3.26,1.73,2.63,1.41,2.01,0.97,1.6,0.74,1.17,0.52,0.94,0.43,0.75,0.41,0.73,0.32,0.69,0.26,0.55,0.24,0.52,0.2,0.48,0.2,0.4,0.14,0.35,0.11,0.32,0.11,0.31,0.05,0.21,0.04,0.21,0.04,0.21,0.03,0.2,0.02,0.17,0.02,0.16,0.02,0.09,0.02,0.09,0.02,0.09,0.02,0.09,0.01,0.08,0.01,0.08,0.01
5m TTC,47.13,52.88,38.52,44.19,31.51,36.45,25.66,28.08,20.43,21.05,16.21,15.64,12.92,10.85,10.36,8.43,8.18,6.38,6.42,5.03,5.25,3.83,4.43,2.84,3.68,2.3,3.16,1.81,2.57,1.5,2.44,1.18,2.06,0.9,1.58,0.72,1.32,0.64,0.88,0.53,0.75,0.43,0.69,0.43,0.63,0.36,0.62,0.33,0.51,0.26,0.46,0.24,0.4,0.21,0.37,0.15,0.37,0.12,0.32,0.11,0.24,0.1,0.17,0.04,0.16,0.04,0.16,0.04,0.15,0.04,0.12,0.02,0.1,0.02,0.1,0.02,0.1,0.02,0.1,0.02
6m TTC,47.27,52.73,39.17,45.09,32.04,36.66,26.92,29.32,22.02,23.52,17.99,18.24,14.64,13.58,11.6,10.32,9.68,7.48,7.65,6.0,6.19,4.8,5.41,3.8,4.53,2.93,3.73,2.29,3.19,1.96,2.8,1.65,2.43,1.35,1.86,1.07,1.77,0.83,1.59,0.73,1.36,0.6,1.07,0.58,0.85,0.47,0.7,0.43,0.59,0.39,0.55,0.36,0.51,0.29,0.44,0.26,0.41,0.25,0.35,0.17,0.29,0.11,0.28,0.11,0.25,0.11,0.23,0.11,0.21,0.09,0.21,0.07,0.14,0.07,0.14,0.07,0.1,0.05,0.1,0.05
7m TTC,47.22,52.81,40.27,45.43,33.52,38.15,27.52,31.06,22.48,25.43,18.52,20.01,15.4,15.43,13.02,12.04,10.85,9.37,8.87,7.61,7.13,6.0,6.1,4.53,5.12,3.59,4.44,2.87,3.89,2.23,3.38,1.97,2.79,1.57,2.52,1.25,2.07,1.0,1.8,0.89,1.54,0.71,1.45,0.65,1.23,0.58,1.07,0.51,0.8,0.49,0.74,0.41,0.71,0.36,0.61,0.21,0.53,0.2,0.45,0.14,0.4,0.14,0.4,0.12,0.4,0.12,0.38,0.1,0.27,0.1,0.26,0.09,0.22,0.09,0.22,0.07,0.22,0.07,0.17,0.07
8m TTC,47.81,52.25,40.39,45.47,34.38,38.4,29.04,32.31,24.11,26.25,20.1,21.52,17.23,16.98,14.39,12.99,12.25,10.25,10.01,8.63,8.48,6.52,7.16,5.24,6.17,4.21,5.13,3.51,4.22,2.81,3.62,2.42,3.31,1.95,2.95,1.69,2.64,1.4,2.26,1.09,1.97,0.96,1.62,0.84,1.43,0.74,1.23,0.62,1.09,0.57,0.89,0.45,0.76,0.44,0.7,0.37,0.68,0.28,0.58,0.23,0.53,0.23,0.47,0.13,0.4,0.12,0.35,0.11,0.34,0.11,0.28,0.1,0.25,0.08,0.22,0.08,0.22,0.07,0.16,0.07
9m TTC,46.45,53.55,40.63,46.97,34.86,39.92,29.06,33.53,24.94,28.09,20.97,22.15,17.89,18.0,15.08,14.43,12.47,11.97,10.82,9.91,9.24,7.77,7.58,5.95,6.35,4.57,5.46,3.83,4.65,3.28,3.98,2.68,3.39,2.18,3.14,1.96,2.86,1.73,2.59,1.43,2.21,1.22,1.92,1.1,1.69,1.02,1.54,0.87,1.33,0.77,1.09,0.68,0.87,0.56,0.73,0.43,0.65,0.35,0.61,0.29,0.47,0.29,0.46,0.28,0.38,0.23,0.36,0.2,0.34,0.14,0.33,0.13,0.26,0.13,0.24,0.13,0.23,0.11,0.21,0.1
10m TTC,47.5,52.5,41.21,46.01,35.78,40.0,30.48,34.15,25.86,28.98,22.14,24.11,19.17,19.64,16.71,15.48,14.18,12.26,11.4,9.96,9.49,8.07,8.04,6.67,6.82,5.45,6.07,4.44,5.25,3.49,4.64,2.9,4.05,2.43,3.58,2.08,3.15,1.9,2.67,1.58,2.46,1.35,2.15,1.19,1.82,1.11,1.61,1.04,1.37,0.94,1.23,0.85,1.1,0.76,0.96,0.69,0.78,0.51,0.64,0.47,0.52,0.41,0.5,0.37,0.41,0.35,0.4,0.31,0.32,0.24,0.27,0.16,0.26,0.15,0.25,0.14,0.21,0.12,0.2,0.11
11m TTC,47.45,52.55,40.97,47.13,35.84,40.72,30.64,35.08,26.66,29.35,22.73,24.78,19.41,20.29,16.29,17.0,13.92,13.47,11.99,10.81,10.74,9.28,9.19,7.17,7.7,6.1,6.47,4.81,5.85,4.11,4.96,3.37,4.47,2.88,4.15,2.54,3.62,2.25,2.98,1.9,2.66,1.57,2.39,1.49,1.94,1.23,1.68,1.07,1.61,1.02,1.42,0.89,1.16,0.78,1.0,0.72,0.93,0.56,0.86,0.52,0.71,0.51,0.66,0.49,0.65,0.39,0.51,0.34,0.44,0.19,0.41,0.17,0.34,0.15,0.29,0.14,0.29,0.14,0.28,0.14
12m TTC,46.4,53.63,40.26,47.55,35.34,41.25,30.47,35.42,26.31,30.05,22.81,25.51,19.49,21.22,16.9,17.79,14.69,14.09,12.78,11.37,10.99,9.74,9.39,7.77,8.28,6.42,7.44,5.34,6.39,4.26,5.58,3.5,4.63,3.1,4.02,2.71,3.55,2.29,3.03,1.92,2.77,1.71,2.4,1.49,2.26,1.34,1.87,1.24,1.6,1.14,1.43,0.99,1.26,0.88,1.08,0.84,0.98,0.75,0.92,0.71,0.84,0.62,0.81,0.55,0.65,0.48,0.64,0.39,0.51,0.28,0.5,0.27,0.41,0.21,0.37,0.21,0.35,0.2,0.31,0.19
13m TTC,46.59,53.47,41.04,47.57,35.86,42.0,31.28,36.37,27.19,31.84,23.46,27.12,20.01,22.32,17.44,18.42,15.0,15.23,12.87,12.25,10.97,10.03,9.7,8.7,8.37,7.03,7.21,5.7,6.32,5.03,5.53,4.23,4.91,3.63,4.36,3.03,3.66,2.63,3.16,2.35,2.83,2.05,2.18,1.77,1.95,1.52,1.69,1.32,1.62,1.16,1.56,1.07,1.37,0.9,1.22,0.83,0.99,0.73,0.85,0.73,0.82,0.6,0.73,0.6,0.72,0.53,0.64,0.51,0.53,0.45,0.53,0.41,0.45,0.37,0.4,0.28,0.38,0.27,0.36,0.25
14m TTC,46.51,53.49,41.47,47.81,36.08,42.15,31.72,37.13,27.33,32.06,24.18,27.13,21.07,22.84,18.12,18.67,15.59,15.45,13.43,12.62,11.36,10.64,9.7,8.64,8.48,7.18,7.51,6.28,6.69,5.47,5.6,4.64,5.2,3.67,4.55,3.35,3.9,3.04,3.5,2.68,3.14,2.06,2.73,1.81,2.45,1.56,2.05,1.43,1.83,1.23,1.62,1.06,1.43,0.99,1.23,0.9,1.12,0.82,0.9,0.73,0.84,0.73,0.81,0.72,0.8,0.66,0.74,0.6,0.55,0.53,0.49,0.5,0.45,0.45,0.45,0.43,0.4,0.37,0.4,0.26
15m TTC,46.34,53.67,41.74,48.03,36.79,42.17,32.32,37.21,28.26,31.87,24.82,27.35,21.63,23.04,18.9,19.64,16.54,16.39,14.15,13.73,12.37,10.99,10.52,9.17,9.19,7.85,8.15,6.54,7.33,5.81,6.43,5.11,5.79,4.0,5.0,3.55,4.38,3.15,3.97,2.67,3.52,2.38,3.15,2.02,2.74,1.84,2.46,1.6,2.17,1.37,1.79,1.12,1.49,1.02,1.31,0.88,1.11,0.76,0.96,0.73,0.95,0.71,0.86,0.7,0.84,0.68,0.71,0.65,0.59,0.59,0.57,0.58,0.52,0.48,0.47,0.32,0.35,0.31,0.33,0.26
16m TTC,46.23,53.82,40.58,48.33,36.63,43.26,32.5,37.63,27.96,32.67,25.11,28.21,21.79,24.48,18.85,20.22,16.7,16.85,14.81,14.43,13.13,12.15,11.69,10.05,9.98,8.56,8.98,7.13,7.83,6.05,6.75,5.08,6.13,4.29,5.31,3.85,4.5,3.42,4.15,3.13,3.63,2.68,3.37,2.42,3.03,2.11,2.66,1.87,2.17,1.6,1.98,1.42,1.71,1.33,1.49,1.16,1.35,1.04,1.14,0.9,0.89,0.87,0.82,0.86,0.72,0.83,0.71,0.76,0.49,0.69,0.43,0.65,0.39,0.62,0.39,0.51,0.39,0.43,0.39,0.37
17m TTC,45.89,54.11,40.77,49.35,36.68,43.54,32.09,37.79,29.03,32.88,25.23,28.37,22.26,24.56,19.84,21.02,17.52,17.61,15.35,14.69,13.7,12.7,11.9,10.7,10.51,9.08,9.23,7.58,8.13,6.54,7.43,5.5,6.49,4.87,5.7,4.09,5.03,3.59,4.49,3.13,4.04,2.7,3.73,2.42,3.41,2.06,2.91,1.83,2.37,1.64,2.21,1.38,1.83,1.33,1.56,1.22,1.35,1.14,1.26,1.01,1.2,0.93,1.01,0.92,0.92,0.83,0.81,0.76,0.6,0.59,0.55,0.58,0.5,0.56,0.46,0.51,0.41,0.43,0.4,0.41
