,>= +0.00%,<= -0.00%,>= +0.05%,<= -0.05%,>= +0.10%,<= -0.10%,>= +0.15%,<= -0.15%,>= +0.20%,<= -0.20%,>= +0.25%,<= -0.25%,>= +0.30%,<= -0.30%,>= +0.35%,<= -0.35%,>= +0.40%,<= -0.40%,>= +0.45%,<= -0.45%,>= +0.50%,<= -0.50%,>= +0.55%,<= -0.55%,>= +0.60%,<= -0.60%,>= +0.65%,<= -0.65%,>= +0.70%,<= -0.70%,>= +0.75%,<= -0.75%,>= +0.80%,<= -0.80%,>= +0.85%,<= -0.85%,>= +0.90%,<= -0.90%,>= +0.95%,<= -0.95%,>= +1.00%,<= -1.00%,>= +1.05%,<= -1.05%,>= +1.10%,<= -1.10%,>= +1.15%,<= -1.15%,>= +1.20%,<= -1.20%,>= +1.25%,<= -1.25%,>= +1.30%,<= -1.30%,>= +1.35%,<= -1.35%,>= +1.40%,<= -1.40%,>= +1.45%,<= -1.45%,>= +1.50%,<= -1.50%,>= +1.55%,<= -1.55%,>= +1.60%,<= -1.60%,>= +1.65%,<= -1.65%,>= +1.75%,<= -1.75%,>= +1.80%,<= -1.80%,>= +1.85%,<= -1.85%,>= +1.90%,<= -1.90%,>= +1.95%,<= -1.95%,>= +2.00%,<= -2.00%
1m TTC,52.26,47.83,25.3,22.9,9.66,10.39,3.65,4.73,1.58,2.3,0.75,1.22,0.39,0.73,0.2,0.43,0.13,0.24,0.09,0.15,0.05,0.1,0.05,0.08,0.03,0.06,0.01,0.04,0.01,0.03,0.01,0.03,0.01,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2m TTC,52.46,47.57,31.6,28.26,16.93,15.79,8.57,9.1,4.4,5.41,2.23,3.18,1.26,1.93,0.71,1.32,0.39,0.92,0.27,0.67,0.17,0.51,0.14,0.38,0.11,0.31,0.07,0.24,0.05,0.18,0.04,0.12,0.03,0.1,0.03,0.09,0.02,0.08,0.01,0.06,0.01,0.05,0.01,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01
3m TTC,52.6,47.42,34.87,31.33,20.71,19.47,11.99,12.07,6.77,7.62,3.96,5.0,2.37,3.46,1.44,2.37,0.95,1.74,0.63,1.26,0.43,0.98,0.31,0.75,0.19,0.59,0.16,0.47,0.12,0.35,0.09,0.26,0.07,0.21,0.05,0.16,0.04,0.14,0.03,0.12,0.02,0.11,0.01,0.08,0.01,0.07,0.01,0.07,0.01,0.05,0.01,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
4m TTC,52.8,47.22,37.18,32.69,23.96,21.89,14.97,14.59,9.15,9.82,5.64,6.82,3.5,4.85,2.19,3.52,1.53,2.66,0.96,1.99,0.65,1.58,0.5,1.17,0.36,0.9,0.27,0.73,0.21,0.6,0.17,0.47,0.14,0.38,0.12,0.33,0.08,0.28,0.06,0.25,0.05,0.2,0.04,0.17,0.04,0.15,0.03,0.11,0.02,0.09,0.02,0.09,0.02,0.08,0.02,0.07,0.02,0.05,0.01,0.05,0.01,0.05,0.01,0.04,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
5m TTC,52.86,47.16,38.63,34.22,26.31,24.17,17.38,16.72,11.22,11.69,7.26,8.28,4.73,6.04,3.13,4.45,2.07,3.37,1.47,2.53,1.0,1.93,0.74,1.49,0.53,1.18,0.44,0.97,0.32,0.8,0.26,0.66,0.23,0.54,0.16,0.45,0.13,0.39,0.12,0.33,0.09,0.29,0.07,0.23,0.06,0.19,0.06,0.16,0.05,0.15,0.04,0.14,0.03,0.11,0.03,0.1,0.02,0.09,0.02,0.09,0.02,0.07,0.01,0.06,0.01,0.06,0.01,0.05,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02
6m TTC,52.88,47.12,39.78,35.14,28.38,25.38,19.44,17.76,13.07,12.62,8.7,9.38,5.81,7.06,3.89,5.2,2.72,4.08,1.85,3.09,1.27,2.43,0.95,1.98,0.72,1.52,0.56,1.24,0.45,1.01,0.35,0.87,0.29,0.72,0.22,0.58,0.19,0.49,0.16,0.42,0.13,0.36,0.1,0.3,0.1,0.25,0.08,0.21,0.07,0.19,0.06,0.16,0.05,0.12,0.04,0.1,0.04,0.09,0.03,0.07,0.03,0.07,0.03,0.06,0.03,0.06,0.02,0.05,0.02,0.04,0.02,0.03,0.02,0.03,0.01,0.03,0.01,0.02,0.01,0.02
7m TTC,52.79,47.23,41.08,35.9,30.35,26.26,21.41,19.35,14.63,13.96,10.13,10.46,6.89,8.0,4.76,6.11,3.45,4.64,2.43,3.69,1.8,2.85,1.3,2.22,1.02,1.84,0.78,1.44,0.66,1.22,0.53,1.03,0.42,0.8,0.32,0.67,0.26,0.54,0.21,0.46,0.18,0.38,0.15,0.33,0.12,0.3,0.09,0.25,0.08,0.22,0.07,0.2,0.06,0.16,0.06,0.15,0.05,0.13,0.04,0.12,0.04,0.1,0.04,0.09,0.03,0.07,0.03,0.06,0.03,0.05,0.03,0.04,0.02,0.04,0.02,0.04,0.02,0.03,0.01,0.03
8m TTC,53.38,46.63,41.71,36.03,31.5,27.08,22.93,20.15,16.44,15.01,11.39,11.27,8.24,8.75,5.72,6.86,4.04,5.34,3.0,4.22,2.28,3.31,1.71,2.64,1.3,2.06,1.0,1.7,0.75,1.41,0.62,1.18,0.52,0.99,0.43,0.83,0.33,0.72,0.27,0.61,0.24,0.55,0.21,0.45,0.16,0.39,0.14,0.34,0.11,0.27,0.1,0.23,0.09,0.2,0.07,0.17,0.06,0.15,0.05,0.12,0.05,0.1,0.05,0.09,0.04,0.08,0.04,0.07,0.03,0.06,0.03,0.06,0.03,0.05,0.03,0.05,0.02,0.04,0.02,0.04
9m TTC,52.99,47.02,42.56,36.68,32.91,27.96,24.68,21.1,17.83,15.81,12.69,12.26,9.12,9.62,6.68,7.56,4.8,5.93,3.6,4.67,2.66,3.71,2.08,2.9,1.56,2.39,1.24,2.02,0.98,1.68,0.75,1.37,0.6,1.16,0.52,0.98,0.44,0.84,0.38,0.7,0.32,0.61,0.27,0.53,0.23,0.45,0.2,0.36,0.16,0.3,0.14,0.27,0.11,0.24,0.1,0.21,0.09,0.2,0.07,0.18,0.06,0.17,0.05,0.12,0.04,0.11,0.04,0.09,0.03,0.07,0.03,0.06,0.03,0.05,0.03,0.05,0.02,0.04,0.02,0.04
10m TTC,53.33,46.68,43.21,37.07,33.8,28.74,25.75,22.14,18.93,17.06,13.9,13.27,10.14,10.36,7.42,8.15,5.5,6.45,4.22,5.05,3.28,4.22,2.52,3.37,1.93,2.66,1.5,2.25,1.13,1.9,0.9,1.6,0.73,1.37,0.61,1.19,0.51,1.01,0.45,0.89,0.36,0.75,0.3,0.61,0.27,0.52,0.23,0.45,0.21,0.37,0.17,0.33,0.15,0.27,0.13,0.26,0.1,0.23,0.08,0.22,0.07,0.19,0.06,0.18,0.06,0.15,0.05,0.13,0.04,0.11,0.03,0.11,0.03,0.08,0.03,0.08,0.03,0.07,0.03,0.07
